iter	Passed	Remaining
0	0	1085
1	1	876
2	1	795
3	1	739
4	2	691
5	2	660
6	2	635
7	3	610
8	3	594
9	3	583
10	4	575
11	4	564
12	4	555
13	5	546
14	5	540
15	5	535
16	6	530
17	6	525
18	6	528
19	7	524
20	7	539
21	8	543
22	8	546
23	9	580
24	9	582
25	10	578
26	10	575
27	10	573
28	11	568
29	11	565
30	11	563
31	12	562
32	12	561
33	12	558
34	13	556
35	13	553
36	13	551
37	14	556
38	14	559
39	15	557
40	15	556
41	16	556
42	16	553
43	16	550
44	17	556
45	18	595
46	19	599
47	19	597
48	20	595
49	20	602
50	21	605
51	21	603
52	21	600
53	22	598
54	22	597
55	23	597
56	23	595
57	24	597
58	24	595
59	24	593
60	25	590
61	25	590
62	25	589
63	26	588
64	26	587
65	26	585
66	27	584
67	27	583
68	27	579
69	28	578
70	28	575
71	28	573
72	29	571
73	29	569
74	29	567
75	30	566
76	30	564
77	30	562
78	31	561
79	31	559
80	31	557
81	32	556
82	32	554
83	32	552
84	33	550
85	33	549
86	33	547
87	34	546
88	34	544
89	34	547
90	35	546
91	35	544
92	35	543
93	36	542
94	36	540
95	36	539
96	37	538
97	37	537
98	37	536
99	38	535
100	38	534
101	38	533
102	39	531
103	39	530
104	39	529
105	40	529
106	40	529
107	41	539
108	42	538
109	42	537
110	43	540
111	43	539
112	43	538
113	44	537
114	44	536
115	44	535
116	45	538
117	45	537
118	46	536
119	46	535
120	46	533
121	47	532
122	47	531
123	47	530
124	48	528
125	48	527
126	48	526
127	48	525
128	49	524
129	49	524
130	50	523
131	50	522
132	50	521
133	51	520
134	51	520
135	51	520
136	52	519
137	52	519
138	52	518
139	53	517
140	53	516
141	53	515
142	54	514
143	54	513
144	54	512
145	55	511
146	55	511
147	55	509
148	56	508
149	56	507
150	56	506
151	57	505
152	57	504
153	57	503
154	57	502
155	58	501
156	58	500
157	58	499
158	59	498
159	59	498
160	59	498
161	60	497
162	60	496
163	60	495
164	61	494
165	61	493
166	61	492
167	62	492
168	62	491
169	62	490
170	63	491
171	63	493
172	64	492
173	64	492
174	64	491
175	65	490
176	65	490
177	65	489
178	66	488
179	66	487
180	66	487
181	67	486
182	67	485
183	67	484
184	68	483
185	68	482
186	68	482
187	68	481
188	69	480
189	69	480
190	70	481
191	70	481
192	71	481
193	71	480
194	71	480
195	72	479
196	72	479
197	72	479
198	73	479
199	73	479
200	74	478
201	74	478
202	74	477
203	75	477
204	75	477
205	75	476
206	76	476
207	76	476
208	77	476
209	78	484
