district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Bagerhat,2023-03-01,2023,3,1,24.7,64.9,1017.0,9.0,158.0,5.0,57.0,67.0,97.0,10.0,33.0,69.0,524.0
Bagerhat,2023-03-02,2023,3,2,25.3,70.1,1016.6,9.0,155.0,5.0,50.0,59.0,85.0,12.0,31.0,71.0,500.0
Bagerhat,2023-03-03,2023,3,3,26.1,62.5,1016.6,9.0,153.0,5.0,49.0,58.0,84.0,9.0,29.0,66.0,469.0
Bagerhat,2023-03-04,2023,3,4,26.0,63.6,1016.0,9.0,147.0,5.0,48.0,57.0,83.0,9.0,29.0,72.0,459.0
Bagerhat,2023-03-05,2023,3,5,26.0,66.5,1015.1,9.0,154.0,5.0,54.0,64.0,92.0,9.0,28.0,71.0,457.0
Bagerhat,2023-03-06,2023,3,6,26.1,62.3,1014.3,9.0,153.0,5.0,48.0,57.0,83.0,9.0,35.0,62.0,521.0
Bagerhat,2023-03-07,2023,3,7,25.9,64.1,1014.7,9.0,134.0,4.0,41.0,48.0,69.0,9.0,29.0,72.0,454.0
Bagerhat,2023-03-08,2023,3,8,25.5,63.0,1015.6,8.0,133.0,4.0,39.0,46.0,66.0,9.0,30.0,59.0,430.0
Bagerhat,2023-03-09,2023,3,9,25.4,64.8,1014.5,9.0,117.0,4.0,41.0,49.0,70.0,6.0,17.0,71.0,367.0
Bagerhat,2023-03-10,2023,3,10,25.9,66.5,1013.9,7.0,152.0,5.0,54.0,64.0,92.0,9.0,29.0,65.0,486.0
Bagerhat,2023-03-11,2023,3,11,25.7,67.8,1014.1,8.0,159.0,5.0,67.0,78.0,112.0,11.0,36.0,72.0,566.0
Bagerhat,2023-03-12,2023,3,12,26.0,64.2,1013.2,9.0,157.0,5.0,54.0,63.0,91.0,9.0,19.0,82.0,407.0
Bagerhat,2023-03-13,2023,3,13,26.6,63.5,1011.7,9.0,155.0,5.0,53.0,62.0,89.0,11.0,22.0,77.0,425.0
Bagerhat,2023-03-14,2023,3,14,26.5,71.9,1010.1,8.0,155.0,5.0,52.0,62.0,89.0,11.0,20.0,87.0,466.0
Bagerhat,2023-03-15,2023,3,15,26.6,75.8,1009.8,9.0,134.0,4.0,37.0,44.0,66.0,3.0,5.0,33.0,164.0
Bagerhat,2023-03-16,2023,3,16,27.1,80.9,1011.8,9.0,113.0,4.0,38.0,46.0,69.0,3.0,19.0,56.0,332.0
Bagerhat,2023-03-17,2023,3,17,25.1,80.8,1012.5,6.0,153.0,5.0,57.0,67.0,99.0,4.0,24.0,61.0,500.0
Bagerhat,2023-03-18,2023,3,18,25.0,81.0,1011.1,9.0,155.0,5.0,49.0,58.0,84.0,4.0,17.0,60.0,428.0
Bagerhat,2023-03-19,2023,3,19,23.3,86.6,1010.7,5.0,136.0,5.0,31.0,36.0,53.0,5.0,13.0,48.0,361.0
Bagerhat,2023-03-20,2023,3,20,23.4,84.5,1009.3,7.0,59.0,2.0,8.0,10.0,15.0,1.0,5.0,57.0,233.0
Bagerhat,2023-03-21,2023,3,21,23.9,83.4,1009.6,7.0,47.0,2.0,13.0,16.0,24.0,3.0,8.0,55.0,225.0
Bagerhat,2023-03-22,2023,3,22,25.4,77.5,1008.7,9.0,73.0,3.0,24.0,28.0,41.0,3.0,16.0,58.0,306.0
Bagerhat,2023-03-23,2023,3,23,25.9,79.4,1008.8,8.0,96.0,4.0,27.0,33.0,48.0,11.0,13.0,79.0,347.0
Bagerhat,2023-03-24,2023,3,24,26.5,75.4,1009.9,9.0,88.0,4.0,29.0,34.0,50.0,6.0,11.0,77.0,268.0
Bagerhat,2023-03-25,2023,3,25,27.7,77.9,1010.6,9.0,111.0,4.0,31.0,37.0,54.0,7.0,10.0,67.0,259.0
Bagerhat,2023-03-26,2023,3,26,27.5,79.2,1008.8,9.0,85.0,4.0,24.0,29.0,43.0,6.0,7.0,68.0,210.0
Bagerhat,2023-03-27,2023,3,27,25.9,85.9,1008.7,7.0,112.0,4.0,38.0,46.0,68.0,11.0,10.0,86.0,319.0
Bagerhat,2023-03-28,2023,3,28,27.9,78.0,1009.1,9.0,133.0,4.0,40.0,48.0,70.0,9.0,9.0,82.0,293.0
Bagerhat,2023-03-29,2023,3,29,27.1,82.5,1010.6,9.0,114.0,4.0,30.0,36.0,54.0,5.0,10.0,67.0,240.0
Bagerhat,2023-03-30,2023,3,30,26.9,83.4,1009.0,8.0,90.0,4.0,21.0,26.0,39.0,3.0,8.0,52.0,182.0
Bagerhat,2023-03-31,2023,3,31,25.7,84.5,1009.3,5.0,76.0,3.0,21.0,26.0,40.0,4.0,6.0,70.0,189.0
Bagerhat,2023-04-01,2023,4,1,23.8,88.3,1009.0,5.0,90.0,4.0,27.0,32.0,46.0,7.0,9.0,74.0,255.0
Bagerhat,2023-04-02,2023,4,2,26.2,76.1,1007.5,9.0,86.0,4.0,24.0,29.0,42.0,9.0,9.0,81.0,249.0
Bagerhat,2023-04-03,2023,4,3,28.1,71.9,1007.3,9.0,94.0,4.0,28.0,34.0,50.0,9.0,10.0,82.0,253.0
