district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Barisal,2023-03-01,2023,3,1,24.4,67.6,1017.1,9.0,155.0,5.0,50.0,59.0,86.0,9.0,11.0,93.0,358.0
Barisal,2023-03-02,2023,3,2,25.5,68.3,1016.6,9.0,153.0,5.0,53.0,62.0,90.0,11.0,12.0,98.0,418.0
Barisal,2023-03-03,2023,3,3,26.0,67.3,1016.5,9.0,154.0,5.0,48.0,57.0,82.0,8.0,15.0,80.0,430.0
Barisal,2023-03-04,2023,3,4,26.2,65.7,1015.9,9.0,138.0,4.0,43.0,52.0,75.0,6.0,13.0,79.0,366.0
Barisal,2023-03-05,2023,3,5,26.0,69.4,1015.0,9.0,151.0,5.0,51.0,60.0,87.0,8.0,17.0,81.0,403.0
Barisal,2023-03-06,2023,3,6,25.6,66.4,1014.3,9.0,144.0,5.0,40.0,48.0,71.0,6.0,13.0,79.0,353.0
Barisal,2023-03-07,2023,3,7,25.8,67.9,1014.6,9.0,120.0,4.0,36.0,42.0,61.0,8.0,13.0,84.0,348.0
Barisal,2023-03-08,2023,3,8,25.6,68.2,1015.5,7.0,115.0,4.0,33.0,39.0,56.0,9.0,16.0,71.0,336.0
Barisal,2023-03-09,2023,3,9,25.1,68.8,1014.4,9.0,114.0,4.0,43.0,51.0,73.0,8.0,12.0,82.0,361.0
Barisal,2023-03-10,2023,3,10,25.5,69.2,1013.8,6.0,152.0,5.0,52.0,61.0,87.0,11.0,19.0,80.0,442.0
Barisal,2023-03-11,2023,3,11,25.5,68.7,1014.0,8.0,154.0,5.0,56.0,65.0,94.0,10.0,16.0,99.0,425.0
Barisal,2023-03-12,2023,3,12,26.0,65.1,1013.2,9.0,154.0,5.0,50.0,58.0,84.0,10.0,13.0,90.0,380.0
Barisal,2023-03-13,2023,3,13,26.5,64.1,1011.6,9.0,151.0,5.0,45.0,53.0,76.0,9.0,15.0,78.0,370.0
Barisal,2023-03-14,2023,3,14,26.6,71.5,1010.3,8.0,144.0,5.0,48.0,56.0,80.0,8.0,14.0,82.0,414.0
Barisal,2023-03-15,2023,3,15,26.3,77.9,1009.9,9.0,136.0,4.0,36.0,43.0,65.0,2.0,3.0,34.0,161.0
Barisal,2023-03-16,2023,3,16,26.8,81.2,1011.9,9.0,108.0,4.0,35.0,43.0,64.0,2.0,9.0,61.0,289.0
Barisal,2023-03-17,2023,3,17,25.4,81.2,1012.5,5.0,153.0,5.0,66.0,78.0,113.0,6.0,16.0,79.0,491.0
Barisal,2023-03-18,2023,3,18,25.2,79.4,1011.2,9.0,160.0,6.0,55.0,65.0,95.0,6.0,11.0,70.0,433.0
Barisal,2023-03-19,2023,3,19,23.2,87.5,1010.7,6.0,135.0,5.0,31.0,36.0,52.0,2.0,7.0,56.0,321.0
Barisal,2023-03-20,2023,3,20,23.2,84.8,1009.3,6.0,62.0,3.0,7.0,9.0,13.0,0.0,2.0,59.0,220.0
Barisal,2023-03-21,2023,3,21,23.7,83.3,1009.8,7.0,37.0,2.0,10.0,12.0,19.0,1.0,3.0,57.0,193.0
Barisal,2023-03-22,2023,3,22,24.7,78.5,1008.7,8.0,67.0,3.0,19.0,23.0,34.0,1.0,6.0,58.0,232.0
Barisal,2023-03-23,2023,3,23,25.1,81.5,1009.0,8.0,76.0,3.0,22.0,26.0,38.0,6.0,5.0,73.0,264.0
Barisal,2023-03-24,2023,3,24,26.0,77.7,1010.1,9.0,84.0,4.0,25.0,30.0,45.0,3.0,9.0,68.0,255.0
Barisal,2023-03-25,2023,3,25,27.0,79.3,1010.9,9.0,102.0,4.0,32.0,38.0,55.0,3.0,11.0,60.0,282.0
Barisal,2023-03-26,2023,3,26,26.6,80.6,1009.2,9.0,91.0,4.0,24.0,29.0,43.0,3.0,5.0,60.0,194.0
Barisal,2023-03-27,2023,3,27,25.3,86.5,1008.7,6.0,98.0,4.0,32.0,38.0,57.0,4.0,5.0,74.0,222.0
Barisal,2023-03-28,2023,3,28,27.3,79.5,1009.3,9.0,114.0,4.0,36.0,43.0,63.0,5.0,4.0,87.0,248.0
Barisal,2023-03-29,2023,3,29,26.1,83.5,1011.0,9.0,111.0,4.0,30.0,36.0,53.0,2.0,7.0,62.0,232.0
Barisal,2023-03-30,2023,3,30,26.3,83.1,1009.5,8.0,98.0,4.0,25.0,31.0,46.0,1.0,7.0,45.0,198.0
Barisal,2023-03-31,2023,3,31,25.7,84.8,1009.6,6.0,79.0,4.0,20.0,25.0,39.0,1.0,3.0,64.0,162.0
Barisal,2023-04-01,2023,4,1,23.5,89.7,1009.3,3.0,81.0,4.0,22.0,27.0,39.0,4.0,4.0,83.0,210.0
Barisal,2023-04-02,2023,4,2,26.0,76.8,1007.8,9.0,72.0,3.0,16.0,19.0,28.0,3.0,3.0,75.0,181.0
Barisal,2023-04-03,2023,4,3,27.5,75.4,1007.6,9.0,72.0,3.0,20.0,25.0,37.0,3.0,3.0,74.0,189.0
Barisal,2023-04-04,2023,4,4,28.6,79.6,1008.1,9.0,75.0,3.0,18.0,23.0,35.0,3.0,4.0,63.0,169.0
Barisal,2023-04-05,2023,4,5,28.7,81.7,1007.6,9.0,73.0,3.0,19.0,25.0,38.0,3.0,3.0,65.0,160.0
Barisal,2023-04-06,2023,4,6,28.9,75.1,1010.0,9.0,91.0,4.0,29.0,36.0,54.0,4.0,7.0,81.0,236.0
Barisal,2023-04-07,2023,4,7,28.6,74.6,1011.5,10.0,106.0,4.0,31.0,37.0,55.0,6.0,11.0,80.0,301.0
Barisal,2023-04-08,2023,4,8,28.6,70.0,1012.7,10.0,112.0,4.0,37.0,43.0,63.0,7.0,14.0,84.0,363.0
Barisal,2023-04-09,2023,4,9,29.1,72.0,1012.1,10.0,132.0,4.0,42.0,50.0,72.0,9.0,16.0,77.0,399.0
Barisal,2023-04-10,2023,4,10,29.5,73.1,1010.5,10.0,136.0,4.0,44.0,52.0,76.0,10.0,13.0,87.0,403.0
Barisal,2023-04-11,2023,4,11,30.1,73.5,1009.9,9.0,149.0,5.0,49.0,58.0,84.0,10.0,11.0,90.0,385.0
Barisal,2023-04-12,2023,4,12,30.1,71.7,1008.8,10.0,149.0,5.0,43.0,51.0,74.0,7.0,9.0,90.0,309.0
Barisal,2023-04-13,2023,4,13,30.3,69.2,1007.7,10.0,124.0,4.0,35.0,41.0,59.0,7.0,9.0,98.0,300.0
Barisal,2023-04-14,2023,4,14,31.2,66.3,1007.7,10.0,108.0,4.0,32.0,38.0,55.0,7.0,9.0,89.0,289.0
Barisal,2023-04-15,2023,4,15,31.4,71.1,1007.0,9.0,120.0,4.0,37.0,44.0,63.0,6.0,13.0,81.0,344.0
Barisal,2023-04-16,2023,4,16,31.6,75.4,1005.9,9.0,113.0,4.0,36.0,43.0,62.0,8.0,8.0,91.0,325.0
Barisal,2023-04-17,2023,4,17,31.3,79.6,1006.8,10.0,117.0,4.0,36.0,43.0,64.0,5.0,5.0,77.0,265.0
Barisal,2023-04-18,2023,4,18,31.4,78.4,1007.8,10.0,121.0,4.0,37.0,45.0,68.0,4.0,4.0,76.0,244.0
Barisal,2023-04-19,2023,4,19,31.4,79.4,1004.6,9.0,109.0,4.0,26.0,32.0,49.0,3.0,4.0,69.0,208.0
Barisal,2023-04-20,2023,4,20,31.2,80.5,1002.2,10.0,92.0,4.0,22.0,29.0,46.0,3.0,3.0,73.0,194.0
Barisal,2023-04-21,2023,4,21,29.8,83.2,1003.4,9.0,88.0,4.0,26.0,33.0,53.0,3.0,4.0,76.0,188.0
Barisal,2023-04-22,2023,4,22,29.2,75.5,1004.5,10.0,99.0,4.0,28.0,34.0,52.0,3.0,5.0,76.0,241.0
Barisal,2023-04-23,2023,4,23,27.4,71.9,1007.5,7.0,111.0,4.0,39.0,47.0,69.0,9.0,6.0,95.0,324.0
Barisal,2023-04-24,2023,4,24,27.6,70.8,1010.4,9.0,142.0,5.0,46.0,54.0,79.0,9.0,13.0,97.0,385.0
Barisal,2023-04-25,2023,4,25,28.6,67.8,1010.1,9.0,151.0,5.0,44.0,52.0,75.0,8.0,15.0,89.0,393.0
Barisal,2023-04-26,2023,4,26,29.3,67.7,1008.6,9.0,132.0,4.0,45.0,53.0,76.0,7.0,9.0,111.0,356.0
Barisal,2023-04-27,2023,4,27,28.8,71.7,1008.6,9.0,138.0,5.0,37.0,43.0,63.0,8.0,7.0,101.0,326.0
Barisal,2023-04-28,2023,4,28,27.5,75.7,1009.4,9.0,121.0,4.0,38.0,45.0,65.0,6.0,6.0,100.0,295.0
Barisal,2023-04-29,2023,4,29,27.8,78.8,1008.3,9.0,101.0,4.0,26.0,32.0,47.0,6.0,6.0,85.0,249.0
Barisal,2023-04-30,2023,4,30,28.1,73.7,1007.3,9.0,100.0,4.0,32.0,38.0,56.0,7.0,8.0,90.0,275.0
