district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Bogra,2023-03-01,2023,3,1,24.2,67.6,1017.2,9.0,158.0,5.0,55.0,65.0,95.0,6.0,19.0,75.0,462.0
Bogra,2023-03-02,2023,3,2,24.5,70.3,1016.8,8.0,155.0,5.0,53.0,64.0,93.0,6.0,18.0,69.0,461.0
Bogra,2023-03-03,2023,3,3,24.7,71.4,1016.5,9.0,154.0,5.0,50.0,59.0,86.0,6.0,15.0,73.0,435.0
Bogra,2023-03-04,2023,3,4,25.2,70.8,1015.9,8.0,153.0,5.0,56.0,66.0,96.0,6.0,18.0,73.0,474.0
Bogra,2023-03-05,2023,3,5,25.1,72.3,1014.8,8.0,160.0,5.0,61.0,73.0,105.0,7.0,16.0,78.0,494.0
Bogra,2023-03-06,2023,3,6,24.7,64.1,1014.0,9.0,151.0,5.0,41.0,49.0,71.0,9.0,12.0,72.0,419.0
Bogra,2023-03-07,2023,3,7,24.2,60.2,1014.6,9.0,117.0,4.0,33.0,39.0,56.0,9.0,13.0,68.0,350.0
Bogra,2023-03-08,2023,3,8,24.2,61.7,1015.8,9.0,111.0,4.0,35.0,41.0,59.0,6.0,10.0,77.0,372.0
Bogra,2023-03-09,2023,3,9,24.5,64.9,1014.7,9.0,118.0,4.0,44.0,52.0,74.0,7.0,8.0,83.0,360.0
Bogra,2023-03-10,2023,3,10,24.6,66.1,1014.2,8.0,146.0,5.0,40.0,47.0,68.0,7.0,9.0,82.0,355.0
Bogra,2023-03-11,2023,3,11,25.0,64.8,1014.3,9.0,141.0,5.0,50.0,59.0,84.0,10.0,13.0,78.0,363.0
Bogra,2023-03-12,2023,3,12,25.3,64.1,1013.8,9.0,149.0,5.0,49.0,57.0,82.0,10.0,10.0,80.0,365.0
Bogra,2023-03-13,2023,3,13,25.8,64.6,1011.9,9.0,153.0,5.0,49.0,57.0,82.0,6.0,14.0,72.0,443.0
Bogra,2023-03-14,2023,3,14,25.5,72.3,1009.7,9.0,154.0,5.0,61.0,71.0,102.0,11.0,12.0,95.0,515.0
Bogra,2023-03-15,2023,3,15,25.3,76.8,1009.2,9.0,162.0,6.0,65.0,76.0,110.0,5.0,6.0,43.0,259.0
