district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Brahmanbaria,2023-03-01,2023,3,1,25.5,59.9,1017.0,9.0,152.0,5.0,48.0,57.0,83.0,9.0,45.0,63.0,387.0
Brahmanbaria,2023-03-02,2023,3,2,25.8,64.8,1016.4,9.0,154.0,5.0,59.0,69.0,101.0,12.0,59.0,53.0,503.0
Brahmanbaria,2023-03-03,2023,3,3,26.5,60.2,1016.2,9.0,159.0,5.0,57.0,68.0,98.0,10.0,54.0,55.0,495.0
Brahmanbaria,2023-03-04,2023,3,4,26.6,61.9,1015.7,9.0,153.0,5.0,51.0,61.0,89.0,7.0,48.0,56.0,416.0
Brahmanbaria,2023-03-05,2023,3,5,26.8,60.9,1014.6,9.0,156.0,5.0,60.0,72.0,104.0,11.0,54.0,57.0,480.0
Brahmanbaria,2023-03-06,2023,3,6,27.1,59.3,1013.8,9.0,164.0,6.0,63.0,74.0,108.0,15.0,60.0,57.0,563.0
Brahmanbaria,2023-03-07,2023,3,7,26.6,59.7,1014.5,9.0,156.0,5.0,55.0,65.0,94.0,18.0,45.0,58.0,378.0
Brahmanbaria,2023-03-08,2023,3,8,26.3,59.2,1015.2,8.0,132.0,4.0,29.0,34.0,49.0,8.0,25.0,60.0,256.0
Brahmanbaria,2023-03-09,2023,3,9,26.4,63.4,1014.0,9.0,111.0,4.0,45.0,52.0,76.0,10.0,38.0,59.0,347.0
Brahmanbaria,2023-03-10,2023,3,10,25.6,63.9,1013.8,8.0,152.0,5.0,48.0,56.0,81.0,12.0,46.0,46.0,433.0
Brahmanbaria,2023-03-11,2023,3,11,26.5,63.4,1013.9,8.0,152.0,5.0,51.0,60.0,86.0,10.0,59.0,41.0,451.0
Brahmanbaria,2023-03-12,2023,3,12,27.1,63.8,1012.8,9.0,145.0,5.0,43.0,51.0,73.0,8.0,49.0,51.0,366.0
Brahmanbaria,2023-03-13,2023,3,13,26.6,63.8,1011.2,9.0,149.0,5.0,52.0,60.0,87.0,8.0,39.0,60.0,349.0
Brahmanbaria,2023-03-14,2023,3,14,27.4,61.6,1009.8,8.0,153.0,5.0,55.0,64.0,92.0,16.0,30.0,72.0,365.0
Brahmanbaria,2023-03-15,2023,3,15,26.4,72.5,1009.6,8.0,158.0,5.0,63.0,74.0,107.0,6.0,16.0,24.0,196.0
Brahmanbaria,2023-03-16,2023,3,16,26.9,74.2,1011.9,9.0,164.0,6.0,68.0,80.0,117.0,7.0,39.0,56.0,426.0
Brahmanbaria,2023-03-17,2023,3,17,24.8,77.7,1012.6,6.0,162.0,6.0,66.0,78.0,113.0,9.0,37.0,65.0,430.0
Brahmanbaria,2023-03-18,2023,3,18,25.9,70.3,1010.8,8.0,163.0,6.0,68.0,80.0,117.0,9.0,42.0,62.0,454.0
Brahmanbaria,2023-03-19,2023,3,19,22.8,84.8,1010.3,3.0,163.0,6.0,57.0,67.0,97.0,9.0,52.0,33.0,500.0
Brahmanbaria,2023-03-20,2023,3,20,24.5,78.2,1009.0,8.0,114.0,4.0,19.0,22.0,32.0,1.0,22.0,42.0,311.0
Brahmanbaria,2023-03-21,2023,3,21,23.4,78.9,1009.6,4.0,58.0,2.0,19.0,23.0,33.0,4.0,27.0,41.0,277.0
