district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Chandpur,2023-03-01,2023,3,1,26.8,54.3,1017.0,9.0,150.0,5.0,50.0,59.0,86.0,10.0,13.0,101.0,379.0
Chandpur,2023-03-02,2023,3,2,26.5,62.9,1016.5,9.0,156.0,5.0,59.0,69.0,100.0,13.0,18.0,96.0,474.0
Chandpur,2023-03-03,2023,3,3,27.6,59.6,1016.2,9.0,158.0,5.0,57.0,67.0,97.0,12.0,19.0,89.0,494.0
Chandpur,2023-03-04,2023,3,4,27.0,65.5,1015.8,9.0,155.0,5.0,55.0,66.0,96.0,9.0,17.0,83.0,465.0
Chandpur,2023-03-05,2023,3,5,27.6,57.6,1014.9,9.0,157.0,5.0,57.0,68.0,98.0,11.0,20.0,85.0,453.0
Chandpur,2023-03-06,2023,3,6,27.9,56.6,1014.0,9.0,157.0,5.0,52.0,62.0,91.0,7.0,20.0,84.0,478.0
Chandpur,2023-03-07,2023,3,7,28.0,56.5,1014.6,9.0,149.0,5.0,46.0,55.0,79.0,9.0,19.0,81.0,412.0
Chandpur,2023-03-08,2023,3,8,27.7,53.3,1015.4,7.0,125.0,4.0,32.0,38.0,54.0,11.0,17.0,73.0,333.0
Chandpur,2023-03-09,2023,3,9,27.8,61.1,1014.2,9.0,113.0,4.0,44.0,52.0,75.0,13.0,15.0,82.0,375.0
Chandpur,2023-03-10,2023,3,10,27.5,53.1,1013.8,7.0,153.0,5.0,51.0,60.0,87.0,16.0,22.0,75.0,452.0
Chandpur,2023-03-11,2023,3,11,27.6,58.8,1013.9,8.0,155.0,5.0,58.0,68.0,98.0,16.0,30.0,85.0,485.0
Chandpur,2023-03-12,2023,3,12,27.9,57.9,1013.1,9.0,153.0,5.0,46.0,53.0,77.0,12.0,14.0,88.0,366.0
Chandpur,2023-03-13,2023,3,13,28.6,56.6,1011.4,9.0,144.0,5.0,43.0,50.0,72.0,11.0,15.0,80.0,357.0
Chandpur,2023-03-14,2023,3,14,28.2,59.5,1009.9,8.0,145.0,5.0,52.0,61.0,88.0,11.0,21.0,75.0,473.0
Chandpur,2023-03-15,2023,3,15,27.4,68.5,1009.4,8.0,154.0,5.0,48.0,57.0,83.0,3.0,6.0,28.0,232.0
Chandpur,2023-03-16,2023,3,16,27.7,68.2,1011.8,9.0,126.0,4.0,39.0,47.0,69.0,3.0,8.0,63.0,299.0
Chandpur,2023-03-17,2023,3,17,26.0,73.7,1012.7,6.0,154.0,5.0,66.0,78.0,113.0,11.0,13.0,82.0,458.0
Chandpur,2023-03-18,2023,3,18,25.8,71.4,1011.0,8.0,162.0,6.0,62.0,73.0,106.0,9.0,11.0,82.0,437.0
Chandpur,2023-03-19,2023,3,19,24.0,80.6,1010.2,4.0,153.0,5.0,40.0,47.0,68.0,3.0,11.0,55.0,378.0
Chandpur,2023-03-20,2023,3,20,25.3,74.7,1008.9,7.0,76.0,3.0,9.0,11.0,17.0,0.0,2.0,59.0,236.0
Chandpur,2023-03-21,2023,3,21,25.7,69.6,1009.3,6.0,40.0,2.0,11.0,14.0,20.0,1.0,2.0,60.0,199.0
Chandpur,2023-03-22,2023,3,22,25.7,70.2,1008.6,8.0,70.0,3.0,22.0,26.0,37.0,1.0,5.0,62.0,258.0
Chandpur,2023-03-23,2023,3,23,26.1,69.5,1008.5,9.0,79.0,4.0,22.0,26.0,38.0,5.0,5.0,74.0,291.0
Chandpur,2023-03-24,2023,3,24,25.9,74.7,1010.2,9.0,87.0,4.0,28.0,33.0,49.0,3.0,9.0,64.0,279.0
Chandpur,2023-03-25,2023,3,25,26.7,76.0,1010.9,9.0,119.0,4.0,40.0,47.0,69.0,4.0,17.0,62.0,372.0
