district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Chittagong,2023-03-01,2023,3,1,27.2,54.5,1016.5,9.0,131.0,4.0,35.0,41.0,60.0,8.0,10.0,92.0,287.0
Chittagong,2023-03-02,2023,3,2,27.1,47.1,1015.8,9.0,107.0,4.0,32.0,39.0,56.0,7.0,9.0,99.0,268.0
Chittagong,2023-03-03,2023,3,3,27.0,57.2,1016.0,9.0,113.0,4.0,36.0,43.0,62.0,13.0,6.0,107.0,282.0
Chittagong,2023-03-04,2023,3,4,26.8,60.2,1015.6,9.0,120.0,4.0,37.0,45.0,65.0,13.0,6.0,100.0,274.0
Chittagong,2023-03-05,2023,3,5,26.2,71.8,1014.8,9.0,135.0,4.0,43.0,52.0,75.0,16.0,7.0,101.0,312.0
Chittagong,2023-03-06,2023,3,6,26.6,75.1,1014.1,9.0,142.0,5.0,43.0,52.0,74.0,18.0,7.0,102.0,347.0
Chittagong,2023-03-07,2023,3,7,27.7,59.5,1014.2,9.0,119.0,4.0,31.0,36.0,52.0,14.0,6.0,95.0,272.0
Chittagong,2023-03-08,2023,3,8,27.6,48.0,1014.4,8.0,94.0,4.0,24.0,28.0,40.0,12.0,5.0,99.0,231.0
Chittagong,2023-03-09,2023,3,9,27.6,53.7,1013.3,9.0,89.0,4.0,32.0,37.0,53.0,8.0,9.0,93.0,268.0
Chittagong,2023-03-10,2023,3,10,27.6,53.4,1012.9,8.0,117.0,4.0,34.0,40.0,57.0,10.0,9.0,95.0,297.0
Chittagong,2023-03-11,2023,3,11,28.4,49.7,1012.7,9.0,109.0,4.0,35.0,41.0,59.0,6.0,9.0,94.0,294.0
Chittagong,2023-03-12,2023,3,12,28.8,48.3,1012.0,9.0,118.0,4.0,37.0,43.0,62.0,6.0,10.0,95.0,308.0
Chittagong,2023-03-13,2023,3,13,28.4,42.8,1011.0,9.0,120.0,4.0,37.0,43.0,62.0,12.0,6.0,105.0,286.0
Chittagong,2023-03-14,2023,3,14,26.4,71.5,1010.5,9.0,141.0,5.0,50.0,59.0,84.0,17.0,8.0,102.0,393.0
Chittagong,2023-03-15,2023,3,15,26.7,82.3,1010.3,9.0,156.0,5.0,58.0,68.0,98.0,10.0,5.0,35.0,195.0
Chittagong,2023-03-16,2023,3,16,26.5,83.7,1012.4,9.0,166.0,6.0,77.0,91.0,132.0,11.0,13.0,82.0,442.0
Chittagong,2023-03-17,2023,3,17,26.5,85.1,1011.9,8.0,163.0,5.0,65.0,76.0,111.0,10.0,17.0,79.0,496.0
Chittagong,2023-03-18,2023,3,18,26.0,73.1,1010.8,9.0,158.0,5.0,60.0,70.0,102.0,10.0,13.0,98.0,412.0
