district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Chuadanga,2023-03-01,2023,3,1,24.4,63.4,1016.6,9.0,156.0,5.0,55.0,65.0,94.0,10.0,26.0,73.0,451.0
Chuadanga,2023-03-02,2023,3,2,24.9,66.9,1016.3,9.0,159.0,5.0,63.0,74.0,107.0,16.0,31.0,82.0,560.0
Chuadanga,2023-03-03,2023,3,3,25.9,62.7,1016.5,9.0,159.0,5.0,58.0,68.0,100.0,12.0,32.0,62.0,470.0
Chuadanga,2023-03-04,2023,3,4,25.7,64.3,1015.6,9.0,159.0,5.0,65.0,76.0,111.0,12.0,39.0,60.0,564.0
Chuadanga,2023-03-05,2023,3,5,26.4,62.2,1014.8,9.0,161.0,5.0,63.0,75.0,108.0,14.0,39.0,59.0,527.0
Chuadanga,2023-03-06,2023,3,6,25.3,61.4,1013.8,9.0,155.0,5.0,46.0,54.0,79.0,15.0,33.0,61.0,419.0
Chuadanga,2023-03-07,2023,3,7,25.9,57.3,1014.5,9.0,145.0,5.0,45.0,52.0,75.0,10.0,36.0,56.0,447.0
Chuadanga,2023-03-08,2023,3,8,25.7,57.3,1015.2,9.0,127.0,4.0,38.0,44.0,64.0,8.0,19.0,70.0,331.0
Chuadanga,2023-03-09,2023,3,9,25.2,63.6,1014.4,9.0,135.0,4.0,54.0,63.0,91.0,11.0,22.0,74.0,397.0
Chuadanga,2023-03-10,2023,3,10,25.9,65.5,1013.8,7.0,162.0,6.0,65.0,76.0,109.0,13.0,38.0,61.0,530.0
Chuadanga,2023-03-11,2023,3,11,25.6,64.5,1014.2,9.0,164.0,6.0,76.0,88.0,127.0,19.0,32.0,79.0,491.0
Chuadanga,2023-03-12,2023,3,12,25.8,65.6,1013.4,9.0,163.0,6.0,63.0,73.0,105.0,12.0,18.0,86.0,385.0
Chuadanga,2023-03-13,2023,3,13,26.4,66.6,1011.7,9.0,159.0,5.0,61.0,71.0,103.0,13.0,20.0,88.0,422.0
Chuadanga,2023-03-14,2023,3,14,26.7,68.3,1009.6,9.0,166.0,6.0,81.0,95.0,137.0,18.0,27.0,107.0,627.0
Chuadanga,2023-03-15,2023,3,15,27.1,66.8,1008.9,9.0,172.0,6.0,79.0,93.0,134.0,9.0,12.0,29.0,286.0
Chuadanga,2023-03-16,2023,3,16,25.9,77.5,1011.2,7.0,161.0,5.0,59.0,70.0,102.0,12.0,17.0,72.0,374.0
Chuadanga,2023-03-17,2023,3,17,23.0,84.1,1012.7,4.0,163.0,6.0,64.0,75.0,109.0,4.0,19.0,54.0,438.0
Chuadanga,2023-03-18,2023,3,18,24.2,82.3,1011.1,8.0,160.0,5.0,64.0,76.0,110.0,8.0,20.0,63.0,476.0
Chuadanga,2023-03-19,2023,3,19,22.4,89.0,1010.0,5.0,162.0,6.0,55.0,65.0,93.0,12.0,20.0,52.0,521.0
Chuadanga,2023-03-20,2023,3,20,22.5,85.1,1008.8,8.0,106.0,4.0,26.0,31.0,44.0,8.0,14.0,61.0,362.0
Chuadanga,2023-03-21,2023,3,21,23.6,80.6,1009.1,8.0,92.0,4.0,29.0,35.0,50.0,7.0,13.0,73.0,316.0
Chuadanga,2023-03-22,2023,3,22,24.9,75.2,1008.5,9.0,134.0,5.0,57.0,67.0,97.0,19.0,17.0,84.0,472.0
Chuadanga,2023-03-23,2023,3,23,25.6,68.4,1008.3,9.0,164.0,6.0,64.0,75.0,108.0,17.0,29.0,76.0,573.0
Chuadanga,2023-03-24,2023,3,24,26.1,70.1,1009.5,9.0,154.0,5.0,52.0,61.0,89.0,17.0,25.0,80.0,464.0
Chuadanga,2023-03-25,2023,3,25,26.9,73.7,1010.3,9.0,154.0,5.0,51.0,60.0,87.0,16.0,15.0,82.0,382.0
Chuadanga,2023-03-26,2023,3,26,27.2,74.9,1008.6,9.0,146.0,5.0,46.0,55.0,81.0,20.0,16.0,74.0,358.0
Chuadanga,2023-03-27,2023,3,27,26.5,73.3,1008.1,7.0,155.0,5.0,57.0,68.0,101.0,21.0,8.0,95.0,369.0
Chuadanga,2023-03-28,2023,3,28,27.8,64.2,1008.8,9.0,154.0,5.0,47.0,55.0,81.0,16.0,9.0,88.0,356.0
Chuadanga,2023-03-29,2023,3,29,27.3,74.0,1010.1,9.0,153.0,5.0,53.0,63.0,92.0,18.0,10.0,92.0,379.0
Chuadanga,2023-03-30,2023,3,30,27.5,76.4,1008.4,9.0,133.0,4.0,36.0,43.0,64.0,14.0,13.0,75.0,289.0
Chuadanga,2023-03-31,2023,3,31,24.9,81.1,1009.3,7.0,133.0,4.0,44.0,52.0,76.0,16.0,13.0,79.0,315.0
Chuadanga,2023-04-01,2023,4,1,23.9,84.8,1008.8,7.0,150.0,5.0,48.0,57.0,82.0,12.0,11.0,97.0,360.0
Chuadanga,2023-04-02,2023,4,2,25.5,72.9,1007.1,9.0,152.0,5.0,53.0,63.0,91.0,16.0,21.0,82.0,423.0
Chuadanga,2023-04-03,2023,4,3,27.2,62.5,1006.9,9.0,153.0,5.0,42.0,50.0,72.0,12.0,28.0,59.0,423.0
Chuadanga,2023-04-04,2023,4,4,28.4,67.1,1007.1,9.0,117.0,4.0,36.0,43.0,62.0,13.0,22.0,73.0,371.0
