district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Comilla,2023-03-01,2023,3,1,23.5,66.2,1017.1,9.0,151.0,5.0,47.0,56.0,81.0,9.0,23.0,92.0,363.0
Comilla,2023-03-02,2023,3,2,24.1,68.5,1016.5,9.0,152.0,5.0,54.0,64.0,93.0,12.0,36.0,81.0,437.0
Comilla,2023-03-03,2023,3,3,24.6,66.8,1016.2,9.0,157.0,5.0,55.0,65.0,95.0,11.0,37.0,77.0,454.0
Comilla,2023-03-04,2023,3,4,25.4,65.5,1015.7,9.0,152.0,5.0,48.0,57.0,84.0,8.0,24.0,80.0,387.0
Comilla,2023-03-05,2023,3,5,25.7,66.0,1014.6,9.0,153.0,5.0,54.0,64.0,93.0,10.0,25.0,84.0,419.0
Comilla,2023-03-06,2023,3,6,25.7,64.7,1014.0,9.0,160.0,5.0,57.0,68.0,99.0,12.0,30.0,84.0,496.0
Comilla,2023-03-07,2023,3,7,25.1,63.8,1014.6,9.0,152.0,5.0,48.0,57.0,82.0,14.0,24.0,78.0,372.0
Comilla,2023-03-08,2023,3,8,24.5,64.1,1015.2,7.0,127.0,4.0,30.0,35.0,50.0,9.0,13.0,75.0,254.0
Comilla,2023-03-09,2023,3,9,24.6,67.7,1014.0,9.0,108.0,4.0,44.0,52.0,74.0,11.0,21.0,77.0,342.0
Comilla,2023-03-10,2023,3,10,24.0,72.0,1013.8,8.0,152.0,5.0,49.0,58.0,83.0,12.0,30.0,65.0,414.0
Comilla,2023-03-11,2023,3,11,24.8,69.7,1013.9,8.0,152.0,5.0,50.0,59.0,84.0,11.0,45.0,59.0,424.0
Comilla,2023-03-12,2023,3,12,25.6,68.2,1012.8,9.0,143.0,5.0,41.0,48.0,69.0,9.0,27.0,75.0,337.0
Comilla,2023-03-13,2023,3,13,24.7,70.3,1011.3,9.0,142.0,5.0,47.0,55.0,79.0,8.0,23.0,74.0,350.0
Comilla,2023-03-14,2023,3,14,25.9,67.4,1010.2,8.0,151.0,5.0,52.0,61.0,88.0,14.0,16.0,81.0,398.0
Comilla,2023-03-15,2023,3,15,24.8,79.7,1009.9,8.0,155.0,5.0,55.0,65.0,93.0,5.0,4.0,32.0,200.0
Comilla,2023-03-16,2023,3,16,25.8,80.6,1012.0,9.0,155.0,5.0,53.0,63.0,92.0,5.0,15.0,63.0,346.0
Comilla,2023-03-17,2023,3,17,24.1,80.2,1012.6,6.0,156.0,5.0,61.0,72.0,104.0,10.0,17.0,87.0,407.0
Comilla,2023-03-18,2023,3,18,25.5,71.6,1010.9,9.0,161.0,6.0,65.0,77.0,111.0,6.0,18.0,82.0,450.0
Comilla,2023-03-19,2023,3,19,22.2,88.7,1010.6,4.0,162.0,6.0,55.0,65.0,94.0,7.0,27.0,50.0,487.0
Comilla,2023-03-20,2023,3,20,23.1,83.0,1009.3,7.0,108.0,4.0,17.0,20.0,29.0,1.0,3.0,58.0,289.0
Comilla,2023-03-21,2023,3,21,22.0,86.6,1009.8,4.0,51.0,2.0,15.0,18.0,27.0,1.0,4.0,59.0,237.0
Comilla,2023-03-22,2023,3,22,23.3,81.4,1009.1,8.0,88.0,4.0,29.0,35.0,50.0,2.0,11.0,62.0,321.0
Comilla,2023-03-23,2023,3,23,24.3,79.8,1008.9,9.0,90.0,4.0,25.0,30.0,44.0,4.0,9.0,79.0,328.0
Comilla,2023-03-24,2023,3,24,24.2,79.8,1010.3,9.0,97.0,4.0,32.0,38.0,55.0,4.0,16.0,60.0,326.0
Comilla,2023-03-25,2023,3,25,25.2,78.7,1010.9,9.0,127.0,4.0,48.0,57.0,82.0,6.0,23.0,77.0,403.0
Comilla,2023-03-26,2023,3,26,26.1,79.1,1009.0,9.0,153.0,5.0,43.0,51.0,74.0,4.0,16.0,61.0,329.0
Comilla,2023-03-27,2023,3,27,26.0,76.1,1008.5,7.0,124.0,4.0,42.0,50.0,74.0,5.0,6.0,84.0,270.0
Comilla,2023-03-28,2023,3,28,26.4,79.3,1009.2,8.0,134.0,4.0,42.0,50.0,73.0,4.0,8.0,70.0,303.0
Comilla,2023-03-29,2023,3,29,24.5,83.2,1011.0,9.0,143.0,5.0,39.0,47.0,69.0,4.0,6.0,67.0,283.0
Comilla,2023-03-30,2023,3,30,25.5,80.2,1009.4,9.0,119.0,4.0,35.0,42.0,62.0,2.0,9.0,55.0,263.0
Comilla,2023-03-31,2023,3,31,25.0,80.0,1009.6,8.0,100.0,4.0,27.0,32.0,48.0,2.0,10.0,52.0,219.0
Comilla,2023-04-01,2023,4,1,23.8,86.5,1009.0,3.0,99.0,4.0,28.0,34.0,48.0,2.0,12.0,77.0,287.0
Comilla,2023-04-02,2023,4,2,25.7,77.2,1007.5,9.0,81.0,4.0,20.0,24.0,35.0,2.0,4.0,77.0,229.0
Comilla,2023-04-03,2023,4,3,26.8,75.3,1007.3,8.0,76.0,3.0,20.0,24.0,35.0,3.0,4.0,70.0,212.0
Comilla,2023-04-04,2023,4,4,27.0,79.4,1008.0,9.0,76.0,3.0,20.0,25.0,37.0,4.0,4.0,64.0,200.0
Comilla,2023-04-05,2023,4,5,28.1,80.5,1007.5,6.0,79.0,4.0,21.0,27.0,41.0,2.0,3.0,56.0,177.0
Comilla,2023-04-06,2023,4,6,27.5,77.1,1010.0,9.0,90.0,4.0,31.0,37.0,55.0,4.0,13.0,69.0,249.0
Comilla,2023-04-07,2023,4,7,27.9,69.2,1011.5,9.0,120.0,4.0,38.0,45.0,66.0,6.0,15.0,91.0,319.0
Comilla,2023-04-08,2023,4,8,27.9,65.0,1012.4,10.0,134.0,4.0,44.0,52.0,75.0,7.0,16.0,89.0,386.0
Comilla,2023-04-09,2023,4,9,28.6,62.5,1011.9,10.0,155.0,5.0,62.0,73.0,105.0,9.0,15.0,100.0,492.0
Comilla,2023-04-10,2023,4,10,28.7,64.8,1010.2,9.0,164.0,6.0,67.0,79.0,113.0,10.0,9.0,105.0,512.0
Comilla,2023-04-11,2023,4,11,29.7,66.4,1009.5,8.0,161.0,5.0,63.0,74.0,107.0,9.0,8.0,101.0,465.0
Comilla,2023-04-12,2023,4,12,30.0,62.8,1008.7,10.0,173.0,6.0,96.0,112.0,161.0,9.0,11.0,108.0,723.0
Comilla,2023-04-13,2023,4,13,30.3,62.6,1007.6,10.0,177.0,6.0,78.0,92.0,132.0,9.0,13.0,93.0,636.0
Comilla,2023-04-14,2023,4,14,30.9,64.5,1007.4,10.0,152.0,5.0,46.0,54.0,78.0,7.0,19.0,81.0,394.0
Comilla,2023-04-15,2023,4,15,31.5,68.9,1006.8,9.0,154.0,5.0,58.0,68.0,99.0,9.0,25.0,83.0,396.0
Comilla,2023-04-16,2023,4,16,31.5,69.7,1005.5,10.0,159.0,5.0,64.0,75.0,108.0,9.0,18.0,105.0,458.0
Comilla,2023-04-17,2023,4,17,31.5,76.2,1006.7,9.0,155.0,5.0,45.0,54.0,79.0,5.0,5.0,75.0,320.0
Comilla,2023-04-18,2023,4,18,31.4,77.3,1007.9,9.0,126.0,4.0,38.0,47.0,70.0,4.0,4.0,72.0,269.0
Comilla,2023-04-19,2023,4,19,31.5,76.0,1004.7,9.0,122.0,4.0,31.0,38.0,57.0,3.0,4.0,65.0,244.0
Comilla,2023-04-20,2023,4,20,31.0,76.4,1002.2,10.0,98.0,4.0,26.0,33.0,51.0,3.0,3.0,66.0,206.0
Comilla,2023-04-21,2023,4,21,28.5,80.0,1003.4,8.0,91.0,4.0,25.0,32.0,50.0,3.0,3.0,72.0,192.0
Comilla,2023-04-22,2023,4,22,27.7,72.9,1004.6,9.0,102.0,4.0,31.0,38.0,58.0,4.0,5.0,76.0,256.0
Comilla,2023-04-23,2023,4,23,27.2,74.3,1007.5,4.0,109.0,4.0,33.0,40.0,59.0,6.0,10.0,84.0,320.0
Comilla,2023-04-24,2023,4,24,27.3,67.5,1010.1,10.0,122.0,4.0,40.0,47.0,68.0,6.0,19.0,82.0,340.0
Comilla,2023-04-25,2023,4,25,28.8,65.7,1009.9,9.0,135.0,4.0,43.0,50.0,73.0,9.0,18.0,92.0,346.0
Comilla,2023-04-26,2023,4,26,29.8,59.8,1008.3,9.0,150.0,5.0,51.0,60.0,87.0,12.0,17.0,99.0,383.0
Comilla,2023-04-27,2023,4,27,29.1,63.6,1008.5,9.0,154.0,5.0,55.0,64.0,92.0,13.0,14.0,110.0,413.0
Comilla,2023-04-28,2023,4,28,27.9,68.0,1009.1,8.0,155.0,5.0,52.0,61.0,87.0,13.0,11.0,104.0,390.0
Comilla,2023-04-29,2023,4,29,29.4,67.4,1008.0,9.0,153.0,5.0,48.0,57.0,82.0,9.0,12.0,100.0,400.0
Comilla,2023-04-30,2023,4,30,28.8,66.0,1007.2,9.0,146.0,5.0,47.0,55.0,80.0,10.0,14.0,101.0,330.0
Comilla,2023-05-01,2023,5,1,29.0,67.5,1008.0,7.0,149.0,5.0,45.0,53.0,77.0,10.0,17.0,91.0,338.0
Comilla,2023-05-02,2023,5,2,29.7,64.4,1008.9,10.0,150.0,5.0,52.0,61.0,87.0,12.0,22.0,79.0,379.0
Comilla,2023-05-03,2023,5,3,28.7,70.8,1009.9,8.0,149.0,5.0,40.0,47.0,68.0,7.0,18.0,77.0,337.0
Comilla,2023-05-04,2023,5,4,27.0,80.2,1009.2,5.0,101.0,4.0,27.0,31.0,46.0,4.0,11.0,60.0,260.0
Comilla,2023-05-05,2023,5,5,28.8,73.7,1006.2,7.0,83.0,4.0,23.0,27.0,39.0,2.0,12.0,58.0,279.0
Comilla,2023-05-06,2023,5,6,29.7,73.8,1005.1,8.0,116.0,4.0,49.0,58.0,83.0,8.0,19.0,95.0,425.0
Comilla,2023-05-07,2023,5,7,30.8,69.1,1004.8,9.0,154.0,5.0,50.0,59.0,86.0,8.0,16.0,88.0,376.0
Comilla,2023-05-08,2023,5,8,32.7,59.3,1004.2,9.0,151.0,5.0,50.0,59.0,86.0,10.0,15.0,99.0,396.0
Comilla,2023-05-09,2023,5,9,33.0,58.3,1004.2,10.0,155.0,5.0,56.0,66.0,96.0,11.0,19.0,100.0,432.0
Comilla,2023-05-10,2023,5,10,32.3,63.5,1005.2,9.0,155.0,5.0,51.0,60.0,87.0,10.0,15.0,86.0,381.0
Comilla,2023-05-11,2023,5,11,31.6,66.9,1007.2,9.0,117.0,4.0,27.0,32.0,47.0,5.0,13.0,67.0,259.0
Comilla,2023-05-12,2023,5,12,30.7,69.1,1007.0,8.0,106.0,4.0,32.0,38.0,56.0,6.0,18.0,69.0,287.0
Comilla,2023-05-13,2023,5,13,29.3,73.4,1005.5,6.0,103.0,4.0,29.0,34.0,50.0,3.0,8.0,66.0,268.0
Comilla,2023-05-14,2023,5,14,26.0,76.0,1000.3,2.0,79.0,3.0,15.0,18.0,26.0,0.0,1.0,24.0,102.0
Comilla,2023-05-15,2023,5,15,28.2,66.5,1003.7,8.0,66.0,2.0,18.0,21.0,30.0,1.0,2.0,70.0,177.0
