district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Cox's Bazar,2023-03-01,2023,3,1,25.9,61.8,1016.5,9.0,119.0,4.0,35.0,42.0,62.0,7.0,5.0,125.0,276.0
Cox's Bazar,2023-03-02,2023,3,2,26.2,54.2,1016.0,9.0,121.0,4.0,36.0,43.0,63.0,6.0,5.0,124.0,276.0
Cox's Bazar,2023-03-03,2023,3,3,26.2,58.8,1016.2,9.0,122.0,4.0,36.0,43.0,63.0,8.0,4.0,125.0,289.0
Cox's Bazar,2023-03-04,2023,3,4,26.2,67.8,1015.9,9.0,121.0,4.0,37.0,44.0,65.0,7.0,5.0,116.0,279.0
Cox's Bazar,2023-03-05,2023,3,5,25.8,71.6,1015.0,9.0,123.0,4.0,34.0,42.0,63.0,6.0,6.0,112.0,285.0
Cox's Bazar,2023-03-06,2023,3,6,25.5,75.3,1014.4,9.0,122.0,4.0,35.0,42.0,62.0,6.0,6.0,118.0,310.0
Cox's Bazar,2023-03-07,2023,3,7,26.7,59.0,1014.4,9.0,117.0,4.0,31.0,38.0,55.0,7.0,4.0,119.0,258.0
Cox's Bazar,2023-03-08,2023,3,8,26.8,56.9,1014.5,9.0,101.0,4.0,26.0,31.0,45.0,8.0,4.0,112.0,237.0
Cox's Bazar,2023-03-09,2023,3,9,26.8,57.1,1013.3,9.0,95.0,4.0,32.0,38.0,55.0,6.0,6.0,108.0,265.0
Cox's Bazar,2023-03-10,2023,3,10,27.4,55.5,1012.7,9.0,118.0,4.0,35.0,41.0,59.0,8.0,7.0,113.0,308.0
Cox's Bazar,2023-03-11,2023,3,11,27.5,54.0,1012.5,9.0,114.0,4.0,37.0,43.0,63.0,5.0,7.0,111.0,302.0
Cox's Bazar,2023-03-12,2023,3,12,27.7,56.6,1012.0,9.0,124.0,4.0,39.0,47.0,67.0,5.0,6.0,109.0,315.0
Cox's Bazar,2023-03-13,2023,3,13,27.4,54.5,1011.1,9.0,127.0,4.0,37.0,44.0,64.0,6.0,5.0,117.0,280.0
Cox's Bazar,2023-03-14,2023,3,14,26.2,72.1,1010.9,9.0,124.0,4.0,37.0,44.0,64.0,4.0,4.0,106.0,336.0
Cox's Bazar,2023-03-15,2023,3,15,25.9,80.8,1010.8,9.0,121.0,4.0,35.0,43.0,64.0,2.0,3.0,37.0,155.0
Cox's Bazar,2023-03-16,2023,3,16,26.1,82.2,1012.5,9.0,122.0,4.0,37.0,45.0,68.0,2.0,5.0,80.0,263.0
Cox's Bazar,2023-03-17,2023,3,17,25.9,83.6,1012.3,9.0,124.0,4.0,40.0,49.0,74.0,4.0,8.0,90.0,333.0
Cox's Bazar,2023-03-18,2023,3,18,26.3,76.9,1010.9,8.0,149.0,5.0,54.0,65.0,95.0,6.0,6.0,116.0,385.0
Cox's Bazar,2023-03-19,2023,3,19,24.9,74.8,1010.9,4.0,152.0,5.0,41.0,49.0,71.0,4.0,5.0,80.0,355.0
Cox's Bazar,2023-03-20,2023,3,20,24.3,76.8,1010.6,6.0,109.0,4.0,27.0,32.0,46.0,0.0,3.0,69.0,337.0
Cox's Bazar,2023-03-21,2023,3,21,24.3,80.0,1010.5,7.0,68.0,3.0,9.0,12.0,19.0,0.0,3.0,66.0,221.0
Cox's Bazar,2023-03-22,2023,3,22,24.7,81.2,1009.6,7.0,49.0,2.0,9.0,12.0,19.0,1.0,4.0,66.0,187.0
Cox's Bazar,2023-03-23,2023,3,23,25.6,79.0,1009.6,9.0,61.0,3.0,11.0,15.0,25.0,3.0,4.0,92.0,203.0
Cox's Bazar,2023-03-24,2023,3,24,26.0,76.3,1010.3,9.0,68.0,3.0,17.0,22.0,35.0,3.0,4.0,94.0,197.0
Cox's Bazar,2023-03-25,2023,3,25,26.6,73.1,1010.9,9.0,82.0,4.0,26.0,32.0,48.0,4.0,8.0,86.0,220.0
