district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Faridpur,2023-03-01,2023,3,1,27.3,52.6,1017.0,9.0,151.0,5.0,56.0,67.0,97.0,12.0,31.0,76.0,458.0
Faridpur,2023-03-02,2023,3,2,26.8,61.9,1016.4,9.0,158.0,5.0,55.0,64.0,93.0,12.0,36.0,73.0,530.0
Faridpur,2023-03-03,2023,3,3,27.7,59.1,1016.3,9.0,156.0,5.0,55.0,64.0,94.0,11.0,48.0,60.0,591.0
Faridpur,2023-03-04,2023,3,4,26.7,68.1,1015.7,9.0,156.0,5.0,58.0,69.0,100.0,10.0,40.0,69.0,565.0
Faridpur,2023-03-05,2023,3,5,27.5,59.1,1014.9,9.0,159.0,5.0,63.0,74.0,108.0,11.0,30.0,89.0,490.0
Faridpur,2023-03-06,2023,3,6,28.0,55.7,1014.0,9.0,153.0,5.0,43.0,51.0,75.0,8.0,13.0,81.0,325.0
Faridpur,2023-03-07,2023,3,7,28.2,55.9,1014.6,9.0,129.0,4.0,35.0,41.0,59.0,5.0,17.0,72.0,298.0
Faridpur,2023-03-08,2023,3,8,27.8,52.8,1015.4,9.0,96.0,4.0,28.0,33.0,48.0,7.0,17.0,72.0,311.0
Faridpur,2023-03-09,2023,3,9,27.8,60.9,1014.2,9.0,106.0,4.0,41.0,48.0,69.0,7.0,8.0,83.0,325.0
Faridpur,2023-03-10,2023,3,10,27.8,51.6,1013.8,8.0,150.0,5.0,48.0,57.0,81.0,7.0,16.0,75.0,399.0
Faridpur,2023-03-11,2023,3,11,27.7,59.2,1013.9,8.0,153.0,5.0,55.0,64.0,92.0,7.0,18.0,79.0,417.0
Faridpur,2023-03-12,2023,3,12,28.1,57.2,1013.2,9.0,152.0,5.0,49.0,57.0,82.0,9.0,9.0,93.0,336.0
Faridpur,2023-03-13,2023,3,13,28.8,55.4,1011.4,9.0,143.0,5.0,39.0,46.0,65.0,7.0,9.0,89.0,307.0
Faridpur,2023-03-14,2023,3,14,28.4,58.4,1009.8,9.0,141.0,5.0,55.0,64.0,92.0,9.0,20.0,92.0,440.0
Faridpur,2023-03-15,2023,3,15,27.6,67.6,1009.3,9.0,155.0,5.0,53.0,62.0,91.0,3.0,14.0,24.0,237.0
Faridpur,2023-03-16,2023,3,16,27.8,67.6,1011.8,8.0,150.0,5.0,46.0,55.0,81.0,3.0,15.0,68.0,325.0
Faridpur,2023-03-17,2023,3,17,26.1,73.5,1012.7,7.0,156.0,5.0,64.0,76.0,110.0,9.0,28.0,70.0,514.0
Faridpur,2023-03-18,2023,3,18,26.0,69.9,1011.0,8.0,164.0,6.0,66.0,78.0,113.0,8.0,14.0,89.0,445.0
Faridpur,2023-03-19,2023,3,19,24.1,79.9,1010.2,4.0,152.0,5.0,38.0,44.0,64.0,3.0,8.0,66.0,327.0
Faridpur,2023-03-20,2023,3,20,25.6,73.7,1008.8,7.0,70.0,3.0,9.0,11.0,16.0,1.0,5.0,60.0,234.0
Faridpur,2023-03-21,2023,3,21,25.8,68.3,1009.2,6.0,51.0,2.0,17.0,20.0,29.0,3.0,5.0,72.0,215.0
Faridpur,2023-03-22,2023,3,22,25.9,68.3,1008.6,9.0,86.0,4.0,30.0,36.0,52.0,3.0,13.0,77.0,297.0
Faridpur,2023-03-23,2023,3,23,26.5,66.5,1008.2,9.0,112.0,4.0,34.0,41.0,59.0,8.0,23.0,67.0,395.0
Faridpur,2023-03-24,2023,3,24,25.9,73.9,1009.8,9.0,102.0,4.0,31.0,37.0,53.0,5.0,12.0,75.0,293.0
Faridpur,2023-03-25,2023,3,25,26.5,74.9,1010.6,9.0,137.0,5.0,45.0,53.0,77.0,5.0,15.0,81.0,333.0
Faridpur,2023-03-26,2023,3,26,27.3,68.9,1008.6,9.0,131.0,4.0,37.0,44.0,65.0,6.0,13.0,73.0,276.0
Faridpur,2023-03-27,2023,3,27,27.2,68.5,1008.4,7.0,127.0,4.0,43.0,52.0,77.0,9.0,6.0,93.0,295.0
Faridpur,2023-03-28,2023,3,28,27.8,66.6,1008.7,9.0,144.0,5.0,44.0,52.0,76.0,8.0,7.0,101.0,304.0
Faridpur,2023-03-29,2023,3,29,26.8,76.4,1010.5,9.0,132.0,4.0,36.0,43.0,64.0,4.0,10.0,73.0,270.0
Faridpur,2023-03-30,2023,3,30,27.0,72.6,1008.9,9.0,112.0,4.0,31.0,37.0,55.0,2.0,15.0,50.0,249.0
Faridpur,2023-03-31,2023,3,31,26.3,71.5,1009.6,5.0,92.0,4.0,25.0,30.0,45.0,3.0,9.0,69.0,209.0
Faridpur,2023-04-01,2023,4,1,25.0,77.2,1008.9,8.0,95.0,4.0,28.0,33.0,47.0,5.0,8.0,97.0,282.0
Faridpur,2023-04-02,2023,4,2,26.1,69.3,1007.1,9.0,96.0,4.0,31.0,37.0,53.0,7.0,9.0,98.0,280.0
Faridpur,2023-04-03,2023,4,3,27.9,64.5,1006.9,10.0,107.0,4.0,33.0,40.0,58.0,6.0,17.0,73.0,306.0
Faridpur,2023-04-04,2023,4,4,28.9,63.8,1007.1,9.0,103.0,4.0,28.0,33.0,48.0,8.0,7.0,77.0,219.0
Faridpur,2023-04-05,2023,4,5,29.5,67.5,1006.7,9.0,91.0,4.0,28.0,33.0,50.0,6.0,7.0,68.0,198.0
Faridpur,2023-04-06,2023,4,6,29.7,61.6,1009.7,10.0,113.0,4.0,36.0,43.0,64.0,7.0,12.0,80.0,261.0
Faridpur,2023-04-07,2023,4,7,30.1,55.8,1011.1,10.0,133.0,4.0,42.0,49.0,71.0,11.0,29.0,77.0,402.0
Faridpur,2023-04-08,2023,4,8,29.9,55.4,1012.3,10.0,147.0,5.0,52.0,60.0,87.0,7.0,51.0,76.0,541.0
Faridpur,2023-04-09,2023,4,9,30.1,54.5,1011.7,10.0,151.0,5.0,49.0,58.0,84.0,10.0,30.0,74.0,419.0
Faridpur,2023-04-10,2023,4,10,30.5,56.2,1010.0,9.0,152.0,5.0,50.0,59.0,86.0,12.0,29.0,81.0,435.0
Faridpur,2023-04-11,2023,4,11,30.6,54.6,1009.4,9.0,155.0,5.0,53.0,62.0,90.0,10.0,16.0,93.0,371.0
Faridpur,2023-04-12,2023,4,12,30.9,50.1,1008.4,10.0,153.0,5.0,53.0,62.0,89.0,8.0,16.0,86.0,339.0
Faridpur,2023-04-13,2023,4,13,31.4,51.0,1007.2,10.0,155.0,5.0,53.0,62.0,89.0,9.0,33.0,80.0,432.0
Faridpur,2023-04-14,2023,4,14,31.9,49.7,1006.8,10.0,141.0,5.0,43.0,50.0,73.0,8.0,28.0,76.0,381.0
Faridpur,2023-04-15,2023,4,15,33.1,52.4,1006.7,9.0,152.0,5.0,53.0,63.0,90.0,8.0,57.0,66.0,602.0
Faridpur,2023-04-16,2023,4,16,33.1,53.8,1005.2,10.0,155.0,5.0,55.0,64.0,93.0,10.0,41.0,79.0,508.0
Faridpur,2023-04-17,2023,4,17,32.6,60.6,1006.1,10.0,148.0,5.0,46.0,54.0,78.0,11.0,7.0,98.0,308.0
Faridpur,2023-04-18,2023,4,18,32.3,65.5,1007.2,10.0,139.0,5.0,42.0,50.0,73.0,5.0,8.0,83.0,282.0
Faridpur,2023-04-19,2023,4,19,32.3,64.0,1003.9,10.0,120.0,4.0,31.0,37.0,55.0,6.0,8.0,82.0,246.0
Faridpur,2023-04-20,2023,4,20,32.3,68.4,1001.5,10.0,101.0,4.0,27.0,33.0,50.0,5.0,8.0,80.0,231.0
Faridpur,2023-04-21,2023,4,21,30.6,69.1,1002.7,9.0,95.0,4.0,31.0,39.0,59.0,6.0,7.0,87.0,224.0
Faridpur,2023-04-22,2023,4,22,29.4,61.2,1004.3,10.0,116.0,4.0,33.0,39.0,58.0,5.0,10.0,85.0,271.0
Faridpur,2023-04-23,2023,4,23,27.1,68.8,1007.5,7.0,125.0,4.0,45.0,54.0,78.0,17.0,18.0,78.0,354.0
