district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Feni,2023-03-01,2023,3,1,24.3,58.5,1017.1,9.0,136.0,4.0,44.0,52.0,76.0,8.0,11.0,101.0,349.0
Feni,2023-03-02,2023,3,2,24.7,59.0,1016.4,9.0,151.0,5.0,52.0,61.0,89.0,10.0,19.0,89.0,425.0
Feni,2023-03-03,2023,3,3,25.5,58.6,1016.4,9.0,155.0,5.0,53.0,62.0,91.0,10.0,19.0,87.0,440.0
Feni,2023-03-04,2023,3,4,25.4,61.6,1015.9,9.0,152.0,5.0,49.0,58.0,85.0,8.0,14.0,82.0,418.0
Feni,2023-03-05,2023,3,5,25.9,63.6,1015.0,9.0,153.0,5.0,51.0,61.0,88.0,8.0,14.0,84.0,422.0
Feni,2023-03-06,2023,3,6,25.5,64.5,1014.4,9.0,157.0,5.0,53.0,63.0,92.0,7.0,15.0,85.0,494.0
Feni,2023-03-07,2023,3,7,25.5,60.9,1014.7,9.0,149.0,5.0,46.0,55.0,79.0,9.0,16.0,80.0,423.0
Feni,2023-03-08,2023,3,8,25.5,53.5,1015.2,8.0,128.0,4.0,32.0,38.0,54.0,9.0,11.0,76.0,310.0
Feni,2023-03-09,2023,3,9,25.6,58.0,1013.9,9.0,111.0,4.0,44.0,52.0,74.0,10.0,13.0,81.0,345.0
Feni,2023-03-10,2023,3,10,25.5,59.7,1013.7,6.0,152.0,5.0,49.0,58.0,83.0,11.0,17.0,75.0,405.0
Feni,2023-03-11,2023,3,11,26.1,58.4,1013.6,8.0,152.0,5.0,50.0,59.0,85.0,10.0,26.0,76.0,406.0
Feni,2023-03-12,2023,3,12,26.8,56.8,1012.7,9.0,144.0,5.0,42.0,49.0,71.0,9.0,16.0,83.0,338.0
Feni,2023-03-13,2023,3,13,26.5,54.2,1011.4,9.0,139.0,5.0,45.0,52.0,75.0,8.0,14.0,78.0,347.0
Feni,2023-03-14,2023,3,14,26.0,64.5,1010.6,8.0,151.0,5.0,55.0,65.0,93.0,11.0,16.0,74.0,458.0
Feni,2023-03-15,2023,3,15,26.0,78.5,1010.2,8.0,157.0,5.0,54.0,64.0,93.0,4.0,7.0,23.0,258.0
Feni,2023-03-16,2023,3,16,26.4,80.8,1012.3,9.0,142.0,5.0,44.0,53.0,78.0,3.0,8.0,61.0,314.0
Feni,2023-03-17,2023,3,17,25.9,72.1,1012.4,8.0,155.0,5.0,61.0,72.0,104.0,9.0,9.0,88.0,419.0
Feni,2023-03-18,2023,3,18,26.0,67.2,1011.1,8.0,160.0,5.0,61.0,72.0,105.0,6.0,10.0,82.0,429.0
Feni,2023-03-19,2023,3,19,23.3,86.9,1011.1,3.0,156.0,5.0,47.0,55.0,80.0,4.0,14.0,52.0,436.0
Feni,2023-03-20,2023,3,20,22.2,88.7,1010.0,6.0,97.0,4.0,14.0,17.0,24.0,1.0,3.0,57.0,274.0
Feni,2023-03-21,2023,3,21,22.6,85.5,1010.4,4.0,46.0,2.0,13.0,15.0,23.0,1.0,4.0,52.0,224.0
Feni,2023-03-22,2023,3,22,23.8,81.0,1009.2,8.0,81.0,4.0,27.0,32.0,46.0,1.0,11.0,45.0,330.0
Feni,2023-03-23,2023,3,23,24.8,80.8,1009.5,8.0,85.0,4.0,24.0,28.0,41.0,3.0,8.0,69.0,315.0
Feni,2023-03-24,2023,3,24,25.1,77.3,1010.5,9.0,98.0,4.0,32.0,38.0,56.0,3.0,10.0,59.0,309.0
Feni,2023-03-25,2023,3,25,26.1,75.4,1011.2,9.0,124.0,4.0,44.0,52.0,76.0,4.0,17.0,64.0,401.0
Feni,2023-03-26,2023,3,26,26.7,76.0,1009.9,9.0,144.0,5.0,39.0,46.0,68.0,3.0,10.0,53.0,318.0
Feni,2023-03-27,2023,3,27,25.8,80.3,1009.0,7.0,116.0,4.0,37.0,45.0,66.0,3.0,4.0,72.0,241.0
