district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Gazipur,2023-03-01,2023,3,1,27.3,52.9,1017.0,9.0,153.0,5.0,53.0,62.0,91.0,12.0,25.0,76.0,481.0
Gazipur,2023-03-02,2023,3,2,26.8,62.8,1016.4,9.0,159.0,5.0,66.0,78.0,112.0,21.0,40.0,74.0,632.0
Gazipur,2023-03-03,2023,3,3,27.7,59.0,1016.3,9.0,162.0,6.0,61.0,72.0,104.0,20.0,44.0,64.0,654.0
Gazipur,2023-03-04,2023,3,4,27.2,65.8,1015.7,9.0,159.0,5.0,63.0,75.0,109.0,19.0,44.0,67.0,601.0
Gazipur,2023-03-05,2023,3,5,27.8,56.5,1014.8,9.0,162.0,6.0,69.0,81.0,118.0,18.0,37.0,72.0,572.0
Gazipur,2023-03-06,2023,3,6,28.2,55.4,1014.0,9.0,170.0,6.0,71.0,84.0,121.0,13.0,36.0,58.0,694.0
Gazipur,2023-03-07,2023,3,7,28.2,56.1,1014.6,9.0,157.0,5.0,50.0,59.0,85.0,9.0,28.0,58.0,555.0
Gazipur,2023-03-08,2023,3,8,27.9,52.7,1015.4,9.0,111.0,4.0,29.0,34.0,49.0,9.0,20.0,63.0,334.0
Gazipur,2023-03-09,2023,3,9,28.1,61.0,1014.2,9.0,108.0,4.0,43.0,51.0,73.0,8.0,13.0,74.0,358.0
Gazipur,2023-03-10,2023,3,10,27.8,52.1,1013.8,8.0,152.0,5.0,51.0,59.0,85.0,9.0,19.0,63.0,479.0
Gazipur,2023-03-11,2023,3,11,27.9,57.9,1013.9,8.0,155.0,5.0,57.0,67.0,96.0,9.0,29.0,66.0,596.0
Gazipur,2023-03-12,2023,3,12,28.3,57.2,1013.1,9.0,151.0,5.0,46.0,54.0,77.0,10.0,15.0,82.0,366.0
