district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Gopalganj,2023-03-01,2023,3,1,24.4,65.0,1017.0,9.0,157.0,5.0,55.0,65.0,95.0,10.0,27.0,86.0,379.0
Gopalganj,2023-03-02,2023,3,2,25.2,68.6,1016.6,9.0,156.0,5.0,53.0,62.0,89.0,11.0,32.0,75.0,456.0
Gopalganj,2023-03-03,2023,3,3,26.0,62.6,1016.5,9.0,155.0,5.0,51.0,61.0,88.0,8.0,37.0,60.0,466.0
Gopalganj,2023-03-04,2023,3,4,25.6,65.2,1016.0,9.0,152.0,5.0,51.0,61.0,88.0,6.0,33.0,63.0,441.0
Gopalganj,2023-03-05,2023,3,5,26.1,66.9,1014.9,9.0,156.0,5.0,60.0,71.0,103.0,8.0,33.0,76.0,460.0
Gopalganj,2023-03-06,2023,3,6,25.6,63.0,1014.3,9.0,154.0,5.0,45.0,53.0,78.0,7.0,27.0,63.0,381.0
Gopalganj,2023-03-07,2023,3,7,25.7,63.1,1014.6,9.0,134.0,4.0,39.0,46.0,66.0,7.0,31.0,61.0,370.0
Gopalganj,2023-03-08,2023,3,8,25.4,61.2,1015.5,8.0,109.0,4.0,30.0,35.0,51.0,7.0,24.0,63.0,321.0
Gopalganj,2023-03-09,2023,3,9,25.5,63.7,1014.5,9.0,105.0,4.0,40.0,47.0,67.0,6.0,13.0,79.0,320.0
Gopalganj,2023-03-10,2023,3,10,25.8,67.1,1013.9,7.0,149.0,5.0,48.0,57.0,81.0,8.0,23.0,71.0,389.0
Gopalganj,2023-03-11,2023,3,11,25.7,67.7,1014.1,8.0,155.0,5.0,59.0,69.0,99.0,8.0,30.0,76.0,438.0
Gopalganj,2023-03-12,2023,3,12,26.0,63.8,1013.3,9.0,153.0,5.0,49.0,58.0,83.0,9.0,15.0,89.0,351.0
Gopalganj,2023-03-13,2023,3,13,26.7,63.6,1011.7,9.0,149.0,5.0,43.0,50.0,72.0,8.0,18.0,78.0,339.0
Gopalganj,2023-03-14,2023,3,14,26.4,71.3,1010.1,9.0,147.0,5.0,52.0,61.0,88.0,9.0,22.0,83.0,423.0
Gopalganj,2023-03-15,2023,3,15,26.4,75.9,1009.5,9.0,147.0,5.0,42.0,50.0,74.0,3.0,10.0,26.0,186.0
Gopalganj,2023-03-16,2023,3,16,26.7,81.2,1011.6,8.0,122.0,4.0,39.0,46.0,69.0,2.0,17.0,60.0,298.0
Gopalganj,2023-03-17,2023,3,17,24.5,81.1,1012.6,5.0,154.0,5.0,63.0,75.0,109.0,7.0,24.0,73.0,491.0
Gopalganj,2023-03-18,2023,3,18,25.2,78.6,1011.0,9.0,161.0,6.0,60.0,71.0,102.0,6.0,20.0,70.0,449.0
Gopalganj,2023-03-19,2023,3,19,22.9,87.6,1010.5,5.0,147.0,5.0,34.0,41.0,59.0,2.0,12.0,52.0,333.0
Gopalganj,2023-03-20,2023,3,20,23.4,83.1,1009.0,7.0,65.0,3.0,8.0,10.0,15.0,0.0,5.0,57.0,227.0
Gopalganj,2023-03-21,2023,3,21,23.6,81.8,1009.4,7.0,45.0,2.0,14.0,17.0,25.0,2.0,8.0,60.0,215.0
Gopalganj,2023-03-22,2023,3,22,25.3,76.4,1008.7,9.0,81.0,4.0,26.0,30.0,44.0,2.0,16.0,57.0,276.0
Gopalganj,2023-03-23,2023,3,23,26.1,76.2,1008.7,8.0,91.0,4.0,27.0,32.0,47.0,8.0,17.0,72.0,319.0
Gopalganj,2023-03-24,2023,3,24,26.3,74.4,1010.0,9.0,91.0,4.0,30.0,36.0,52.0,4.0,6.0,79.0,235.0
Gopalganj,2023-03-25,2023,3,25,27.3,76.8,1010.8,9.0,128.0,4.0,41.0,48.0,70.0,5.0,7.0,78.0,243.0
Gopalganj,2023-03-26,2023,3,26,27.2,77.9,1008.9,9.0,112.0,4.0,30.0,36.0,54.0,5.0,7.0,71.0,210.0
Gopalganj,2023-03-27,2023,3,27,25.9,82.4,1008.8,7.0,114.0,4.0,39.0,46.0,69.0,7.0,8.0,88.0,266.0
Gopalganj,2023-03-28,2023,3,28,27.8,74.7,1009.1,9.0,135.0,4.0,42.0,50.0,73.0,8.0,9.0,87.0,286.0
Gopalganj,2023-03-29,2023,3,29,26.9,80.2,1010.6,9.0,123.0,4.0,33.0,39.0,58.0,3.0,11.0,67.0,245.0
Gopalganj,2023-03-30,2023,3,30,26.6,82.7,1009.1,8.0,100.0,4.0,26.0,31.0,47.0,1.0,9.0,54.0,194.0
Gopalganj,2023-03-31,2023,3,31,25.4,83.6,1009.4,5.0,83.0,4.0,23.0,28.0,43.0,2.0,6.0,69.0,181.0
Gopalganj,2023-04-01,2023,4,1,23.7,86.8,1009.1,6.0,93.0,4.0,26.0,31.0,45.0,4.0,8.0,87.0,253.0
Gopalganj,2023-04-02,2023,4,2,26.1,75.3,1007.5,9.0,84.0,4.0,24.0,28.0,41.0,5.0,6.0,87.0,223.0
Gopalganj,2023-04-03,2023,4,3,27.8,70.7,1007.3,9.0,91.0,4.0,28.0,34.0,49.0,7.0,11.0,79.0,234.0
Gopalganj,2023-04-04,2023,4,4,28.6,75.6,1007.7,9.0,92.0,4.0,24.0,29.0,42.0,7.0,7.0,76.0,195.0
Gopalganj,2023-04-05,2023,4,5,29.4,77.6,1007.1,9.0,83.0,4.0,24.0,29.0,44.0,6.0,8.0,69.0,183.0
Gopalganj,2023-04-06,2023,4,6,29.4,69.3,1009.7,10.0,104.0,4.0,34.0,41.0,60.0,5.0,16.0,76.0,264.0
Gopalganj,2023-04-07,2023,4,7,28.9,71.3,1011.3,10.0,117.0,4.0,36.0,42.0,62.0,8.0,24.0,74.0,336.0
Gopalganj,2023-04-08,2023,4,8,29.0,66.5,1012.6,10.0,143.0,5.0,48.0,56.0,81.0,8.0,38.0,74.0,441.0
Gopalganj,2023-04-09,2023,4,9,29.5,65.7,1012.0,10.0,148.0,5.0,47.0,56.0,81.0,11.0,32.0,75.0,408.0
