district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Habiganj,2023-03-01,2023,3,1,23.5,67.2,1017.2,9.0,140.0,5.0,41.0,49.0,71.0,6.0,31.0,70.0,321.0
Habiganj,2023-03-02,2023,3,2,23.9,70.8,1016.5,9.0,138.0,5.0,45.0,53.0,78.0,7.0,36.0,66.0,355.0
Habiganj,2023-03-03,2023,3,3,24.4,69.2,1016.2,9.0,145.0,5.0,43.0,51.0,74.0,7.0,30.0,71.0,348.0
Habiganj,2023-03-04,2023,3,4,25.3,66.4,1015.8,9.0,139.0,5.0,45.0,54.0,78.0,5.0,28.0,71.0,338.0
Habiganj,2023-03-05,2023,3,5,25.5,67.9,1014.7,9.0,152.0,5.0,51.0,61.0,88.0,5.0,34.0,67.0,366.0
Habiganj,2023-03-06,2023,3,6,25.5,66.8,1013.9,9.0,153.0,5.0,46.0,55.0,80.0,8.0,38.0,75.0,384.0
Habiganj,2023-03-07,2023,3,7,25.0,64.9,1014.7,9.0,130.0,4.0,36.0,42.0,61.0,9.0,40.0,57.0,320.0
Habiganj,2023-03-08,2023,3,8,24.3,66.1,1015.2,8.0,103.0,4.0,27.0,32.0,46.0,4.0,31.0,57.0,275.0
Habiganj,2023-03-09,2023,3,9,24.8,67.6,1013.9,9.0,109.0,4.0,43.0,50.0,72.0,7.0,34.0,62.0,329.0
Habiganj,2023-03-10,2023,3,10,23.7,73.4,1013.8,9.0,140.0,5.0,40.0,46.0,67.0,6.0,31.0,60.0,340.0
Habiganj,2023-03-11,2023,3,11,24.8,71.9,1013.9,8.0,134.0,4.0,44.0,52.0,74.0,5.0,41.0,54.0,380.0
Habiganj,2023-03-12,2023,3,12,25.5,71.3,1012.8,9.0,139.0,5.0,43.0,50.0,71.0,5.0,39.0,58.0,367.0
Habiganj,2023-03-13,2023,3,13,24.8,70.9,1011.3,9.0,145.0,5.0,52.0,61.0,88.0,5.0,39.0,62.0,394.0
Habiganj,2023-03-14,2023,3,14,25.8,69.0,1010.1,8.0,153.0,5.0,51.0,60.0,86.0,9.0,34.0,75.0,353.0
Habiganj,2023-03-15,2023,3,15,24.9,78.5,1010.0,8.0,154.0,5.0,59.0,69.0,99.0,4.0,23.0,25.0,217.0
Habiganj,2023-03-16,2023,3,16,25.3,79.7,1012.3,8.0,170.0,6.0,89.0,104.0,150.0,7.0,34.0,84.0,513.0
Habiganj,2023-03-17,2023,3,17,23.7,81.3,1012.6,7.0,166.0,6.0,62.0,74.0,107.0,6.0,20.0,80.0,396.0
Habiganj,2023-03-18,2023,3,18,25.1,73.8,1010.9,8.0,160.0,5.0,61.0,71.0,103.0,5.0,30.0,72.0,387.0
Habiganj,2023-03-19,2023,3,19,21.7,89.5,1010.6,2.0,158.0,5.0,50.0,59.0,86.0,5.0,37.0,49.0,417.0
Habiganj,2023-03-20,2023,3,20,23.1,83.0,1009.4,7.0,119.0,4.0,25.0,29.0,42.0,2.0,16.0,51.0,345.0
Habiganj,2023-03-21,2023,3,21,22.0,86.2,1009.8,5.0,58.0,2.0,16.0,19.0,27.0,2.0,23.0,47.0,241.0
Habiganj,2023-03-22,2023,3,22,23.2,81.7,1009.1,5.0,78.0,4.0,24.0,28.0,40.0,3.0,23.0,68.0,270.0
Habiganj,2023-03-23,2023,3,23,24.1,80.1,1008.9,8.0,93.0,4.0,31.0,37.0,53.0,5.0,28.0,70.0,333.0
Habiganj,2023-03-24,2023,3,24,24.2,79.4,1010.4,8.0,111.0,4.0,33.0,39.0,57.0,4.0,29.0,67.0,301.0
Habiganj,2023-03-25,2023,3,25,24.7,78.5,1011.2,9.0,118.0,4.0,42.0,49.0,72.0,6.0,33.0,64.0,307.0
Habiganj,2023-03-26,2023,3,26,25.7,79.7,1009.1,8.0,143.0,5.0,43.0,51.0,74.0,6.0,23.0,79.0,286.0
Habiganj,2023-03-27,2023,3,27,26.2,71.9,1008.7,9.0,143.0,5.0,49.0,58.0,85.0,7.0,36.0,63.0,337.0
Habiganj,2023-03-28,2023,3,28,26.5,75.4,1009.4,9.0,146.0,5.0,39.0,47.0,68.0,5.0,26.0,71.0,293.0
Habiganj,2023-03-29,2023,3,29,24.2,80.3,1011.3,8.0,137.0,5.0,44.0,52.0,76.0,4.0,23.0,68.0,309.0
Habiganj,2023-03-30,2023,3,30,25.6,78.9,1009.7,8.0,143.0,5.0,46.0,55.0,80.0,5.0,32.0,67.0,327.0
Habiganj,2023-03-31,2023,3,31,24.8,79.0,1010.1,8.0,131.0,4.0,33.0,40.0,58.0,2.0,22.0,66.0,261.0
Habiganj,2023-04-01,2023,4,1,23.9,85.2,1009.0,6.0,109.0,4.0,29.0,34.0,50.0,3.0,23.0,71.0,261.0
Habiganj,2023-04-02,2023,4,2,25.1,78.3,1007.5,8.0,81.0,4.0,23.0,27.0,39.0,3.0,17.0,81.0,251.0
Habiganj,2023-04-03,2023,4,3,25.6,77.3,1007.5,7.0,87.0,4.0,26.0,31.0,46.0,5.0,23.0,72.0,246.0
Habiganj,2023-04-04,2023,4,4,26.3,79.1,1008.1,8.0,101.0,4.0,29.0,35.0,51.0,5.0,23.0,60.0,249.0
