district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Jamalpur,2023-03-01,2023,3,1,24.2,64.7,1017.3,8.0,154.0,5.0,50.0,60.0,87.0,6.0,10.0,81.0,375.0
Jamalpur,2023-03-02,2023,3,2,24.7,66.7,1016.8,8.0,154.0,5.0,54.0,64.0,93.0,8.0,9.0,81.0,382.0
Jamalpur,2023-03-03,2023,3,3,24.6,69.9,1016.5,8.0,153.0,5.0,48.0,57.0,83.0,7.0,11.0,83.0,403.0
Jamalpur,2023-03-04,2023,3,4,24.7,72.0,1016.1,8.0,153.0,5.0,54.0,65.0,94.0,5.0,13.0,78.0,460.0
Jamalpur,2023-03-05,2023,3,5,25.8,68.3,1014.8,8.0,154.0,5.0,56.0,66.0,97.0,5.0,12.0,80.0,440.0
Jamalpur,2023-03-06,2023,3,6,25.4,66.0,1013.8,9.0,162.0,6.0,58.0,69.0,99.0,6.0,15.0,73.0,530.0
Jamalpur,2023-03-07,2023,3,7,24.8,60.6,1014.7,9.0,146.0,5.0,42.0,49.0,71.0,6.0,9.0,69.0,332.0
Jamalpur,2023-03-08,2023,3,8,24.5,60.9,1015.8,9.0,120.0,4.0,35.0,41.0,59.0,4.0,13.0,66.0,341.0
Jamalpur,2023-03-09,2023,3,9,25.0,64.3,1014.7,9.0,117.0,4.0,44.0,52.0,75.0,6.0,15.0,70.0,364.0
Jamalpur,2023-03-10,2023,3,10,24.8,67.2,1014.0,8.0,149.0,5.0,44.0,51.0,74.0,4.0,13.0,69.0,375.0
Jamalpur,2023-03-11,2023,3,11,25.6,64.2,1014.2,9.0,145.0,5.0,49.0,57.0,82.0,5.0,14.0,71.0,388.0
Jamalpur,2023-03-12,2023,3,12,26.0,59.8,1013.7,9.0,142.0,5.0,43.0,50.0,72.0,7.0,11.0,79.0,310.0
Jamalpur,2023-03-13,2023,3,13,25.9,62.6,1011.7,9.0,133.0,5.0,37.0,43.0,63.0,3.0,11.0,71.0,312.0
Jamalpur,2023-03-14,2023,3,14,25.9,69.6,1009.8,8.0,141.0,5.0,55.0,65.0,93.0,9.0,9.0,89.0,401.0
Jamalpur,2023-03-15,2023,3,15,24.6,78.4,1009.5,9.0,157.0,5.0,57.0,67.0,97.0,3.0,4.0,36.0,236.0
Jamalpur,2023-03-16,2023,3,16,23.6,80.4,1012.4,9.0,158.0,5.0,70.0,83.0,119.0,6.0,6.0,86.0,449.0
Jamalpur,2023-03-17,2023,3,17,23.7,83.7,1013.1,5.0,175.0,6.0,96.0,113.0,163.0,4.0,9.0,75.0,576.0
Jamalpur,2023-03-18,2023,3,18,24.9,76.0,1011.4,9.0,187.0,6.0,98.0,115.0,166.0,5.0,8.0,77.0,607.0
Jamalpur,2023-03-19,2023,3,19,22.1,87.8,1010.8,3.0,162.0,5.0,50.0,58.0,84.0,2.0,4.0,75.0,377.0
