district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Joypurhat,2023-03-01,2023,3,1,23.8,69.2,1017.1,8.0,150.0,5.0,48.0,57.0,84.0,7.0,12.0,86.0,388.0
Joypurhat,2023-03-02,2023,3,2,24.2,70.3,1016.6,8.0,150.0,5.0,45.0,54.0,80.0,7.0,10.0,79.0,382.0
Joypurhat,2023-03-03,2023,3,3,24.7,70.7,1016.5,9.0,151.0,5.0,46.0,55.0,80.0,6.0,9.0,79.0,375.0
Joypurhat,2023-03-04,2023,3,4,25.1,70.0,1015.9,8.0,144.0,5.0,47.0,57.0,83.0,5.0,11.0,79.0,399.0
Joypurhat,2023-03-05,2023,3,5,25.4,70.2,1014.7,8.0,154.0,5.0,54.0,64.0,92.0,7.0,12.0,82.0,446.0
Joypurhat,2023-03-06,2023,3,6,24.9,63.0,1013.7,9.0,152.0,5.0,42.0,50.0,73.0,7.0,10.0,76.0,444.0
Joypurhat,2023-03-07,2023,3,7,24.4,59.1,1014.4,9.0,100.0,4.0,25.0,29.0,42.0,7.0,8.0,77.0,290.0
Joypurhat,2023-03-08,2023,3,8,24.3,58.2,1015.8,9.0,100.0,4.0,34.0,40.0,57.0,6.0,9.0,79.0,349.0
Joypurhat,2023-03-09,2023,3,9,24.6,63.8,1014.7,9.0,115.0,4.0,40.0,47.0,67.0,5.0,6.0,85.0,317.0
Joypurhat,2023-03-10,2023,3,10,24.9,63.6,1014.0,9.0,131.0,4.0,36.0,42.0,60.0,6.0,5.0,89.0,320.0
Joypurhat,2023-03-11,2023,3,11,25.2,64.0,1014.3,9.0,118.0,4.0,39.0,46.0,66.0,9.0,6.0,90.0,303.0
Joypurhat,2023-03-12,2023,3,12,25.5,62.1,1013.8,9.0,133.0,4.0,44.0,52.0,74.0,9.0,10.0,81.0,350.0
Joypurhat,2023-03-13,2023,3,13,25.8,64.6,1011.9,9.0,133.0,4.0,38.0,44.0,64.0,4.0,12.0,75.0,394.0
Joypurhat,2023-03-14,2023,3,14,26.0,67.8,1009.4,9.0,139.0,5.0,52.0,61.0,87.0,8.0,13.0,83.0,462.0
Joypurhat,2023-03-15,2023,3,15,25.6,72.5,1009.1,9.0,158.0,5.0,58.0,69.0,99.0,4.0,9.0,30.0,288.0
Joypurhat,2023-03-16,2023,3,16,23.7,79.6,1012.0,9.0,155.0,5.0,61.0,71.0,103.0,7.0,6.0,94.0,388.0
Joypurhat,2023-03-17,2023,3,17,23.7,82.8,1013.0,7.0,161.0,5.0,72.0,85.0,123.0,5.0,10.0,81.0,453.0
Joypurhat,2023-03-18,2023,3,18,24.7,77.0,1011.3,8.0,172.0,6.0,74.0,88.0,126.0,5.0,13.0,77.0,524.0
Joypurhat,2023-03-19,2023,3,19,22.2,88.4,1010.4,5.0,156.0,5.0,45.0,53.0,76.0,2.0,5.0,87.0,369.0
Joypurhat,2023-03-20,2023,3,20,21.7,88.1,1009.2,6.0,104.0,4.0,23.0,27.0,38.0,2.0,6.0,76.0,354.0
Joypurhat,2023-03-21,2023,3,21,22.8,81.2,1009.2,8.0,93.0,4.0,35.0,41.0,59.0,5.0,8.0,77.0,366.0
