district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Khagrachhari,2023-03-01,2023,3,1,24.7,58.9,1017.1,9.0,103.0,4.0,27.0,33.0,48.0,5.0,1.0,106.0,219.0
Khagrachhari,2023-03-02,2023,3,2,24.8,59.3,1016.4,9.0,97.0,4.0,30.0,36.0,53.0,6.0,1.0,103.0,240.0
Khagrachhari,2023-03-03,2023,3,3,25.8,58.3,1016.4,9.0,103.0,4.0,30.0,35.0,51.0,7.0,1.0,102.0,241.0
Khagrachhari,2023-03-04,2023,3,4,25.7,61.8,1015.9,9.0,97.0,4.0,29.0,35.0,51.0,5.0,1.0,96.0,229.0
Khagrachhari,2023-03-05,2023,3,5,26.2,63.1,1015.1,9.0,104.0,4.0,33.0,40.0,58.0,6.0,1.0,98.0,249.0
Khagrachhari,2023-03-06,2023,3,6,26.0,63.9,1014.4,9.0,113.0,4.0,32.0,38.0,55.0,7.0,1.0,98.0,270.0
Khagrachhari,2023-03-07,2023,3,7,26.0,59.0,1014.9,9.0,97.0,4.0,26.0,31.0,44.0,9.0,1.0,95.0,235.0
Khagrachhari,2023-03-08,2023,3,8,25.9,55.2,1015.1,8.0,88.0,4.0,23.0,27.0,38.0,7.0,2.0,96.0,215.0
Khagrachhari,2023-03-09,2023,3,9,25.5,59.7,1013.8,9.0,87.0,4.0,33.0,39.0,57.0,6.0,2.0,101.0,272.0
Khagrachhari,2023-03-10,2023,3,10,25.8,58.6,1013.6,7.0,121.0,4.0,33.0,39.0,56.0,8.0,2.0,96.0,274.0
Khagrachhari,2023-03-11,2023,3,11,26.1,57.9,1013.5,8.0,113.0,4.0,39.0,46.0,66.0,4.0,3.0,98.0,297.0
Khagrachhari,2023-03-12,2023,3,12,26.9,56.0,1012.5,9.0,135.0,4.0,43.0,50.0,72.0,6.0,3.0,106.0,332.0
Khagrachhari,2023-03-13,2023,3,13,26.8,54.5,1011.4,9.0,144.0,5.0,50.0,59.0,84.0,5.0,3.0,103.0,356.0
Khagrachhari,2023-03-14,2023,3,14,26.5,61.0,1010.8,8.0,164.0,6.0,82.0,96.0,137.0,10.0,5.0,99.0,544.0
Khagrachhari,2023-03-15,2023,3,15,25.8,75.8,1010.5,8.0,174.0,6.0,86.0,101.0,144.0,5.0,4.0,39.0,336.0
Khagrachhari,2023-03-16,2023,3,16,26.2,75.9,1012.4,9.0,183.0,6.0,105.0,124.0,177.0,8.0,4.0,101.0,572.0
