district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Khulna,2023-03-01,2023,3,1,25.6,66.9,1016.9,9.0,158.0,5.0,57.0,67.0,97.0,10.0,33.0,69.0,524.0
Khulna,2023-03-02,2023,3,2,26.0,71.1,1016.5,9.0,155.0,5.0,50.0,59.0,85.0,12.0,31.0,71.0,500.0
Khulna,2023-03-03,2023,3,3,26.5,64.6,1016.6,9.0,153.0,5.0,49.0,58.0,84.0,9.0,29.0,66.0,469.0
Khulna,2023-03-04,2023,3,4,26.3,67.2,1016.0,9.0,147.0,5.0,48.0,57.0,83.0,9.0,29.0,72.0,459.0
Khulna,2023-03-05,2023,3,5,26.9,65.5,1015.0,9.0,154.0,5.0,54.0,64.0,92.0,9.0,28.0,71.0,457.0
Khulna,2023-03-06,2023,3,6,26.7,63.0,1014.3,9.0,153.0,5.0,48.0,57.0,83.0,9.0,35.0,62.0,521.0
Khulna,2023-03-07,2023,3,7,26.6,64.0,1014.5,9.0,134.0,4.0,41.0,48.0,69.0,9.0,29.0,72.0,454.0
Khulna,2023-03-08,2023,3,8,25.9,63.0,1015.4,8.0,133.0,4.0,39.0,46.0,66.0,9.0,30.0,59.0,430.0
Khulna,2023-03-09,2023,3,9,25.9,63.7,1014.5,9.0,117.0,4.0,41.0,49.0,70.0,6.0,17.0,71.0,367.0
Khulna,2023-03-10,2023,3,10,26.2,67.6,1013.9,7.0,152.0,5.0,54.0,64.0,92.0,9.0,29.0,65.0,486.0
Khulna,2023-03-11,2023,3,11,25.8,70.4,1014.1,8.0,159.0,5.0,67.0,78.0,112.0,11.0,36.0,72.0,566.0
Khulna,2023-03-12,2023,3,12,26.4,65.5,1013.2,9.0,157.0,5.0,54.0,63.0,91.0,9.0,19.0,82.0,407.0
Khulna,2023-03-13,2023,3,13,27.1,64.4,1011.6,9.0,155.0,5.0,53.0,62.0,89.0,11.0,22.0,77.0,425.0
Khulna,2023-03-14,2023,3,14,27.0,72.3,1010.0,9.0,155.0,5.0,52.0,62.0,89.0,11.0,20.0,87.0,466.0
