district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Kishoreganj,2023-03-01,2023,3,1,26.3,56.7,1017.0,9.0,150.0,5.0,46.0,54.0,79.0,6.0,8.0,85.0,351.0
Kishoreganj,2023-03-02,2023,3,2,26.2,63.7,1016.4,9.0,151.0,5.0,54.0,64.0,92.0,10.0,10.0,96.0,407.0
Kishoreganj,2023-03-03,2023,3,3,27.1,59.0,1016.2,8.0,154.0,5.0,47.0,56.0,81.0,9.0,9.0,91.0,369.0
Kishoreganj,2023-03-04,2023,3,4,26.9,62.8,1015.7,9.0,150.0,5.0,49.0,59.0,86.0,7.0,10.0,82.0,382.0
Kishoreganj,2023-03-05,2023,3,5,27.2,58.7,1014.6,8.0,158.0,5.0,61.0,72.0,105.0,7.0,13.0,80.0,480.0
Kishoreganj,2023-03-06,2023,3,6,27.6,57.6,1013.9,9.0,157.0,5.0,48.0,58.0,84.0,14.0,26.0,72.0,456.0
Kishoreganj,2023-03-07,2023,3,7,27.3,57.5,1014.5,9.0,127.0,4.0,34.0,40.0,58.0,6.0,9.0,77.0,320.0
Kishoreganj,2023-03-08,2023,3,8,27.1,55.9,1015.2,9.0,92.0,4.0,24.0,28.0,40.0,4.0,6.0,76.0,259.0
Kishoreganj,2023-03-09,2023,3,9,27.1,62.3,1014.0,9.0,100.0,4.0,41.0,48.0,70.0,7.0,5.0,85.0,328.0
Kishoreganj,2023-03-10,2023,3,10,26.5,58.9,1013.8,8.0,145.0,5.0,41.0,49.0,70.0,5.0,8.0,75.0,366.0
Kishoreganj,2023-03-11,2023,3,11,27.1,60.6,1013.9,8.0,134.0,4.0,44.0,52.0,74.0,5.0,7.0,83.0,358.0
Kishoreganj,2023-03-12,2023,3,12,27.6,60.8,1013.0,9.0,134.0,4.0,41.0,48.0,68.0,5.0,5.0,87.0,310.0
Kishoreganj,2023-03-13,2023,3,13,27.5,60.3,1011.3,9.0,130.0,4.0,39.0,46.0,66.0,4.0,5.0,83.0,306.0
Kishoreganj,2023-03-14,2023,3,14,27.9,60.0,1009.8,8.0,135.0,4.0,51.0,60.0,86.0,13.0,9.0,98.0,379.0
Kishoreganj,2023-03-15,2023,3,15,26.9,70.3,1009.4,8.0,159.0,5.0,63.0,74.0,107.0,7.0,8.0,38.0,226.0
Kishoreganj,2023-03-16,2023,3,16,27.3,70.8,1011.8,9.0,163.0,6.0,73.0,87.0,125.0,11.0,10.0,95.0,469.0
Kishoreganj,2023-03-17,2023,3,17,25.3,76.0,1012.6,6.0,167.0,6.0,73.0,86.0,125.0,5.0,6.0,82.0,445.0
Kishoreganj,2023-03-18,2023,3,18,26.0,69.9,1010.9,9.0,169.0,6.0,72.0,85.0,122.0,8.0,7.0,87.0,440.0
Kishoreganj,2023-03-19,2023,3,19,23.4,82.5,1010.2,2.0,160.0,5.0,51.0,60.0,87.0,8.0,11.0,66.0,422.0
Kishoreganj,2023-03-20,2023,3,20,25.0,75.9,1008.9,7.0,97.0,4.0,14.0,16.0,23.0,5.0,8.0,59.0,263.0
Kishoreganj,2023-03-21,2023,3,21,24.4,74.3,1009.4,5.0,62.0,2.0,23.0,27.0,40.0,7.0,8.0,62.0,266.0
Kishoreganj,2023-03-22,2023,3,22,24.8,73.5,1008.8,7.0,113.0,4.0,37.0,43.0,62.0,6.0,6.0,81.0,320.0
Kishoreganj,2023-03-23,2023,3,23,25.7,71.3,1008.5,8.0,115.0,4.0,38.0,45.0,65.0,10.0,11.0,85.0,381.0
Kishoreganj,2023-03-24,2023,3,24,25.5,73.4,1010.1,8.0,136.0,5.0,43.0,51.0,74.0,10.0,13.0,79.0,343.0
Kishoreganj,2023-03-25,2023,3,25,26.1,74.8,1010.9,8.0,136.0,4.0,44.0,52.0,75.0,10.0,7.0,88.0,299.0
Kishoreganj,2023-03-26,2023,3,26,27.1,70.6,1008.9,9.0,149.0,5.0,46.0,54.0,79.0,12.0,9.0,84.0,293.0
Kishoreganj,2023-03-27,2023,3,27,27.1,67.3,1008.5,9.0,153.0,5.0,59.0,70.0,103.0,20.0,15.0,85.0,345.0
Kishoreganj,2023-03-28,2023,3,28,27.5,68.9,1009.0,9.0,157.0,5.0,50.0,60.0,87.0,13.0,13.0,87.0,344.0
Kishoreganj,2023-03-29,2023,3,29,25.8,76.2,1010.9,9.0,153.0,5.0,47.0,56.0,81.0,12.0,17.0,81.0,334.0
Kishoreganj,2023-03-30,2023,3,30,26.7,72.8,1009.2,6.0,132.0,4.0,42.0,50.0,74.0,9.0,10.0,78.0,295.0
Kishoreganj,2023-03-31,2023,3,31,25.7,72.8,1009.9,8.0,126.0,4.0,35.0,41.0,61.0,6.0,8.0,82.0,256.0
Kishoreganj,2023-04-01,2023,4,1,25.0,78.2,1009.0,8.0,111.0,4.0,32.0,38.0,55.0,6.0,5.0,92.0,275.0
Kishoreganj,2023-04-02,2023,4,2,26.0,70.6,1007.2,8.0,99.0,4.0,30.0,36.0,52.0,9.0,6.0,100.0,279.0
Kishoreganj,2023-04-03,2023,4,3,27.2,69.6,1007.1,8.0,107.0,4.0,33.0,40.0,58.0,11.0,12.0,84.0,263.0
Kishoreganj,2023-04-04,2023,4,4,27.9,69.2,1007.5,8.0,107.0,4.0,30.0,36.0,52.0,12.0,16.0,62.0,262.0
Kishoreganj,2023-04-05,2023,4,5,28.7,71.1,1007.1,7.0,95.0,4.0,26.0,31.0,45.0,10.0,14.0,53.0,230.0
Kishoreganj,2023-04-06,2023,4,6,28.7,66.5,1010.1,9.0,109.0,4.0,39.0,46.0,67.0,8.0,14.0,71.0,289.0
Kishoreganj,2023-04-07,2023,4,7,29.7,58.3,1011.4,10.0,133.0,4.0,43.0,51.0,74.0,10.0,13.0,89.0,313.0
Kishoreganj,2023-04-08,2023,4,8,29.7,56.8,1012.5,10.0,134.0,4.0,42.0,49.0,71.0,12.0,21.0,86.0,348.0
Kishoreganj,2023-04-09,2023,4,9,29.9,55.9,1011.8,10.0,149.0,5.0,52.0,62.0,88.0,14.0,28.0,91.0,402.0
Kishoreganj,2023-04-10,2023,4,10,30.0,58.5,1010.1,10.0,158.0,5.0,58.0,69.0,99.0,17.0,39.0,83.0,445.0
