district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Lalmonirhat,2023-03-01,2023,3,1,24.0,67.1,1017.8,8.0,130.0,4.0,41.0,49.0,72.0,5.0,3.0,80.0,310.0
Lalmonirhat,2023-03-02,2023,3,2,24.5,66.5,1017.1,8.0,137.0,4.0,44.0,53.0,79.0,5.0,3.0,86.0,318.0
Lalmonirhat,2023-03-03,2023,3,3,24.9,66.9,1017.0,7.0,150.0,5.0,45.0,54.0,80.0,5.0,4.0,86.0,327.0
Lalmonirhat,2023-03-04,2023,3,4,25.0,69.2,1016.4,8.0,142.0,5.0,41.0,50.0,73.0,4.0,6.0,75.0,342.0
Lalmonirhat,2023-03-05,2023,3,5,25.5,68.8,1014.9,7.0,135.0,4.0,44.0,53.0,78.0,3.0,7.0,70.0,367.0
Lalmonirhat,2023-03-06,2023,3,6,25.5,67.2,1013.3,8.0,152.0,5.0,47.0,56.0,82.0,4.0,6.0,76.0,344.0
Lalmonirhat,2023-03-07,2023,3,7,24.2,66.6,1014.4,9.0,142.0,5.0,40.0,47.0,67.0,4.0,9.0,70.0,388.0
Lalmonirhat,2023-03-08,2023,3,8,24.4,63.8,1016.0,8.0,112.0,4.0,32.0,37.0,54.0,4.0,10.0,66.0,366.0
Lalmonirhat,2023-03-09,2023,3,9,25.0,63.9,1014.4,9.0,116.0,4.0,40.0,47.0,67.0,3.0,8.0,67.0,383.0
Lalmonirhat,2023-03-10,2023,3,10,25.0,62.3,1013.8,9.0,129.0,4.0,39.0,46.0,66.0,3.0,11.0,67.0,427.0
Lalmonirhat,2023-03-11,2023,3,11,25.4,62.0,1014.0,9.0,141.0,5.0,50.0,59.0,84.0,4.0,11.0,70.0,472.0
Lalmonirhat,2023-03-12,2023,3,12,26.0,58.1,1013.8,9.0,146.0,5.0,41.0,48.0,69.0,4.0,8.0,72.0,378.0
Lalmonirhat,2023-03-13,2023,3,13,26.1,64.0,1012.1,9.0,117.0,4.0,36.0,42.0,62.0,3.0,4.0,77.0,299.0
Lalmonirhat,2023-03-14,2023,3,14,25.9,66.7,1009.6,8.0,138.0,5.0,48.0,57.0,82.0,4.0,7.0,77.0,383.0
Lalmonirhat,2023-03-15,2023,3,15,24.8,74.5,1009.6,9.0,154.0,5.0,56.0,65.0,94.0,2.0,4.0,32.0,212.0
Lalmonirhat,2023-03-16,2023,3,16,22.9,78.0,1013.0,8.0,153.0,5.0,52.0,61.0,89.0,4.0,4.0,81.0,333.0
Lalmonirhat,2023-03-17,2023,3,17,24.2,75.7,1013.3,7.0,155.0,5.0,60.0,72.0,104.0,4.0,5.0,83.0,387.0
Lalmonirhat,2023-03-18,2023,3,18,24.6,78.0,1011.8,8.0,165.0,6.0,65.0,77.0,110.0,3.0,6.0,80.0,426.0
Lalmonirhat,2023-03-19,2023,3,19,21.5,90.0,1011.0,5.0,154.0,5.0,46.0,54.0,77.0,1.0,4.0,79.0,371.0
Lalmonirhat,2023-03-20,2023,3,20,20.7,92.2,1009.8,4.0,98.0,4.0,15.0,18.0,26.0,1.0,3.0,78.0,340.0
Lalmonirhat,2023-03-21,2023,3,21,22.1,86.4,1009.7,7.0,65.0,2.0,19.0,22.0,31.0,1.0,3.0,74.0,296.0
Lalmonirhat,2023-03-22,2023,3,22,23.6,77.7,1008.2,9.0,84.0,4.0,30.0,35.0,50.0,1.0,5.0,81.0,333.0
Lalmonirhat,2023-03-23,2023,3,23,24.2,74.3,1008.1,8.0,115.0,4.0,35.0,42.0,60.0,3.0,5.0,88.0,367.0
Lalmonirhat,2023-03-24,2023,3,24,23.5,81.7,1010.5,9.0,116.0,4.0,38.0,45.0,64.0,3.0,3.0,88.0,309.0
Lalmonirhat,2023-03-25,2023,3,25,24.4,75.4,1011.2,9.0,124.0,4.0,39.0,46.0,67.0,3.0,4.0,80.0,308.0
Lalmonirhat,2023-03-26,2023,3,26,25.9,73.7,1008.1,7.0,136.0,4.0,46.0,55.0,80.0,4.0,6.0,76.0,330.0
Lalmonirhat,2023-03-27,2023,3,27,26.2,68.1,1007.4,9.0,147.0,5.0,41.0,49.0,71.0,6.0,8.0,71.0,337.0
Lalmonirhat,2023-03-28,2023,3,28,26.0,65.6,1008.3,9.0,136.0,4.0,44.0,52.0,75.0,6.0,10.0,71.0,374.0
Lalmonirhat,2023-03-29,2023,3,29,25.4,69.1,1010.4,9.0,139.0,5.0,43.0,51.0,74.0,5.0,6.0,84.0,337.0
Lalmonirhat,2023-03-30,2023,3,30,24.9,73.6,1009.7,8.0,137.0,5.0,43.0,51.0,74.0,3.0,3.0,83.0,283.0
Lalmonirhat,2023-03-31,2023,3,31,24.9,77.7,1010.0,9.0,136.0,4.0,42.0,50.0,73.0,3.0,4.0,81.0,290.0
Lalmonirhat,2023-04-01,2023,4,1,23.8,79.4,1009.0,8.0,131.0,4.0,34.0,40.0,58.0,2.0,4.0,81.0,296.0
Lalmonirhat,2023-04-02,2023,4,2,23.1,80.8,1007.1,7.0,109.0,4.0,37.0,44.0,63.0,3.0,4.0,85.0,284.0
Lalmonirhat,2023-04-03,2023,4,3,25.0,72.7,1006.6,9.0,125.0,4.0,37.0,44.0,64.0,5.0,5.0,86.0,302.0
Lalmonirhat,2023-04-04,2023,4,4,24.8,77.1,1007.5,8.0,114.0,4.0,31.0,37.0,54.0,4.0,4.0,86.0,275.0
Lalmonirhat,2023-04-05,2023,4,5,25.4,71.9,1006.9,9.0,99.0,4.0,28.0,33.0,49.0,3.0,6.0,75.0,278.0
Lalmonirhat,2023-04-06,2023,4,6,26.3,68.8,1009.7,9.0,107.0,4.0,35.0,42.0,60.0,3.0,7.0,74.0,293.0
Lalmonirhat,2023-04-07,2023,4,7,26.8,68.2,1011.7,10.0,108.0,4.0,31.0,37.0,54.0,4.0,5.0,85.0,291.0
Lalmonirhat,2023-04-08,2023,4,8,27.5,66.6,1012.8,10.0,103.0,4.0,30.0,36.0,53.0,4.0,5.0,83.0,302.0
Lalmonirhat,2023-04-09,2023,4,9,27.7,65.3,1011.5,10.0,104.0,4.0,34.0,40.0,58.0,4.0,7.0,87.0,340.0
Lalmonirhat,2023-04-10,2023,4,10,28.0,57.0,1009.3,10.0,118.0,4.0,33.0,39.0,56.0,4.0,9.0,81.0,358.0
