district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Magura,2023-03-01,2023,3,1,24.5,65.2,1016.9,9.0,149.0,5.0,52.0,62.0,89.0,10.0,19.0,80.0,392.0
Magura,2023-03-02,2023,3,2,24.9,69.3,1016.5,9.0,156.0,5.0,51.0,60.0,87.0,12.0,20.0,81.0,426.0
Magura,2023-03-03,2023,3,3,25.9,64.4,1016.6,9.0,152.0,5.0,49.0,58.0,84.0,9.0,22.0,71.0,412.0
Magura,2023-03-04,2023,3,4,26.0,63.7,1016.0,9.0,153.0,5.0,53.0,63.0,91.0,7.0,20.0,72.0,385.0
Magura,2023-03-05,2023,3,5,26.3,65.9,1014.9,9.0,156.0,5.0,59.0,69.0,101.0,9.0,13.0,89.0,369.0
Magura,2023-03-06,2023,3,6,25.2,64.3,1014.2,9.0,155.0,5.0,47.0,55.0,81.0,10.0,12.0,76.0,332.0
Magura,2023-03-07,2023,3,7,25.9,59.2,1014.6,9.0,135.0,4.0,37.0,43.0,63.0,6.0,13.0,70.0,305.0
Magura,2023-03-08,2023,3,8,25.7,58.6,1015.5,9.0,102.0,4.0,30.0,35.0,51.0,6.0,10.0,75.0,288.0
Magura,2023-03-09,2023,3,9,25.3,63.8,1014.4,9.0,111.0,4.0,44.0,51.0,74.0,7.0,9.0,78.0,340.0
Magura,2023-03-10,2023,3,10,25.7,66.3,1014.0,7.0,155.0,5.0,54.0,64.0,91.0,8.0,17.0,72.0,425.0
Magura,2023-03-11,2023,3,11,25.6,67.0,1014.1,8.0,157.0,5.0,62.0,72.0,104.0,9.0,18.0,76.0,437.0
Magura,2023-03-12,2023,3,12,26.1,62.9,1013.4,9.0,155.0,5.0,51.0,60.0,87.0,10.0,7.0,93.0,330.0
Magura,2023-03-13,2023,3,13,26.9,63.6,1011.7,9.0,150.0,5.0,45.0,53.0,76.0,9.0,8.0,92.0,324.0
Magura,2023-03-14,2023,3,14,26.6,68.3,1009.9,9.0,153.0,5.0,61.0,72.0,103.0,11.0,12.0,99.0,449.0
Magura,2023-03-15,2023,3,15,26.5,74.5,1009.2,9.0,158.0,5.0,57.0,67.0,98.0,4.0,7.0,29.0,210.0
Magura,2023-03-16,2023,3,16,26.3,80.7,1011.5,8.0,152.0,5.0,47.0,56.0,83.0,4.0,8.0,72.0,283.0
Magura,2023-03-17,2023,3,17,23.8,82.8,1012.6,6.0,156.0,5.0,61.0,72.0,105.0,5.0,10.0,71.0,397.0
Magura,2023-03-18,2023,3,18,25.1,78.0,1011.0,8.0,162.0,6.0,63.0,74.0,107.0,4.0,8.0,77.0,393.0
Magura,2023-03-19,2023,3,19,22.5,88.2,1010.4,4.0,154.0,5.0,41.0,48.0,70.0,5.0,8.0,57.0,361.0
Magura,2023-03-20,2023,3,20,23.0,83.6,1008.8,7.0,76.0,3.0,13.0,15.0,22.0,2.0,5.0,59.0,249.0
Magura,2023-03-21,2023,3,21,23.4,81.4,1009.2,6.0,61.0,2.0,20.0,23.0,34.0,4.0,5.0,72.0,228.0
Magura,2023-03-22,2023,3,22,25.0,76.1,1008.6,9.0,95.0,4.0,35.0,41.0,60.0,4.0,8.0,75.0,299.0
Magura,2023-03-23,2023,3,23,26.1,72.0,1008.4,9.0,127.0,4.0,38.0,45.0,65.0,9.0,10.0,82.0,338.0
Magura,2023-03-24,2023,3,24,26.0,75.0,1009.8,9.0,112.0,4.0,36.0,42.0,61.0,8.0,7.0,82.0,293.0
Magura,2023-03-25,2023,3,25,26.7,76.6,1010.4,9.0,142.0,5.0,44.0,52.0,76.0,7.0,6.0,84.0,289.0
Magura,2023-03-26,2023,3,26,26.9,75.9,1008.8,9.0,124.0,4.0,35.0,42.0,62.0,8.0,5.0,80.0,244.0
Magura,2023-03-27,2023,3,27,26.4,76.3,1008.4,6.0,134.0,5.0,46.0,56.0,83.0,14.0,4.0,96.0,323.0
Magura,2023-03-28,2023,3,28,27.7,69.0,1008.9,9.0,143.0,5.0,40.0,48.0,70.0,9.0,6.0,88.0,286.0
Magura,2023-03-29,2023,3,29,26.8,77.7,1010.2,9.0,129.0,4.0,38.0,45.0,66.0,6.0,7.0,79.0,270.0
Magura,2023-03-30,2023,3,30,26.6,81.6,1008.9,9.0,110.0,4.0,30.0,36.0,53.0,3.0,7.0,61.0,210.0
Magura,2023-03-31,2023,3,31,24.9,82.9,1009.4,5.0,95.0,4.0,28.0,34.0,50.0,5.0,6.0,72.0,210.0
Magura,2023-04-01,2023,4,1,24.1,83.6,1008.9,8.0,106.0,4.0,33.0,39.0,56.0,5.0,5.0,94.0,277.0
Magura,2023-04-02,2023,4,2,25.8,74.7,1007.4,9.0,112.0,4.0,37.0,44.0,64.0,9.0,6.0,98.0,298.0
Magura,2023-04-03,2023,4,3,27.4,66.2,1007.0,10.0,125.0,4.0,35.0,42.0,60.0,8.0,13.0,77.0,295.0
Magura,2023-04-04,2023,4,4,28.5,71.9,1007.4,9.0,105.0,4.0,30.0,35.0,52.0,9.0,8.0,82.0,253.0
Magura,2023-04-05,2023,4,5,29.4,72.3,1006.9,9.0,94.0,4.0,29.0,35.0,53.0,7.0,11.0,71.0,236.0
Magura,2023-04-06,2023,4,6,29.0,64.9,1009.7,10.0,118.0,4.0,35.0,42.0,61.0,7.0,10.0,83.0,258.0
Magura,2023-04-07,2023,4,7,28.7,64.1,1011.1,10.0,125.0,4.0,41.0,49.0,71.0,11.0,14.0,86.0,325.0
Magura,2023-04-08,2023,4,8,28.7,60.4,1012.5,10.0,148.0,5.0,48.0,57.0,82.0,8.0,17.0,85.0,343.0
Magura,2023-04-09,2023,4,9,29.5,57.3,1011.9,10.0,150.0,5.0,50.0,59.0,85.0,11.0,16.0,88.0,390.0
Magura,2023-04-10,2023,4,10,29.5,61.7,1010.1,9.0,152.0,5.0,51.0,59.0,86.0,13.0,16.0,94.0,399.0
Magura,2023-04-11,2023,4,11,30.3,58.5,1009.5,9.0,153.0,5.0,50.0,59.0,85.0,10.0,13.0,94.0,367.0
Magura,2023-04-12,2023,4,12,29.9,55.4,1008.6,10.0,153.0,5.0,51.0,61.0,87.0,9.0,15.0,92.0,365.0
Magura,2023-04-13,2023,4,13,29.9,55.3,1007.4,10.0,150.0,5.0,45.0,53.0,76.0,9.0,16.0,94.0,352.0
Magura,2023-04-14,2023,4,14,31.7,52.1,1007.0,10.0,128.0,4.0,41.0,48.0,70.0,9.0,16.0,91.0,334.0
Magura,2023-04-15,2023,4,15,32.0,60.2,1006.8,9.0,150.0,5.0,51.0,59.0,86.0,8.0,22.0,83.0,409.0
Magura,2023-04-16,2023,4,16,32.5,57.8,1005.4,10.0,153.0,5.0,52.0,62.0,89.0,10.0,17.0,94.0,436.0
Magura,2023-04-17,2023,4,17,32.8,65.1,1006.0,10.0,151.0,5.0,49.0,58.0,85.0,15.0,7.0,101.0,337.0
Magura,2023-04-18,2023,4,18,32.5,73.4,1007.1,10.0,143.0,5.0,42.0,50.0,73.0,7.0,7.0,87.0,284.0
Magura,2023-04-19,2023,4,19,32.7,70.5,1003.7,10.0,124.0,4.0,35.0,41.0,61.0,10.0,7.0,90.0,267.0
Magura,2023-04-20,2023,4,20,32.1,73.7,1001.2,10.0,108.0,4.0,27.0,33.0,50.0,6.0,6.0,85.0,233.0
Magura,2023-04-21,2023,4,21,31.0,68.6,1002.8,9.0,96.0,4.0,35.0,42.0,63.0,7.0,7.0,91.0,237.0
Magura,2023-04-22,2023,4,22,29.7,62.4,1004.2,9.0,134.0,4.0,39.0,46.0,67.0,8.0,8.0,94.0,294.0
Magura,2023-04-23,2023,4,23,27.1,65.5,1007.3,7.0,131.0,4.0,40.0,48.0,70.0,10.0,12.0,82.0,322.0
Magura,2023-04-24,2023,4,24,26.5,74.9,1010.6,9.0,135.0,4.0,44.0,52.0,76.0,6.0,10.0,97.0,328.0
Magura,2023-04-25,2023,4,25,28.1,69.7,1010.2,9.0,147.0,5.0,45.0,54.0,78.0,5.0,7.0,106.0,332.0
Magura,2023-04-26,2023,4,26,29.5,65.6,1008.4,9.0,154.0,5.0,58.0,69.0,99.0,12.0,6.0,119.0,372.0
Magura,2023-04-27,2023,4,27,28.0,73.8,1008.5,9.0,155.0,5.0,49.0,58.0,84.0,14.0,5.0,114.0,365.0
Magura,2023-04-28,2023,4,28,27.4,76.4,1009.1,9.0,145.0,5.0,47.0,55.0,79.0,10.0,8.0,112.0,326.0
Magura,2023-04-29,2023,4,29,27.7,78.1,1007.9,9.0,133.0,4.0,36.0,43.0,62.0,11.0,8.0,95.0,293.0
Magura,2023-04-30,2023,4,30,27.1,77.3,1007.3,9.0,131.0,4.0,48.0,56.0,82.0,11.0,7.0,109.0,315.0
Magura,2023-05-01,2023,5,1,26.2,78.3,1008.6,8.0,153.0,5.0,49.0,58.0,83.0,6.0,7.0,95.0,312.0
Magura,2023-05-02,2023,5,2,28.2,71.0,1009.1,9.0,154.0,5.0,51.0,60.0,87.0,11.0,12.0,86.0,331.0
