district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Manikganj,2023-03-01,2023,3,1,27.3,52.6,1017.0,9.0,149.0,5.0,51.0,61.0,88.0,10.0,15.0,79.0,396.0
Manikganj,2023-03-02,2023,3,2,26.8,62.1,1016.5,9.0,158.0,5.0,59.0,70.0,101.0,11.0,16.0,82.0,471.0
Manikganj,2023-03-03,2023,3,3,27.7,59.1,1016.3,9.0,157.0,5.0,57.0,67.0,97.0,11.0,29.0,71.0,521.0
Manikganj,2023-03-04,2023,3,4,27.0,66.5,1015.7,9.0,157.0,5.0,62.0,73.0,106.0,12.0,33.0,71.0,525.0
Manikganj,2023-03-05,2023,3,5,27.7,57.5,1014.8,9.0,160.0,5.0,64.0,75.0,109.0,11.0,20.0,85.0,461.0
Manikganj,2023-03-06,2023,3,6,28.1,55.4,1014.0,9.0,157.0,5.0,48.0,57.0,83.0,8.0,8.0,79.0,394.0
Manikganj,2023-03-07,2023,3,7,28.2,56.1,1014.6,9.0,141.0,5.0,39.0,46.0,66.0,5.0,9.0,73.0,329.0
Manikganj,2023-03-08,2023,3,8,27.8,52.9,1015.4,9.0,103.0,4.0,30.0,35.0,50.0,6.0,9.0,72.0,299.0
Manikganj,2023-03-09,2023,3,9,28.0,60.8,1014.2,9.0,110.0,4.0,43.0,51.0,74.0,7.0,7.0,78.0,347.0
Manikganj,2023-03-10,2023,3,10,27.8,51.7,1013.8,8.0,153.0,5.0,50.0,59.0,84.0,6.0,11.0,72.0,417.0
Manikganj,2023-03-11,2023,3,11,27.9,58.3,1013.9,8.0,152.0,5.0,53.0,62.0,89.0,7.0,10.0,78.0,402.0
Manikganj,2023-03-12,2023,3,12,28.2,56.9,1013.2,9.0,152.0,5.0,47.0,55.0,79.0,9.0,5.0,90.0,318.0
Manikganj,2023-03-13,2023,3,13,28.9,55.5,1011.4,9.0,141.0,5.0,39.0,45.0,66.0,6.0,6.0,85.0,303.0
Manikganj,2023-03-14,2023,3,14,28.4,58.6,1009.8,8.0,145.0,5.0,57.0,67.0,96.0,9.0,9.0,97.0,438.0
Manikganj,2023-03-15,2023,3,15,27.6,67.2,1009.3,8.0,157.0,5.0,57.0,67.0,97.0,3.0,10.0,29.0,245.0
Manikganj,2023-03-16,2023,3,16,27.8,67.0,1011.8,8.0,156.0,5.0,59.0,69.0,101.0,4.0,9.0,78.0,348.0
Manikganj,2023-03-17,2023,3,17,26.1,73.5,1012.7,5.0,159.0,5.0,67.0,79.0,114.0,7.0,12.0,72.0,463.0
Manikganj,2023-03-18,2023,3,18,26.0,69.9,1011.0,8.0,166.0,6.0,69.0,82.0,119.0,7.0,6.0,87.0,424.0
