district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Moulvibazar,2023-03-01,2023,3,1,23.4,64.9,1017.4,9.0,140.0,5.0,41.0,49.0,71.0,6.0,31.0,70.0,321.0
Moulvibazar,2023-03-02,2023,3,2,24.1,66.7,1016.9,9.0,138.0,5.0,45.0,53.0,78.0,7.0,36.0,66.0,355.0
Moulvibazar,2023-03-03,2023,3,3,24.9,66.8,1016.7,9.0,145.0,5.0,43.0,51.0,74.0,7.0,30.0,71.0,348.0
Moulvibazar,2023-03-04,2023,3,4,25.2,65.7,1016.3,9.0,139.0,5.0,45.0,54.0,78.0,5.0,28.0,71.0,338.0
Moulvibazar,2023-03-05,2023,3,5,25.4,68.0,1015.2,9.0,152.0,5.0,51.0,61.0,88.0,5.0,34.0,67.0,366.0
Moulvibazar,2023-03-06,2023,3,6,25.8,65.5,1014.0,8.0,153.0,5.0,46.0,55.0,80.0,8.0,38.0,75.0,384.0
Moulvibazar,2023-03-07,2023,3,7,25.0,62.3,1015.1,9.0,130.0,4.0,36.0,42.0,61.0,9.0,40.0,57.0,320.0
Moulvibazar,2023-03-08,2023,3,8,24.9,59.9,1015.3,8.0,103.0,4.0,27.0,32.0,46.0,4.0,31.0,57.0,275.0
Moulvibazar,2023-03-09,2023,3,9,25.7,60.7,1014.2,9.0,109.0,4.0,43.0,50.0,72.0,7.0,34.0,62.0,329.0
Moulvibazar,2023-03-10,2023,3,10,25.2,63.8,1013.9,9.0,140.0,5.0,40.0,46.0,67.0,6.0,31.0,60.0,340.0
Moulvibazar,2023-03-11,2023,3,11,25.7,66.1,1014.1,8.0,134.0,4.0,44.0,52.0,74.0,5.0,41.0,54.0,380.0
Moulvibazar,2023-03-12,2023,3,12,26.5,64.0,1013.3,9.0,139.0,5.0,43.0,50.0,71.0,5.0,39.0,58.0,367.0
Moulvibazar,2023-03-13,2023,3,13,26.3,60.3,1011.6,9.0,145.0,5.0,52.0,61.0,88.0,5.0,39.0,62.0,394.0
Moulvibazar,2023-03-14,2023,3,14,26.5,63.7,1010.2,8.0,153.0,5.0,51.0,60.0,86.0,9.0,34.0,75.0,353.0
Moulvibazar,2023-03-15,2023,3,15,24.5,74.4,1010.8,8.0,154.0,5.0,59.0,69.0,99.0,4.0,23.0,25.0,217.0
Moulvibazar,2023-03-16,2023,3,16,24.6,77.7,1012.9,9.0,170.0,6.0,89.0,104.0,150.0,7.0,34.0,84.0,513.0
Moulvibazar,2023-03-17,2023,3,17,23.6,78.6,1013.3,6.0,166.0,6.0,62.0,74.0,107.0,6.0,20.0,80.0,396.0
Moulvibazar,2023-03-18,2023,3,18,24.7,71.1,1011.1,9.0,160.0,5.0,61.0,71.0,103.0,5.0,30.0,72.0,387.0
Moulvibazar,2023-03-19,2023,3,19,21.4,88.0,1011.2,3.0,158.0,5.0,50.0,59.0,86.0,5.0,37.0,49.0,417.0
Moulvibazar,2023-03-20,2023,3,20,22.2,86.8,1010.0,6.0,119.0,4.0,25.0,29.0,42.0,2.0,16.0,51.0,345.0
Moulvibazar,2023-03-21,2023,3,21,22.6,84.1,1010.5,5.0,58.0,2.0,16.0,19.0,27.0,2.0,23.0,47.0,241.0
Moulvibazar,2023-03-22,2023,3,22,22.7,81.6,1009.7,6.0,78.0,4.0,24.0,28.0,40.0,3.0,23.0,68.0,270.0
Moulvibazar,2023-03-23,2023,3,23,23.3,80.4,1009.4,8.0,93.0,4.0,31.0,37.0,53.0,5.0,28.0,70.0,333.0
Moulvibazar,2023-03-24,2023,3,24,24.2,79.4,1010.8,9.0,111.0,4.0,33.0,39.0,57.0,4.0,29.0,67.0,301.0
