district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Naogaon,2023-03-01,2023,3,1,23.9,67.9,1017.1,9.0,160.0,5.0,56.0,67.0,97.0,7.0,18.0,74.0,462.0
Naogaon,2023-03-02,2023,3,2,24.2,70.5,1016.6,8.0,155.0,5.0,53.0,64.0,93.0,7.0,16.0,75.0,449.0
Naogaon,2023-03-03,2023,3,3,24.7,71.0,1016.4,9.0,156.0,5.0,54.0,65.0,94.0,9.0,15.0,77.0,453.0
Naogaon,2023-03-04,2023,3,4,24.9,70.3,1015.8,8.0,153.0,5.0,53.0,64.0,92.0,7.0,16.0,76.0,432.0
Naogaon,2023-03-05,2023,3,5,24.9,71.3,1014.8,9.0,161.0,6.0,65.0,77.0,111.0,11.0,20.0,81.0,494.0
Naogaon,2023-03-06,2023,3,6,24.6,63.9,1013.9,9.0,149.0,5.0,39.0,47.0,68.0,14.0,17.0,73.0,356.0
Naogaon,2023-03-07,2023,3,7,24.4,58.7,1014.5,9.0,111.0,4.0,31.0,37.0,53.0,15.0,16.0,71.0,290.0
Naogaon,2023-03-08,2023,3,8,24.2,60.0,1015.7,9.0,112.0,4.0,36.0,42.0,62.0,11.0,8.0,84.0,317.0
Naogaon,2023-03-09,2023,3,9,24.3,65.5,1014.7,9.0,124.0,4.0,46.0,54.0,78.0,11.0,8.0,90.0,324.0
Naogaon,2023-03-10,2023,3,10,24.7,65.6,1014.0,8.0,149.0,5.0,42.0,50.0,72.0,11.0,12.0,86.0,327.0
Naogaon,2023-03-11,2023,3,11,25.0,65.4,1014.3,9.0,144.0,5.0,51.0,60.0,86.0,15.0,21.0,77.0,337.0
Naogaon,2023-03-12,2023,3,12,25.0,66.0,1013.7,9.0,153.0,5.0,53.0,62.0,90.0,12.0,14.0,83.0,349.0
Naogaon,2023-03-13,2023,3,13,25.8,64.5,1011.9,9.0,155.0,5.0,51.0,60.0,85.0,9.0,15.0,82.0,445.0
Naogaon,2023-03-14,2023,3,14,25.7,70.5,1009.6,9.0,153.0,5.0,59.0,69.0,98.0,13.0,15.0,92.0,435.0
Naogaon,2023-03-15,2023,3,15,25.6,74.1,1009.1,9.0,162.0,6.0,64.0,74.0,107.0,6.0,20.0,25.0,282.0
Naogaon,2023-03-16,2023,3,16,24.0,81.6,1011.8,9.0,155.0,5.0,57.0,68.0,98.0,8.0,8.0,94.0,383.0
Naogaon,2023-03-17,2023,3,17,23.6,85.4,1012.8,6.0,160.0,5.0,71.0,84.0,121.0,4.0,12.0,77.0,445.0
