district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Panchagarh,2023-03-01,2023,3,1,23.8,67.0,1017.7,8.0,154.0,5.0,51.0,60.0,87.0,6.0,5.0,81.0,376.0
Panchagarh,2023-03-02,2023,3,2,24.2,67.0,1017.2,7.0,155.0,5.0,57.0,68.0,99.0,7.0,5.0,86.0,395.0
Panchagarh,2023-03-03,2023,3,3,24.8,66.7,1017.1,7.0,156.0,5.0,53.0,64.0,93.0,6.0,4.0,86.0,371.0
Panchagarh,2023-03-04,2023,3,4,25.2,67.7,1016.5,7.0,153.0,5.0,51.0,62.0,90.0,4.0,5.0,81.0,369.0
Panchagarh,2023-03-05,2023,3,5,25.4,67.8,1014.8,8.0,155.0,5.0,56.0,68.0,98.0,4.0,4.0,78.0,363.0
Panchagarh,2023-03-06,2023,3,6,24.6,71.0,1013.2,8.0,156.0,5.0,49.0,59.0,85.0,4.0,5.0,80.0,397.0
Panchagarh,2023-03-07,2023,3,7,24.2,62.4,1014.2,9.0,145.0,5.0,40.0,48.0,68.0,4.0,5.0,71.0,351.0
Panchagarh,2023-03-08,2023,3,8,24.0,64.0,1016.0,8.0,119.0,4.0,36.0,43.0,62.0,4.0,6.0,74.0,356.0
Panchagarh,2023-03-09,2023,3,9,24.5,63.6,1014.4,9.0,110.0,4.0,33.0,39.0,55.0,2.0,4.0,69.0,336.0
Panchagarh,2023-03-10,2023,3,10,24.5,61.8,1013.7,9.0,108.0,4.0,31.0,36.0,52.0,3.0,5.0,72.0,337.0
Panchagarh,2023-03-11,2023,3,11,25.1,59.3,1014.1,9.0,104.0,4.0,35.0,41.0,58.0,4.0,7.0,71.0,370.0
Panchagarh,2023-03-12,2023,3,12,25.0,58.9,1013.7,9.0,112.0,4.0,34.0,40.0,58.0,4.0,7.0,72.0,361.0
Panchagarh,2023-03-13,2023,3,13,25.3,61.0,1012.1,9.0,114.0,4.0,37.0,43.0,62.0,4.0,4.0,77.0,319.0
Panchagarh,2023-03-14,2023,3,14,25.1,67.8,1009.4,8.0,139.0,5.0,51.0,59.0,85.0,4.0,4.0,77.0,373.0
Panchagarh,2023-03-15,2023,3,15,24.8,69.2,1009.3,9.0,152.0,5.0,45.0,53.0,77.0,2.0,2.0,32.0,188.0
Panchagarh,2023-03-16,2023,3,16,23.0,75.1,1012.7,9.0,143.0,5.0,50.0,59.0,85.0,4.0,3.0,86.0,310.0
Panchagarh,2023-03-17,2023,3,17,24.3,74.8,1013.2,7.0,155.0,5.0,58.0,69.0,99.0,3.0,6.0,81.0,403.0
Panchagarh,2023-03-18,2023,3,18,24.6,76.4,1011.7,8.0,162.0,6.0,65.0,77.0,111.0,3.0,7.0,77.0,438.0
Panchagarh,2023-03-19,2023,3,19,21.4,88.3,1011.1,5.0,155.0,5.0,46.0,54.0,77.0,2.0,4.0,86.0,362.0
Panchagarh,2023-03-20,2023,3,20,20.1,92.7,1009.7,3.0,109.0,4.0,24.0,28.0,40.0,1.0,3.0,80.0,373.0
Panchagarh,2023-03-21,2023,3,21,21.8,84.1,1009.8,8.0,75.0,3.0,19.0,23.0,33.0,1.0,5.0,72.0,344.0
Panchagarh,2023-03-22,2023,3,22,23.3,78.2,1008.0,9.0,82.0,4.0,26.0,31.0,44.0,1.0,6.0,71.0,398.0
Panchagarh,2023-03-23,2023,3,23,23.6,74.2,1007.9,8.0,98.0,4.0,30.0,35.0,50.0,2.0,6.0,80.0,427.0
Panchagarh,2023-03-24,2023,3,24,23.5,77.6,1010.0,9.0,104.0,4.0,35.0,41.0,58.0,4.0,4.0,88.0,361.0
Panchagarh,2023-03-25,2023,3,25,24.2,73.9,1010.6,9.0,122.0,4.0,40.0,47.0,68.0,4.0,5.0,86.0,348.0
Panchagarh,2023-03-26,2023,3,26,25.0,75.4,1007.9,9.0,133.0,4.0,42.0,49.0,72.0,5.0,5.0,84.0,352.0
Panchagarh,2023-03-27,2023,3,27,25.0,69.0,1007.1,9.0,136.0,5.0,38.0,45.0,66.0,4.0,8.0,74.0,377.0
Panchagarh,2023-03-28,2023,3,28,24.5,64.5,1008.2,9.0,123.0,4.0,35.0,41.0,60.0,3.0,8.0,78.0,384.0
Panchagarh,2023-03-29,2023,3,29,24.6,63.6,1010.0,9.0,114.0,4.0,35.0,42.0,60.0,3.0,9.0,81.0,417.0
Panchagarh,2023-03-30,2023,3,30,24.5,75.4,1009.3,8.0,117.0,4.0,41.0,48.0,70.0,3.0,4.0,91.0,312.0
Panchagarh,2023-03-31,2023,3,31,24.2,75.8,1010.0,8.0,132.0,4.0,42.0,50.0,72.0,3.0,3.0,95.0,310.0
Panchagarh,2023-04-01,2023,4,1,22.8,81.5,1008.8,8.0,134.0,5.0,36.0,43.0,63.0,2.0,3.0,86.0,278.0
Panchagarh,2023-04-02,2023,4,2,22.6,80.7,1007.0,9.0,106.0,4.0,30.0,36.0,51.0,2.0,5.0,79.0,294.0
Panchagarh,2023-04-03,2023,4,3,24.2,73.2,1006.2,8.0,105.0,4.0,31.0,37.0,53.0,3.0,6.0,77.0,333.0
Panchagarh,2023-04-04,2023,4,4,24.7,75.9,1007.1,9.0,104.0,4.0,32.0,37.0,54.0,5.0,4.0,88.0,311.0
Panchagarh,2023-04-05,2023,4,5,25.2,73.4,1006.6,9.0,100.0,4.0,28.0,33.0,50.0,3.0,6.0,82.0,309.0
Panchagarh,2023-04-06,2023,4,6,25.3,72.6,1009.3,10.0,100.0,4.0,29.0,35.0,52.0,3.0,6.0,82.0,330.0
Panchagarh,2023-04-07,2023,4,7,26.2,67.9,1011.3,10.0,95.0,4.0,27.0,32.0,46.0,3.0,5.0,86.0,297.0
Panchagarh,2023-04-08,2023,4,8,26.7,67.1,1012.6,9.0,92.0,4.0,27.0,32.0,47.0,3.0,6.0,84.0,305.0
Panchagarh,2023-04-09,2023,4,9,26.6,70.4,1011.5,9.0,100.0,4.0,32.0,38.0,55.0,3.0,6.0,83.0,348.0
Panchagarh,2023-04-10,2023,4,10,26.9,57.4,1008.9,10.0,107.0,4.0,29.0,34.0,50.0,3.0,5.0,89.0,317.0
Panchagarh,2023-04-11,2023,4,11,26.0,56.9,1009.3,10.0,102.0,4.0,35.0,41.0,59.0,4.0,8.0,95.0,406.0
Panchagarh,2023-04-12,2023,4,12,27.0,60.5,1008.9,10.0,116.0,4.0,34.0,40.0,57.0,4.0,6.0,99.0,359.0
Panchagarh,2023-04-13,2023,4,13,27.2,62.0,1007.3,10.0,109.0,4.0,34.0,40.0,58.0,5.0,5.0,102.0,334.0
Panchagarh,2023-04-14,2023,4,14,28.7,62.3,1007.3,10.0,113.0,4.0,35.0,41.0,59.0,5.0,4.0,101.0,321.0
Panchagarh,2023-04-15,2023,4,15,29.4,64.7,1007.2,10.0,119.0,4.0,38.0,44.0,64.0,4.0,5.0,90.0,337.0
Panchagarh,2023-04-16,2023,4,16,29.2,67.6,1004.9,9.0,120.0,4.0,37.0,44.0,63.0,4.0,7.0,90.0,413.0
Panchagarh,2023-04-17,2023,4,17,29.4,65.2,1004.9,10.0,131.0,4.0,42.0,49.0,70.0,4.0,8.0,90.0,410.0
Panchagarh,2023-04-18,2023,4,18,30.1,68.0,1006.3,10.0,133.0,4.0,44.0,52.0,74.0,6.0,5.0,105.0,402.0
Panchagarh,2023-04-19,2023,4,19,30.8,67.8,1002.6,10.0,144.0,5.0,45.0,54.0,77.0,6.0,4.0,105.0,374.0
Panchagarh,2023-04-20,2023,4,20,29.0,70.0,1000.9,9.0,142.0,5.0,44.0,52.0,76.0,4.0,4.0,96.0,334.0
Panchagarh,2023-04-21,2023,4,21,28.0,73.9,1002.1,9.0,131.0,4.0,36.0,43.0,63.0,3.0,5.0,86.0,318.0
Panchagarh,2023-04-22,2023,4,22,26.9,72.5,1004.3,9.0,117.0,4.0,35.0,42.0,62.0,3.0,4.0,86.0,291.0
Panchagarh,2023-04-23,2023,4,23,24.6,74.1,1008.2,9.0,113.0,4.0,32.0,39.0,57.0,3.0,4.0,85.0,282.0
Panchagarh,2023-04-24,2023,4,24,24.7,71.9,1011.7,10.0,113.0,4.0,35.0,42.0,61.0,2.0,7.0,78.0,336.0
Panchagarh,2023-04-25,2023,4,25,26.0,71.2,1010.9,9.0,122.0,4.0,34.0,41.0,59.0,2.0,9.0,73.0,390.0
Panchagarh,2023-04-26,2023,4,26,27.7,66.0,1008.4,9.0,104.0,4.0,31.0,36.0,52.0,3.0,7.0,86.0,333.0
Panchagarh,2023-04-27,2023,4,27,27.0,70.7,1008.3,9.0,111.0,4.0,37.0,43.0,62.0,5.0,6.0,95.0,363.0
Panchagarh,2023-04-28,2023,4,28,26.9,71.3,1008.7,9.0,137.0,5.0,46.0,54.0,78.0,6.0,7.0,91.0,389.0
Panchagarh,2023-04-29,2023,4,29,26.2,76.8,1008.2,9.0,147.0,5.0,50.0,59.0,86.0,6.0,5.0,100.0,348.0
Panchagarh,2023-04-30,2023,4,30,25.7,79.9,1008.0,7.0,150.0,5.0,45.0,53.0,77.0,4.0,4.0,95.0,336.0
Panchagarh,2023-05-01,2023,5,1,25.2,83.1,1008.8,6.0,150.0,5.0,56.0,65.0,94.0,3.0,7.0,80.0,387.0
Panchagarh,2023-05-02,2023,5,2,25.5,79.4,1009.3,9.0,157.0,5.0,49.0,57.0,83.0,3.0,9.0,73.0,397.0
Panchagarh,2023-05-03,2023,5,3,27.0,73.5,1009.6,9.0,141.0,5.0,44.0,52.0,76.0,3.0,9.0,72.0,376.0
Panchagarh,2023-05-04,2023,5,4,25.7,81.9,1008.8,8.0,121.0,4.0,31.0,36.0,52.0,2.0,4.0,82.0,275.0
Panchagarh,2023-05-05,2023,5,5,27.0,73.1,1005.8,9.0,98.0,4.0,29.0,34.0,49.0,2.0,5.0,83.0,300.0
Panchagarh,2023-05-06,2023,5,6,28.6,64.8,1003.5,10.0,119.0,4.0,40.0,47.0,68.0,4.0,10.0,87.0,427.0
Panchagarh,2023-05-07,2023,5,7,29.6,66.0,1003.9,9.0,121.0,4.0,37.0,43.0,63.0,4.0,5.0,96.0,336.0
Panchagarh,2023-05-08,2023,5,8,30.8,63.5,1003.6,10.0,120.0,4.0,35.0,42.0,62.0,3.0,5.0,95.0,296.0
Panchagarh,2023-05-09,2023,5,9,31.3,58.6,1003.4,10.0,113.0,4.0,31.0,38.0,56.0,4.0,6.0,95.0,303.0
Panchagarh,2023-05-10,2023,5,10,30.4,50.5,1003.3,10.0,107.0,4.0,31.0,37.0,54.0,4.0,9.0,95.0,341.0
Panchagarh,2023-05-11,2023,5,11,28.6,59.7,1006.4,10.0,104.0,4.0,33.0,39.0,56.0,5.0,8.0,101.0,335.0
Panchagarh,2023-05-12,2023,5,12,29.4,65.6,1007.2,8.0,111.0,4.0,36.0,42.0,62.0,5.0,5.0,107.0,309.0
Panchagarh,2023-05-13,2023,5,13,30.1,56.4,1006.1,9.0,113.0,4.0,31.0,37.0,54.0,4.0,5.0,102.0,283.0
Panchagarh,2023-05-14,2023,5,14,30.3,52.9,1002.2,10.0,97.0,4.0,27.0,32.0,48.0,1.0,2.0,31.0,138.0
Panchagarh,2023-05-15,2023,5,15,28.9,58.6,1002.6,9.0,100.0,4.0,31.0,37.0,57.0,2.0,2.0,84.0,180.0
Panchagarh,2023-05-16,2023,5,16,26.8,77.0,1005.1,6.0,119.0,4.0,43.0,52.0,77.0,4.0,3.0,108.0,275.0
Panchagarh,2023-05-17,2023,5,17,24.7,84.1,1008.5,6.0,118.0,4.0,25.0,30.0,44.0,1.0,3.0,101.0,273.0
Panchagarh,2023-05-18,2023,5,18,25.0,84.5,1009.6,6.0,78.0,3.0,21.0,25.0,37.0,1.0,4.0,83.0,233.0
Panchagarh,2023-05-19,2023,5,19,25.7,85.6,1007.2,6.0,85.0,4.0,29.0,35.0,52.0,1.0,5.0,80.0,267.0
Panchagarh,2023-05-20,2023,5,20,27.4,79.5,1005.8,7.0,120.0,4.0,39.0,46.0,69.0,2.0,5.0,90.0,298.0
Panchagarh,2023-05-21,2023,5,21,26.9,79.3,1007.0,8.0,117.0,4.0,28.0,34.0,50.0,2.0,4.0,85.0,279.0
Panchagarh,2023-05-22,2023,5,22,27.0,78.6,1008.7,8.0,85.0,4.0,23.0,27.0,40.0,1.0,4.0,89.0,252.0
Panchagarh,2023-05-23,2023,5,23,26.0,82.7,1008.3,6.0,87.0,4.0,27.0,33.0,48.0,1.0,7.0,78.0,281.0
Panchagarh,2023-05-24,2023,5,24,26.6,75.6,1006.6,7.0,105.0,4.0,30.0,36.0,52.0,1.0,10.0,74.0,323.0
Panchagarh,2023-05-25,2023,5,25,27.5,81.0,1005.7,8.0,99.0,4.0,26.0,31.0,45.0,1.0,7.0,82.0,312.0
Panchagarh,2023-05-26,2023,5,26,26.3,80.0,1006.4,8.0,83.0,4.0,28.0,33.0,49.0,1.0,5.0,89.0,285.0
Panchagarh,2023-05-27,2023,5,27,25.6,84.4,1006.5,8.0,112.0,4.0,36.0,43.0,63.0,1.0,6.0,89.0,320.0
Panchagarh,2023-05-28,2023,5,28,27.6,80.0,1007.7,9.0,124.0,4.0,36.0,43.0,62.0,1.0,8.0,80.0,334.0
Panchagarh,2023-05-29,2023,5,29,30.4,69.7,1007.8,9.0,119.0,4.0,36.0,43.0,63.0,1.0,11.0,14.0,280.0
Panchagarh,2023-05-30,2023,5,30,31.3,69.9,1006.2,9.0,116.0,4.0,35.0,41.0,60.0,2.0,11.0,69.0,319.0
Panchagarh,2023-05-31,2023,5,31,32.0,71.4,1003.9,9.0,120.0,4.0,39.0,46.0,67.0,3.0,14.0,77.0,467.0
Panchagarh,2023-06-01,2023,6,1,31.4,71.3,1001.8,10.0,117.0,4.0,35.0,42.0,64.0,3.0,11.0,86.0,433.0
Panchagarh,2023-06-02,2023,6,2,31.1,69.4,1001.7,10.0,131.0,4.0,38.0,46.0,68.0,3.0,8.0,85.0,345.0
Panchagarh,2023-06-03,2023,6,3,31.4,70.4,1003.2,9.0,116.0,4.0,38.0,46.0,68.0,5.0,6.0,102.0,310.0
Panchagarh,2023-06-04,2023,6,4,31.5,70.3,1003.4,9.0,139.0,5.0,45.0,54.0,79.0,5.0,5.0,101.0,316.0
Panchagarh,2023-06-05,2023,6,5,31.2,73.5,1002.8,9.0,149.0,5.0,47.0,56.0,82.0,5.0,6.0,100.0,309.0
Panchagarh,2023-06-06,2023,6,6,31.7,71.7,1001.7,9.0,142.0,5.0,40.0,48.0,70.0,4.0,5.0,100.0,300.0
Panchagarh,2023-06-07,2023,6,7,32.2,69.1,1000.8,9.0,125.0,4.0,38.0,46.0,67.0,3.0,6.0,93.0,305.0
Panchagarh,2023-06-08,2023,6,8,32.4,70.9,1000.5,9.0,130.0,4.0,41.0,48.0,70.0,3.0,6.0,92.0,316.0
Panchagarh,2023-06-09,2023,6,9,29.7,76.4,999.8,7.0,138.0,5.0,45.0,54.0,77.0,1.0,3.0,41.0,161.0
Panchagarh,2023-06-10,2023,6,10,28.9,80.9,999.4,7.0,140.0,5.0,37.0,44.0,63.0,2.0,4.0,96.0,270.0
Panchagarh,2023-06-11,2023,6,11,29.4,80.4,998.7,9.0,107.0,4.0,33.0,39.0,56.0,1.0,4.0,101.0,286.0
Panchagarh,2023-06-12,2023,6,12,27.2,88.5,999.5,4.0,88.0,4.0,15.0,18.0,25.0,1.0,5.0,91.0,268.0
Panchagarh,2023-06-13,2023,6,13,27.9,86.8,998.5,5.0,70.0,3.0,23.0,27.0,39.0,2.0,6.0,84.0,282.0
Panchagarh,2023-06-14,2023,6,14,27.8,87.3,997.8,6.0,83.0,4.0,22.0,26.0,38.0,1.0,5.0,89.0,276.0
Panchagarh,2023-06-15,2023,6,15,27.7,87.1,997.2,9.0,91.0,4.0,31.0,38.0,57.0,3.0,5.0,89.0,268.0
Panchagarh,2023-06-16,2023,6,16,27.2,85.6,998.6,8.0,105.0,4.0,26.0,32.0,47.0,2.0,3.0,42.0,146.0
Panchagarh,2023-06-17,2023,6,17,26.9,87.1,1000.6,5.0,84.0,4.0,21.0,25.0,37.0,2.0,4.0,71.0,198.0
Panchagarh,2023-06-18,2023,6,18,24.9,92.5,1002.7,3.0,71.0,3.0,14.0,17.0,25.0,1.0,5.0,70.0,194.0
Panchagarh,2023-06-19,2023,6,19,25.1,92.2,1002.7,4.0,60.0,2.0,15.0,19.0,28.0,0.0,1.0,26.0,72.0
Panchagarh,2023-06-20,2023,6,20,26.1,91.8,1002.2,4.0,71.0,3.0,18.0,22.0,32.0,1.0,3.0,49.0,137.0
Panchagarh,2023-06-21,2023,6,21,26.2,92.7,1002.5,5.0,66.0,2.0,16.0,20.0,28.0,1.0,4.0,70.0,203.0
Panchagarh,2023-06-22,2023,6,22,26.9,91.4,1003.0,6.0,59.0,2.0,11.0,13.0,19.0,2.0,4.0,75.0,215.0
Panchagarh,2023-06-23,2023,6,23,28.2,88.2,1002.8,5.0,57.0,2.0,14.0,16.0,23.0,1.0,5.0,64.0,186.0
Panchagarh,2023-06-24,2023,6,24,30.0,81.6,1002.2,7.0,64.0,2.0,16.0,19.0,27.0,1.0,5.0,63.0,180.0
Panchagarh,2023-06-25,2023,6,25,30.4,78.5,1002.3,8.0,63.0,2.0,14.0,17.0,25.0,2.0,5.0,63.0,177.0
Panchagarh,2023-06-26,2023,6,26,30.5,78.1,1002.2,7.0,62.0,2.0,14.0,17.0,24.0,1.0,4.0,63.0,168.0
Panchagarh,2023-06-27,2023,6,27,28.6,86.0,1002.8,5.0,55.0,2.0,9.0,11.0,16.0,1.0,4.0,54.0,151.0
Panchagarh,2023-06-28,2023,6,28,27.6,90.8,1004.6,4.0,34.0,2.0,5.0,6.0,9.0,2.0,3.0,54.0,155.0
Panchagarh,2023-06-29,2023,6,29,27.4,91.0,1004.3,3.0,32.0,1.0,7.0,9.0,12.0,3.0,5.0,48.0,196.0
