district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Patuakhali,2023-03-01,2023,3,1,25.0,69.0,1017.1,9.0,138.0,5.0,42.0,50.0,72.0,8.0,7.0,93.0,309.0
Patuakhali,2023-03-02,2023,3,2,25.4,69.7,1016.5,9.0,145.0,5.0,48.0,56.0,81.0,10.0,8.0,98.0,379.0
Patuakhali,2023-03-03,2023,3,3,26.5,66.3,1016.5,9.0,149.0,5.0,42.0,50.0,72.0,7.0,9.0,82.0,372.0
Patuakhali,2023-03-04,2023,3,4,26.3,64.3,1015.9,9.0,121.0,4.0,37.0,44.0,64.0,6.0,8.0,82.0,309.0
Patuakhali,2023-03-05,2023,3,5,26.4,67.1,1015.1,9.0,135.0,5.0,44.0,52.0,75.0,6.0,9.0,83.0,339.0
Patuakhali,2023-03-06,2023,3,6,26.4,64.2,1014.4,9.0,130.0,4.0,35.0,42.0,62.0,6.0,8.0,83.0,317.0
Patuakhali,2023-03-07,2023,3,7,26.4,69.2,1014.6,9.0,108.0,4.0,32.0,38.0,55.0,7.0,8.0,87.0,326.0
Patuakhali,2023-03-08,2023,3,8,26.2,67.8,1015.2,7.0,107.0,4.0,31.0,37.0,53.0,8.0,8.0,77.0,306.0
Patuakhali,2023-03-09,2023,3,9,25.6,66.0,1014.2,8.0,110.0,4.0,41.0,49.0,70.0,8.0,8.0,83.0,336.0
Patuakhali,2023-03-10,2023,3,10,25.6,68.3,1013.7,7.0,149.0,5.0,48.0,57.0,82.0,12.0,9.0,90.0,386.0
Patuakhali,2023-03-11,2023,3,11,25.9,66.1,1013.8,9.0,151.0,5.0,51.0,60.0,86.0,10.0,7.0,104.0,369.0
Patuakhali,2023-03-12,2023,3,12,26.3,63.5,1012.9,9.0,152.0,5.0,48.0,57.0,81.0,9.0,7.0,95.0,352.0
Patuakhali,2023-03-13,2023,3,13,27.0,61.5,1011.5,9.0,149.0,5.0,44.0,51.0,73.0,10.0,9.0,83.0,343.0
Patuakhali,2023-03-14,2023,3,14,26.9,72.4,1010.4,9.0,140.0,5.0,45.0,53.0,76.0,7.0,8.0,88.0,372.0
Patuakhali,2023-03-15,2023,3,15,26.5,79.4,1010.1,8.0,125.0,4.0,32.0,39.0,58.0,2.0,2.0,37.0,146.0
Patuakhali,2023-03-16,2023,3,16,26.8,82.8,1012.1,9.0,98.0,4.0,31.0,38.0,59.0,1.0,5.0,62.0,260.0
Patuakhali,2023-03-17,2023,3,17,25.7,80.8,1012.4,6.0,139.0,5.0,52.0,62.0,91.0,3.0,7.0,75.0,384.0
Patuakhali,2023-03-18,2023,3,18,25.6,79.8,1011.1,9.0,156.0,5.0,50.0,59.0,87.0,4.0,7.0,69.0,390.0
Patuakhali,2023-03-19,2023,3,19,23.6,85.1,1010.7,6.0,121.0,4.0,25.0,31.0,44.0,1.0,5.0,56.0,309.0
Patuakhali,2023-03-20,2023,3,20,23.6,83.5,1009.5,5.0,56.0,2.0,6.0,8.0,11.0,0.0,1.0,62.0,213.0
Patuakhali,2023-03-21,2023,3,21,24.3,81.8,1009.9,7.0,35.0,2.0,8.0,11.0,18.0,1.0,2.0,54.0,185.0
Patuakhali,2023-03-22,2023,3,22,25.4,78.0,1008.9,8.0,59.0,2.0,15.0,19.0,27.0,1.0,4.0,54.0,206.0
Patuakhali,2023-03-23,2023,3,23,25.5,82.3,1009.2,8.0,72.0,3.0,20.0,24.0,36.0,5.0,3.0,74.0,251.0
Patuakhali,2023-03-24,2023,3,24,26.2,80.9,1010.1,9.0,79.0,4.0,23.0,27.0,41.0,2.0,4.0,73.0,211.0
Patuakhali,2023-03-25,2023,3,25,27.3,81.2,1010.9,9.0,85.0,4.0,24.0,29.0,44.0,3.0,5.0,63.0,203.0
Patuakhali,2023-03-26,2023,3,26,27.0,82.7,1009.5,9.0,76.0,3.0,17.0,22.0,33.0,2.0,3.0,52.0,157.0
Patuakhali,2023-03-27,2023,3,27,25.6,88.2,1009.0,7.0,80.0,4.0,25.0,30.0,46.0,3.0,3.0,62.0,184.0
Patuakhali,2023-03-28,2023,3,28,27.1,83.0,1009.5,8.0,98.0,4.0,30.0,36.0,55.0,3.0,3.0,78.0,215.0
Patuakhali,2023-03-29,2023,3,29,26.7,85.9,1010.9,9.0,101.0,4.0,26.0,32.0,48.0,1.0,4.0,59.0,196.0
Patuakhali,2023-03-30,2023,3,30,26.5,86.1,1009.5,8.0,82.0,4.0,18.0,24.0,37.0,1.0,4.0,42.0,146.0
Patuakhali,2023-03-31,2023,3,31,26.1,85.6,1009.7,6.0,73.0,3.0,18.0,23.0,37.0,1.0,2.0,63.0,141.0
Patuakhali,2023-04-01,2023,4,1,24.0,90.2,1009.3,3.0,75.0,3.0,20.0,24.0,35.0,3.0,2.0,71.0,177.0
Patuakhali,2023-04-02,2023,4,2,26.1,79.2,1008.0,8.0,65.0,3.0,11.0,15.0,22.0,2.0,2.0,72.0,158.0
Patuakhali,2023-04-03,2023,4,3,27.8,76.6,1007.8,9.0,63.0,2.0,15.0,20.0,31.0,2.0,2.0,72.0,162.0
Patuakhali,2023-04-04,2023,4,4,28.7,82.2,1008.6,9.0,66.0,2.0,14.0,19.0,30.0,2.0,2.0,60.0,143.0
Patuakhali,2023-04-05,2023,4,5,28.5,85.1,1008.1,8.0,67.0,2.0,18.0,24.0,38.0,3.0,2.0,64.0,147.0
Patuakhali,2023-04-06,2023,4,6,28.9,79.8,1010.2,9.0,88.0,4.0,28.0,34.0,53.0,5.0,3.0,84.0,213.0
Patuakhali,2023-04-07,2023,4,7,29.1,75.0,1011.6,10.0,102.0,4.0,29.0,34.0,50.0,5.0,6.0,82.0,254.0
Patuakhali,2023-04-08,2023,4,8,29.6,69.6,1012.6,10.0,99.0,4.0,31.0,37.0,54.0,6.0,8.0,80.0,302.0
Patuakhali,2023-04-09,2023,4,9,29.6,73.9,1012.2,10.0,116.0,4.0,37.0,44.0,64.0,8.0,10.0,73.0,346.0
Patuakhali,2023-04-10,2023,4,10,29.9,74.5,1010.6,10.0,124.0,4.0,41.0,49.0,70.0,10.0,8.0,90.0,357.0
Patuakhali,2023-04-11,2023,4,11,30.4,79.3,1010.0,9.0,133.0,4.0,39.0,47.0,69.0,9.0,6.0,86.0,303.0
Patuakhali,2023-04-12,2023,4,12,30.3,77.1,1009.0,10.0,128.0,4.0,38.0,46.0,67.0,6.0,4.0,90.0,259.0
Patuakhali,2023-04-13,2023,4,13,30.6,72.9,1008.1,10.0,114.0,4.0,30.0,36.0,52.0,6.0,4.0,103.0,262.0
Patuakhali,2023-04-14,2023,4,14,30.9,71.7,1007.8,10.0,98.0,4.0,29.0,34.0,51.0,7.0,4.0,96.0,252.0
Patuakhali,2023-04-15,2023,4,15,31.1,77.7,1007.4,10.0,101.0,4.0,28.0,34.0,50.0,6.0,5.0,85.0,272.0
Patuakhali,2023-04-16,2023,4,16,31.4,81.1,1006.2,9.0,93.0,4.0,29.0,35.0,52.0,6.0,3.0,90.0,272.0
Patuakhali,2023-04-17,2023,4,17,31.0,84.1,1007.2,10.0,103.0,4.0,31.0,39.0,59.0,4.0,2.0,76.0,234.0
Patuakhali,2023-04-18,2023,4,18,30.9,82.2,1008.1,10.0,112.0,4.0,31.0,39.0,60.0,4.0,2.0,73.0,206.0
Patuakhali,2023-04-19,2023,4,19,30.8,83.4,1004.9,9.0,94.0,4.0,22.0,28.0,43.0,3.0,2.0,67.0,176.0
Patuakhali,2023-04-20,2023,4,20,30.7,84.3,1002.6,10.0,84.0,4.0,19.0,26.0,44.0,3.0,1.0,73.0,176.0
Patuakhali,2023-04-21,2023,4,21,29.9,84.1,1003.5,8.0,85.0,4.0,25.0,33.0,53.0,3.0,2.0,77.0,178.0
