district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Pirojpur,2023-03-01,2023,3,1,25.0,68.6,1017.1,9.0,145.0,5.0,46.0,54.0,78.0,8.0,10.0,87.0,330.0
Pirojpur,2023-03-02,2023,3,2,25.5,70.5,1016.6,9.0,151.0,5.0,48.0,57.0,82.0,10.0,14.0,89.0,386.0
Pirojpur,2023-03-03,2023,3,3,26.0,67.7,1016.6,9.0,148.0,5.0,41.0,48.0,70.0,9.0,13.0,81.0,339.0
Pirojpur,2023-03-04,2023,3,4,26.2,65.0,1016.0,9.0,118.0,4.0,38.0,45.0,66.0,8.0,10.0,89.0,303.0
Pirojpur,2023-03-05,2023,3,5,26.1,67.8,1015.1,9.0,139.0,5.0,44.0,52.0,75.0,8.0,11.0,87.0,325.0
Pirojpur,2023-03-06,2023,3,6,25.9,65.5,1014.3,9.0,134.0,4.0,38.0,45.0,66.0,7.0,13.0,84.0,335.0
Pirojpur,2023-03-07,2023,3,7,25.9,69.2,1014.6,9.0,109.0,4.0,32.0,38.0,54.0,9.0,11.0,93.0,327.0
Pirojpur,2023-03-08,2023,3,8,25.7,69.2,1015.4,7.0,111.0,4.0,34.0,40.0,57.0,9.0,11.0,79.0,317.0
Pirojpur,2023-03-09,2023,3,9,25.2,67.4,1014.5,8.0,108.0,4.0,39.0,46.0,66.0,7.0,9.0,84.0,317.0
Pirojpur,2023-03-10,2023,3,10,25.5,69.5,1013.8,6.0,146.0,5.0,48.0,56.0,80.0,10.0,10.0,89.0,376.0
Pirojpur,2023-03-11,2023,3,11,25.5,69.3,1014.0,9.0,152.0,5.0,52.0,61.0,87.0,9.0,10.0,101.0,380.0
Pirojpur,2023-03-12,2023,3,12,25.9,65.7,1013.2,9.0,152.0,5.0,49.0,57.0,82.0,9.0,9.0,97.0,354.0
Pirojpur,2023-03-13,2023,3,13,26.6,64.0,1011.6,9.0,153.0,5.0,49.0,57.0,82.0,11.0,12.0,85.0,364.0
Pirojpur,2023-03-14,2023,3,14,26.7,72.3,1010.3,8.0,151.0,5.0,46.0,54.0,78.0,8.0,10.0,95.0,372.0
Pirojpur,2023-03-15,2023,3,15,26.4,79.1,1009.9,9.0,119.0,4.0,29.0,36.0,55.0,2.0,2.0,41.0,142.0
Pirojpur,2023-03-16,2023,3,16,27.0,81.9,1011.9,9.0,97.0,4.0,31.0,39.0,61.0,2.0,7.0,64.0,258.0
Pirojpur,2023-03-17,2023,3,17,25.4,82.2,1012.5,6.0,138.0,5.0,49.0,59.0,87.0,3.0,10.0,73.0,373.0
Pirojpur,2023-03-18,2023,3,18,25.1,81.2,1011.1,9.0,151.0,5.0,42.0,50.0,73.0,3.0,7.0,66.0,365.0
Pirojpur,2023-03-19,2023,3,19,23.3,87.3,1010.7,6.0,106.0,4.0,23.0,28.0,40.0,3.0,6.0,57.0,297.0
Pirojpur,2023-03-20,2023,3,20,23.3,85.2,1009.3,6.0,50.0,2.0,5.0,7.0,11.0,1.0,2.0,63.0,210.0
Pirojpur,2023-03-21,2023,3,21,24.0,83.6,1009.8,7.0,36.0,2.0,8.0,12.0,18.0,1.0,3.0,55.0,183.0
Pirojpur,2023-03-22,2023,3,22,25.3,78.0,1008.8,9.0,57.0,2.0,14.0,17.0,25.0,2.0,5.0,58.0,197.0
Pirojpur,2023-03-23,2023,3,23,25.4,82.1,1009.0,8.0,71.0,3.0,20.0,24.0,35.0,6.0,5.0,78.0,248.0
Pirojpur,2023-03-24,2023,3,24,26.1,79.0,1010.0,9.0,75.0,3.0,21.0,26.0,39.0,3.0,5.0,79.0,203.0
Pirojpur,2023-03-25,2023,3,25,27.3,80.3,1010.7,9.0,82.0,4.0,21.0,25.0,38.0,3.0,5.0,61.0,185.0
Pirojpur,2023-03-26,2023,3,26,27.0,81.7,1009.3,9.0,69.0,3.0,16.0,20.0,32.0,2.0,3.0,54.0,152.0
Pirojpur,2023-03-27,2023,3,27,25.5,88.0,1008.9,7.0,79.0,4.0,24.0,30.0,45.0,5.0,5.0,64.0,193.0
Pirojpur,2023-03-28,2023,3,28,27.4,81.6,1009.3,8.0,100.0,4.0,31.0,37.0,56.0,5.0,4.0,80.0,221.0
Pirojpur,2023-03-29,2023,3,29,26.5,85.2,1010.9,9.0,94.0,4.0,23.0,28.0,43.0,2.0,4.0,59.0,181.0
Pirojpur,2023-03-30,2023,3,30,26.5,84.7,1009.3,8.0,77.0,3.0,17.0,22.0,34.0,1.0,4.0,44.0,136.0
Pirojpur,2023-03-31,2023,3,31,25.8,85.8,1009.5,5.0,70.0,3.0,16.0,21.0,34.0,1.0,2.0,66.0,140.0
