district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Rajshahi,2023-03-01,2023,3,1,23.9,67.1,1016.8,9.0,161.0,6.0,56.0,66.0,97.0,7.0,24.0,69.0,443.0
Rajshahi,2023-03-02,2023,3,2,24.7,68.4,1016.5,8.0,155.0,5.0,52.0,62.0,91.0,6.0,23.0,71.0,453.0
Rajshahi,2023-03-03,2023,3,3,25.0,69.0,1016.5,9.0,157.0,5.0,57.0,68.0,99.0,9.0,31.0,61.0,486.0
Rajshahi,2023-03-04,2023,3,4,25.1,69.2,1015.8,8.0,155.0,5.0,56.0,67.0,97.0,7.0,24.0,70.0,469.0
Rajshahi,2023-03-05,2023,3,5,26.0,66.2,1014.9,9.0,162.0,6.0,68.0,80.0,116.0,11.0,34.0,68.0,529.0
Rajshahi,2023-03-06,2023,3,6,25.5,60.5,1014.0,9.0,145.0,5.0,38.0,45.0,66.0,12.0,23.0,69.0,342.0
Rajshahi,2023-03-07,2023,3,7,25.5,57.4,1014.7,9.0,131.0,4.0,39.0,46.0,67.0,10.0,32.0,56.0,367.0
Rajshahi,2023-03-08,2023,3,8,25.5,56.3,1015.9,9.0,123.0,4.0,39.0,46.0,67.0,10.0,16.0,78.0,338.0
Rajshahi,2023-03-09,2023,3,9,24.8,64.5,1014.7,9.0,130.0,4.0,51.0,60.0,86.0,12.0,16.0,81.0,360.0
Rajshahi,2023-03-10,2023,3,10,25.5,64.8,1014.2,8.0,155.0,5.0,50.0,58.0,84.0,10.0,25.0,72.0,393.0
Rajshahi,2023-03-11,2023,3,11,25.4,65.5,1014.4,9.0,156.0,5.0,61.0,71.0,103.0,12.0,33.0,69.0,451.0
Rajshahi,2023-03-12,2023,3,12,25.3,67.9,1013.9,9.0,156.0,5.0,56.0,65.0,94.0,11.0,19.0,78.0,359.0
Rajshahi,2023-03-13,2023,3,13,26.0,65.4,1012.1,9.0,158.0,5.0,59.0,69.0,99.0,11.0,23.0,80.0,467.0
Rajshahi,2023-03-14,2023,3,14,26.4,69.0,1009.6,9.0,161.0,6.0,72.0,84.0,121.0,17.0,22.0,103.0,509.0
Rajshahi,2023-03-15,2023,3,15,26.9,65.9,1009.2,9.0,171.0,6.0,76.0,89.0,129.0,8.0,14.0,40.0,273.0
