district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Rangamati,2023-03-01,2023,3,1,26.1,53.9,1016.6,9.0,113.0,4.0,30.0,36.0,52.0,7.0,1.0,100.0,243.0
Rangamati,2023-03-02,2023,3,2,25.8,51.3,1015.9,9.0,99.0,4.0,30.0,36.0,53.0,6.0,1.0,105.0,237.0
Rangamati,2023-03-03,2023,3,3,26.0,57.2,1016.1,9.0,103.0,4.0,30.0,35.0,52.0,7.0,1.0,105.0,239.0
Rangamati,2023-03-04,2023,3,4,25.7,58.6,1015.5,9.0,98.0,4.0,29.0,35.0,51.0,6.0,1.0,96.0,229.0
Rangamati,2023-03-05,2023,3,5,26.2,66.1,1014.8,9.0,104.0,4.0,33.0,40.0,58.0,7.0,2.0,95.0,252.0
Rangamati,2023-03-06,2023,3,6,25.7,73.4,1014.1,9.0,114.0,4.0,33.0,39.0,56.0,8.0,2.0,89.0,276.0
Rangamati,2023-03-07,2023,3,7,26.7,58.5,1014.4,9.0,95.0,4.0,25.0,30.0,43.0,7.0,2.0,94.0,238.0
Rangamati,2023-03-08,2023,3,8,27.0,47.5,1014.5,8.0,87.0,4.0,22.0,26.0,38.0,7.0,2.0,99.0,220.0
Rangamati,2023-03-09,2023,3,9,26.9,55.5,1013.4,9.0,87.0,4.0,33.0,39.0,55.0,6.0,2.0,102.0,264.0
Rangamati,2023-03-10,2023,3,10,27.2,53.5,1012.9,8.0,118.0,4.0,32.0,38.0,54.0,9.0,1.0,101.0,269.0
Rangamati,2023-03-11,2023,3,11,27.7,50.7,1012.8,9.0,111.0,4.0,39.0,46.0,65.0,5.0,2.0,102.0,298.0
Rangamati,2023-03-12,2023,3,12,28.0,50.0,1011.9,9.0,135.0,4.0,43.0,50.0,72.0,5.0,3.0,107.0,332.0
Rangamati,2023-03-13,2023,3,13,27.7,44.4,1011.1,9.0,143.0,5.0,48.0,57.0,81.0,5.0,3.0,105.0,349.0
Rangamati,2023-03-14,2023,3,14,26.2,67.9,1010.4,9.0,160.0,6.0,73.0,85.0,122.0,10.0,5.0,101.0,512.0
Rangamati,2023-03-15,2023,3,15,26.4,79.2,1010.4,8.0,169.0,6.0,74.0,86.0,124.0,6.0,4.0,36.0,290.0
Rangamati,2023-03-16,2023,3,16,26.1,81.3,1012.4,9.0,175.0,6.0,96.0,112.0,162.0,9.0,6.0,98.0,562.0
Rangamati,2023-03-17,2023,3,17,26.0,84.8,1011.9,8.0,171.0,6.0,69.0,81.0,117.0,7.0,5.0,88.0,518.0
Rangamati,2023-03-18,2023,3,18,25.6,73.1,1010.8,9.0,156.0,5.0,54.0,64.0,93.0,5.0,2.0,95.0,348.0
Rangamati,2023-03-19,2023,3,19,24.2,79.7,1010.5,3.0,155.0,5.0,59.0,69.0,100.0,4.0,4.0,74.0,474.0
Rangamati,2023-03-20,2023,3,20,22.8,82.6,1009.8,5.0,159.0,5.0,41.0,49.0,70.0,3.0,6.0,67.0,458.0
