district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Rangpur,2023-03-01,2023,3,1,23.9,69.2,1017.6,8.0,145.0,5.0,44.0,52.0,76.0,6.0,8.0,81.0,342.0
Rangpur,2023-03-02,2023,3,2,24.3,68.5,1017.0,8.0,136.0,4.0,42.0,50.0,74.0,5.0,3.0,85.0,316.0
Rangpur,2023-03-03,2023,3,3,24.9,68.3,1016.9,8.0,145.0,5.0,44.0,53.0,78.0,5.0,3.0,85.0,328.0
Rangpur,2023-03-04,2023,3,4,24.8,70.8,1016.4,7.0,141.0,5.0,44.0,53.0,78.0,4.0,5.0,79.0,341.0
Rangpur,2023-03-05,2023,3,5,25.3,70.9,1014.8,7.0,143.0,5.0,46.0,55.0,80.0,4.0,6.0,78.0,365.0
Rangpur,2023-03-06,2023,3,6,24.9,66.4,1013.3,9.0,150.0,5.0,40.0,48.0,70.0,4.0,6.0,78.0,359.0
Rangpur,2023-03-07,2023,3,7,23.8,61.5,1014.4,9.0,105.0,4.0,27.0,32.0,47.0,5.0,7.0,70.0,313.0
Rangpur,2023-03-08,2023,3,8,23.7,63.9,1016.0,9.0,97.0,4.0,32.0,37.0,54.0,4.0,9.0,72.0,345.0
Rangpur,2023-03-09,2023,3,9,24.6,64.4,1014.5,9.0,110.0,4.0,35.0,41.0,59.0,3.0,4.0,76.0,304.0
Rangpur,2023-03-10,2023,3,10,24.8,62.9,1013.9,9.0,114.0,4.0,32.0,38.0,55.0,4.0,4.0,80.0,305.0
Rangpur,2023-03-11,2023,3,11,25.3,61.2,1014.2,9.0,108.0,4.0,34.0,40.0,58.0,6.0,4.0,84.0,288.0
Rangpur,2023-03-12,2023,3,12,26.0,57.6,1013.8,9.0,110.0,4.0,37.0,44.0,63.0,5.0,7.0,77.0,331.0
Rangpur,2023-03-13,2023,3,13,25.7,66.9,1012.1,9.0,126.0,4.0,38.0,44.0,64.0,3.0,7.0,71.0,344.0
Rangpur,2023-03-14,2023,3,14,26.2,64.4,1009.6,8.0,141.0,5.0,49.0,57.0,82.0,5.0,8.0,78.0,421.0
Rangpur,2023-03-15,2023,3,15,24.9,75.2,1009.5,9.0,154.0,5.0,54.0,64.0,92.0,3.0,4.0,34.0,224.0
Rangpur,2023-03-16,2023,3,16,22.9,79.5,1012.6,9.0,155.0,5.0,62.0,73.0,105.0,5.0,4.0,90.0,379.0
Rangpur,2023-03-17,2023,3,17,24.2,76.1,1013.2,7.0,160.0,5.0,66.0,77.0,112.0,4.0,5.0,84.0,401.0
Rangpur,2023-03-18,2023,3,18,24.6,77.2,1011.7,9.0,168.0,6.0,70.0,82.0,119.0,3.0,6.0,79.0,441.0
Rangpur,2023-03-19,2023,3,19,21.7,89.3,1010.8,5.0,154.0,5.0,46.0,54.0,78.0,1.0,3.0,86.0,354.0
Rangpur,2023-03-20,2023,3,20,20.7,91.7,1009.7,4.0,100.0,4.0,15.0,18.0,26.0,1.0,3.0,77.0,326.0
Rangpur,2023-03-21,2023,3,21,22.4,84.2,1009.5,7.0,68.0,3.0,23.0,27.0,39.0,2.0,4.0,76.0,320.0
Rangpur,2023-03-22,2023,3,22,23.8,76.1,1008.1,9.0,103.0,4.0,37.0,43.0,62.0,2.0,5.0,80.0,346.0
Rangpur,2023-03-23,2023,3,23,24.4,72.0,1008.1,8.0,129.0,4.0,37.0,43.0,62.0,6.0,6.0,86.0,393.0
Rangpur,2023-03-24,2023,3,24,24.1,78.8,1010.3,8.0,118.0,4.0,40.0,47.0,67.0,5.0,4.0,83.0,336.0
Rangpur,2023-03-25,2023,3,25,24.8,77.1,1011.1,9.0,127.0,4.0,42.0,49.0,71.0,5.0,3.0,87.0,293.0
Rangpur,2023-03-26,2023,3,26,26.5,72.8,1008.1,8.0,144.0,5.0,45.0,53.0,77.0,6.0,5.0,84.0,319.0
Rangpur,2023-03-27,2023,3,27,26.7,63.6,1007.4,9.0,133.0,5.0,34.0,41.0,59.0,7.0,8.0,71.0,319.0
Rangpur,2023-03-28,2023,3,28,26.3,61.3,1008.5,9.0,122.0,4.0,39.0,46.0,67.0,8.0,7.0,79.0,313.0
Rangpur,2023-03-29,2023,3,29,25.8,67.5,1010.3,9.0,120.0,4.0,37.0,44.0,64.0,5.0,8.0,75.0,315.0
Rangpur,2023-03-30,2023,3,30,25.2,75.3,1009.4,8.0,126.0,4.0,41.0,49.0,71.0,3.0,4.0,79.0,273.0
Rangpur,2023-03-31,2023,3,31,24.8,81.1,1010.0,8.0,135.0,4.0,42.0,50.0,73.0,3.0,4.0,81.0,277.0
Rangpur,2023-04-01,2023,4,1,23.9,80.0,1009.0,8.0,130.0,4.0,35.0,42.0,60.0,2.0,4.0,82.0,286.0
Rangpur,2023-04-02,2023,4,2,23.3,80.7,1007.1,8.0,111.0,4.0,36.0,43.0,62.0,4.0,5.0,84.0,285.0
Rangpur,2023-04-03,2023,4,3,25.6,70.8,1006.5,9.0,122.0,4.0,35.0,41.0,59.0,5.0,6.0,85.0,309.0
Rangpur,2023-04-04,2023,4,4,25.5,77.3,1007.2,9.0,111.0,4.0,32.0,38.0,54.0,6.0,7.0,85.0,305.0
Rangpur,2023-04-05,2023,4,5,26.1,72.8,1006.9,9.0,101.0,4.0,29.0,35.0,51.0,4.0,6.0,81.0,282.0
