district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Sherpur,2023-03-01,2023,3,1,24.5,67.4,1017.2,9.0,155.0,5.0,52.0,62.0,91.0,6.0,23.0,70.0,407.0
Sherpur,2023-03-02,2023,3,2,24.7,69.9,1016.7,8.0,154.0,5.0,53.0,63.0,92.0,7.0,21.0,73.0,391.0
Sherpur,2023-03-03,2023,3,3,24.9,71.3,1016.4,9.0,153.0,5.0,48.0,57.0,84.0,7.0,18.0,76.0,391.0
Sherpur,2023-03-04,2023,3,4,25.3,71.2,1016.1,8.0,154.0,5.0,61.0,73.0,106.0,7.0,21.0,78.0,446.0
Sherpur,2023-03-05,2023,3,5,25.7,72.0,1014.9,8.0,161.0,5.0,66.0,78.0,113.0,7.0,14.0,85.0,415.0
Sherpur,2023-03-06,2023,3,6,24.9,65.3,1013.9,9.0,163.0,6.0,55.0,64.0,93.0,8.0,19.0,71.0,424.0
Sherpur,2023-03-07,2023,3,7,24.3,60.7,1014.7,9.0,140.0,5.0,40.0,46.0,67.0,8.0,10.0,72.0,300.0
Sherpur,2023-03-08,2023,3,8,24.8,62.4,1015.8,9.0,125.0,4.0,38.0,44.0,64.0,6.0,25.0,61.0,313.0
Sherpur,2023-03-09,2023,3,9,24.8,64.7,1014.7,9.0,120.0,4.0,44.0,52.0,74.0,7.0,16.0,72.0,357.0
Sherpur,2023-03-10,2023,3,10,24.6,67.8,1014.1,8.0,143.0,5.0,40.0,47.0,67.0,6.0,12.0,78.0,348.0
Sherpur,2023-03-11,2023,3,11,25.3,64.8,1014.3,9.0,138.0,5.0,48.0,56.0,81.0,7.0,12.0,79.0,362.0
Sherpur,2023-03-12,2023,3,12,25.5,64.1,1013.8,9.0,146.0,5.0,47.0,55.0,78.0,9.0,9.0,83.0,323.0
Sherpur,2023-03-13,2023,3,13,25.9,65.3,1011.9,9.0,152.0,5.0,48.0,56.0,80.0,6.0,9.0,77.0,321.0
Sherpur,2023-03-14,2023,3,14,25.7,72.3,1009.8,8.0,155.0,5.0,60.0,71.0,101.0,11.0,9.0,95.0,423.0
Sherpur,2023-03-15,2023,3,15,25.6,76.0,1009.2,9.0,158.0,5.0,59.0,69.0,100.0,5.0,3.0,46.0,209.0
Sherpur,2023-03-16,2023,3,16,24.0,81.1,1012.2,9.0,157.0,5.0,64.0,75.0,108.0,7.0,5.0,88.0,389.0
Sherpur,2023-03-17,2023,3,17,23.8,86.0,1012.9,5.0,167.0,6.0,82.0,96.0,139.0,4.0,7.0,80.0,443.0
Sherpur,2023-03-18,2023,3,18,24.8,79.3,1011.3,9.0,175.0,6.0,80.0,94.0,136.0,6.0,7.0,82.0,443.0
Sherpur,2023-03-19,2023,3,19,22.5,88.0,1010.6,4.0,156.0,5.0,42.0,50.0,71.0,2.0,6.0,82.0,351.0
Sherpur,2023-03-20,2023,3,20,22.0,87.5,1009.2,6.0,86.0,3.0,13.0,15.0,22.0,1.0,3.0,72.0,263.0
Sherpur,2023-03-21,2023,3,21,23.1,83.6,1009.5,7.0,71.0,3.0,28.0,33.0,47.0,4.0,6.0,80.0,285.0
Sherpur,2023-03-22,2023,3,22,24.5,78.1,1008.5,9.0,116.0,4.0,41.0,48.0,69.0,6.0,6.0,82.0,306.0
Sherpur,2023-03-23,2023,3,23,25.4,70.6,1008.3,9.0,134.0,4.0,40.0,47.0,67.0,7.0,10.0,82.0,385.0
Sherpur,2023-03-24,2023,3,24,25.0,76.7,1009.8,9.0,134.0,4.0,44.0,52.0,74.0,7.0,10.0,74.0,373.0
Sherpur,2023-03-25,2023,3,25,26.0,79.6,1010.5,9.0,146.0,5.0,51.0,60.0,86.0,7.0,7.0,88.0,334.0
Sherpur,2023-03-26,2023,3,26,27.0,74.1,1008.2,9.0,154.0,5.0,53.0,62.0,90.0,8.0,7.0,84.0,328.0
Sherpur,2023-03-27,2023,3,27,27.0,68.3,1008.0,9.0,154.0,5.0,48.0,57.0,83.0,15.0,6.0,81.0,301.0
Sherpur,2023-03-28,2023,3,28,27.2,67.3,1008.7,9.0,146.0,5.0,44.0,52.0,76.0,9.0,9.0,87.0,301.0
Sherpur,2023-03-29,2023,3,29,25.9,74.0,1010.4,9.0,142.0,5.0,45.0,53.0,77.0,6.0,7.0,77.0,326.0
Sherpur,2023-03-30,2023,3,30,25.4,82.7,1009.1,8.0,133.0,4.0,42.0,50.0,73.0,3.0,6.0,71.0,286.0
Sherpur,2023-03-31,2023,3,31,23.6,84.9,1009.7,7.0,138.0,5.0,44.0,52.0,76.0,4.0,6.0,80.0,278.0
Sherpur,2023-04-01,2023,4,1,24.2,82.8,1008.9,7.0,139.0,5.0,39.0,46.0,67.0,3.0,4.0,91.0,267.0
Sherpur,2023-04-02,2023,4,2,24.5,74.3,1007.2,9.0,120.0,4.0,36.0,43.0,62.0,5.0,4.0,87.0,291.0
Sherpur,2023-04-03,2023,4,3,26.3,67.1,1006.8,9.0,124.0,4.0,35.0,42.0,61.0,7.0,6.0,85.0,276.0
Sherpur,2023-04-04,2023,4,4,27.0,69.9,1007.0,9.0,111.0,4.0,31.0,37.0,54.0,7.0,10.0,75.0,279.0
Sherpur,2023-04-05,2023,4,5,27.7,69.2,1006.7,10.0,102.0,4.0,31.0,38.0,56.0,6.0,9.0,70.0,279.0
Sherpur,2023-04-06,2023,4,6,26.8,69.7,1009.8,10.0,117.0,4.0,39.0,46.0,67.0,6.0,8.0,70.0,276.0
Sherpur,2023-04-07,2023,4,7,27.1,64.3,1011.1,10.0,135.0,4.0,47.0,55.0,80.0,8.0,9.0,100.0,348.0
