district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Sunamganj,2023-03-01,2023,3,1,21.0,71.9,1017.5,8.0,89.0,4.0,30.0,36.0,52.0,4.0,2.0,83.0,269.0
Sunamganj,2023-03-02,2023,3,2,21.7,72.2,1016.9,8.0,98.0,4.0,30.0,36.0,52.0,4.0,2.0,78.0,274.0
Sunamganj,2023-03-03,2023,3,3,22.5,75.6,1016.8,8.0,106.0,4.0,32.0,39.0,57.0,4.0,2.0,73.0,284.0
Sunamganj,2023-03-04,2023,3,4,23.4,71.1,1016.4,8.0,111.0,4.0,36.0,43.0,62.0,3.0,3.0,66.0,294.0
Sunamganj,2023-03-05,2023,3,5,23.7,73.8,1015.1,8.0,120.0,4.0,35.0,42.0,61.0,2.0,2.0,67.0,283.0
Sunamganj,2023-03-06,2023,3,6,23.7,73.1,1014.1,8.0,115.0,4.0,30.0,36.0,52.0,3.0,1.0,83.0,275.0
Sunamganj,2023-03-07,2023,3,7,22.6,68.5,1015.0,9.0,85.0,4.0,18.0,21.0,30.0,4.0,1.0,81.0,204.0
Sunamganj,2023-03-08,2023,3,8,23.0,66.1,1015.5,9.0,67.0,2.0,17.0,20.0,28.0,3.0,1.0,69.0,199.0
Sunamganj,2023-03-09,2023,3,9,23.4,69.0,1014.1,9.0,87.0,4.0,36.0,42.0,61.0,5.0,2.0,77.0,303.0
Sunamganj,2023-03-10,2023,3,10,22.6,72.3,1013.9,8.0,118.0,4.0,29.0,34.0,49.0,2.0,2.0,69.0,269.0
Sunamganj,2023-03-11,2023,3,11,23.6,72.4,1014.2,8.0,91.0,4.0,28.0,33.0,47.0,2.0,1.0,70.0,257.0
Sunamganj,2023-03-12,2023,3,12,23.2,73.1,1013.3,8.0,95.0,4.0,28.0,32.0,46.0,3.0,1.0,76.0,247.0
Sunamganj,2023-03-13,2023,3,13,24.3,66.9,1011.6,9.0,111.0,4.0,40.0,47.0,67.0,2.0,2.0,78.0,301.0
Sunamganj,2023-03-14,2023,3,14,24.0,71.3,1010.4,8.0,145.0,5.0,63.0,73.0,105.0,4.0,4.0,77.0,477.0
Sunamganj,2023-03-15,2023,3,15,22.3,78.3,1010.9,8.0,162.0,6.0,59.0,69.0,99.0,3.0,2.0,36.0,266.0
Sunamganj,2023-03-16,2023,3,16,22.1,79.3,1013.1,9.0,156.0,5.0,60.0,71.0,102.0,5.0,3.0,87.0,381.0
