district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Sylhet,2023-03-01,2023,3,1,22.0,68.8,1017.6,8.0,135.0,5.0,39.0,46.0,66.0,5.0,15.0,66.0,380.0
Sylhet,2023-03-02,2023,3,2,22.4,70.7,1017.0,8.0,133.0,4.0,45.0,53.0,77.0,6.0,16.0,74.0,415.0
Sylhet,2023-03-03,2023,3,3,22.5,73.6,1016.9,8.0,144.0,5.0,43.0,51.0,74.0,5.0,15.0,70.0,408.0
Sylhet,2023-03-04,2023,3,4,23.9,67.9,1016.5,8.0,148.0,5.0,54.0,64.0,93.0,4.0,16.0,70.0,413.0
Sylhet,2023-03-05,2023,3,5,24.4,69.8,1015.2,9.0,155.0,5.0,50.0,59.0,86.0,4.0,16.0,73.0,390.0
Sylhet,2023-03-06,2023,3,6,24.6,70.1,1014.1,8.0,151.0,5.0,47.0,56.0,81.0,5.0,15.0,78.0,401.0
Sylhet,2023-03-07,2023,3,7,23.2,66.8,1015.1,9.0,142.0,5.0,38.0,45.0,65.0,5.0,15.0,78.0,362.0
Sylhet,2023-03-08,2023,3,8,23.6,65.8,1015.5,8.0,110.0,4.0,32.0,37.0,54.0,4.0,16.0,63.0,331.0
Sylhet,2023-03-09,2023,3,9,24.5,65.9,1014.1,8.0,117.0,4.0,43.0,50.0,72.0,5.0,22.0,66.0,376.0
Sylhet,2023-03-10,2023,3,10,23.5,72.0,1014.0,8.0,147.0,5.0,43.0,50.0,72.0,6.0,21.0,61.0,386.0
Sylhet,2023-03-11,2023,3,11,24.4,70.3,1014.2,8.0,125.0,4.0,39.0,46.0,66.0,5.0,16.0,70.0,359.0
Sylhet,2023-03-12,2023,3,12,23.9,68.7,1013.6,9.0,133.0,4.0,43.0,51.0,72.0,5.0,16.0,73.0,366.0
Sylhet,2023-03-13,2023,3,13,25.2,63.0,1011.5,9.0,145.0,5.0,49.0,58.0,83.0,4.0,15.0,77.0,394.0
Sylhet,2023-03-14,2023,3,14,24.4,70.2,1010.3,9.0,153.0,5.0,53.0,62.0,88.0,4.0,17.0,76.0,432.0
Sylhet,2023-03-15,2023,3,15,23.0,75.7,1010.9,8.0,153.0,5.0,53.0,63.0,90.0,2.0,9.0,29.0,214.0
Sylhet,2023-03-16,2023,3,16,23.0,76.3,1013.1,8.0,156.0,5.0,62.0,73.0,105.0,6.0,14.0,80.0,381.0
Sylhet,2023-03-17,2023,3,17,22.4,75.9,1013.6,6.0,161.0,6.0,61.0,72.0,104.0,5.0,16.0,67.0,430.0
Sylhet,2023-03-18,2023,3,18,22.6,74.9,1011.2,8.0,159.0,5.0,59.0,70.0,101.0,5.0,14.0,81.0,394.0
Sylhet,2023-03-19,2023,3,19,19.3,90.8,1011.5,2.0,157.0,5.0,51.0,60.0,87.0,4.0,15.0,59.0,420.0
Sylhet,2023-03-20,2023,3,20,20.3,90.0,1010.3,7.0,120.0,4.0,28.0,33.0,47.0,1.0,9.0,64.0,347.0
Sylhet,2023-03-21,2023,3,21,20.8,88.1,1010.8,4.0,70.0,3.0,12.0,15.0,21.0,1.0,8.0,60.0,229.0
Sylhet,2023-03-22,2023,3,22,21.5,84.1,1009.9,6.0,68.0,3.0,21.0,25.0,36.0,1.0,8.0,80.0,245.0
Sylhet,2023-03-23,2023,3,23,21.8,82.6,1009.7,8.0,89.0,4.0,32.0,37.0,54.0,2.0,12.0,85.0,303.0
Sylhet,2023-03-24,2023,3,24,23.4,81.1,1010.8,8.0,121.0,4.0,37.0,43.0,63.0,4.0,11.0,76.0,309.0
Sylhet,2023-03-25,2023,3,25,23.8,79.8,1011.5,8.0,122.0,4.0,40.0,47.0,68.0,5.0,15.0,69.0,321.0
Sylhet,2023-03-26,2023,3,26,24.8,79.8,1009.5,8.0,135.0,4.0,44.0,52.0,76.0,5.0,17.0,73.0,316.0
Sylhet,2023-03-27,2023,3,27,24.8,76.0,1009.1,8.0,145.0,5.0,43.0,51.0,74.0,4.0,15.0,74.0,329.0
Sylhet,2023-03-28,2023,3,28,25.2,74.8,1010.0,9.0,130.0,4.0,39.0,47.0,69.0,4.0,12.0,85.0,284.0
Sylhet,2023-03-29,2023,3,29,22.7,81.1,1012.0,8.0,137.0,4.0,45.0,54.0,79.0,4.0,14.0,73.0,316.0
Sylhet,2023-03-30,2023,3,30,23.9,78.1,1010.1,8.0,146.0,5.0,42.0,50.0,73.0,4.0,13.0,79.0,308.0
Sylhet,2023-03-31,2023,3,31,24.3,77.1,1010.5,9.0,129.0,4.0,41.0,49.0,72.0,3.0,15.0,77.0,292.0
Sylhet,2023-04-01,2023,4,1,22.9,86.7,1009.4,7.0,133.0,4.0,33.0,39.0,57.0,2.0,15.0,72.0,297.0
Sylhet,2023-04-02,2023,4,2,22.3,83.8,1008.4,7.0,84.0,4.0,22.0,25.0,37.0,2.0,7.0,88.0,252.0
Sylhet,2023-04-03,2023,4,3,22.2,85.0,1008.5,6.0,83.0,4.0,24.0,28.0,41.0,2.0,9.0,85.0,247.0
Sylhet,2023-04-04,2023,4,4,24.2,81.8,1008.7,8.0,95.0,4.0,31.0,37.0,55.0,4.0,10.0,77.0,258.0
Sylhet,2023-04-05,2023,4,5,22.6,89.3,1008.7,5.0,96.0,4.0,23.0,27.0,40.0,2.0,8.0,71.0,226.0
Sylhet,2023-04-06,2023,4,6,25.3,80.2,1011.1,8.0,84.0,4.0,27.0,33.0,48.0,2.0,10.0,70.0,244.0
Sylhet,2023-04-07,2023,4,7,25.9,69.2,1012.2,10.0,106.0,4.0,32.0,38.0,55.0,4.0,14.0,70.0,338.0
Sylhet,2023-04-08,2023,4,8,26.2,70.9,1013.1,9.0,101.0,4.0,28.0,33.0,48.0,4.0,15.0,72.0,345.0
Sylhet,2023-04-09,2023,4,9,26.6,70.9,1012.5,10.0,97.0,4.0,31.0,36.0,52.0,6.0,15.0,76.0,366.0
Sylhet,2023-04-10,2023,4,10,27.1,68.3,1010.8,9.0,114.0,4.0,42.0,50.0,71.0,7.0,18.0,93.0,422.0
Sylhet,2023-04-11,2023,4,11,27.4,64.8,1010.4,10.0,140.0,5.0,40.0,47.0,67.0,7.0,13.0,90.0,381.0
Sylhet,2023-04-12,2023,4,12,26.9,65.1,1009.3,10.0,131.0,4.0,40.0,47.0,67.0,6.0,13.0,85.0,365.0
Sylhet,2023-04-13,2023,4,13,27.0,66.6,1008.1,10.0,137.0,5.0,43.0,50.0,72.0,6.0,12.0,89.0,404.0
Sylhet,2023-04-14,2023,4,14,27.9,71.0,1008.0,9.0,124.0,4.0,39.0,46.0,66.0,6.0,12.0,91.0,395.0
Sylhet,2023-04-15,2023,4,15,28.6,75.8,1007.6,8.0,127.0,4.0,37.0,44.0,63.0,6.0,15.0,82.0,384.0
Sylhet,2023-04-16,2023,4,16,29.0,70.7,1006.0,9.0,124.0,4.0,42.0,49.0,71.0,6.0,15.0,88.0,394.0
Sylhet,2023-04-17,2023,4,17,29.1,76.4,1007.0,9.0,145.0,5.0,52.0,62.0,89.0,6.0,10.0,104.0,390.0
Sylhet,2023-04-18,2023,4,18,28.5,77.2,1008.6,8.0,156.0,5.0,52.0,62.0,90.0,4.0,11.0,95.0,372.0
Sylhet,2023-04-19,2023,4,19,29.5,75.4,1004.8,8.0,151.0,5.0,46.0,55.0,80.0,4.0,14.0,94.0,382.0
Sylhet,2023-04-20,2023,4,20,27.6,77.9,1002.9,8.0,142.0,5.0,41.0,49.0,72.0,4.0,11.0,82.0,325.0
Sylhet,2023-04-21,2023,4,21,24.6,84.7,1004.5,7.0,130.0,4.0,37.0,45.0,68.0,3.0,10.0,73.0,286.0
Sylhet,2023-04-22,2023,4,22,26.4,73.1,1005.3,9.0,116.0,4.0,36.0,44.0,65.0,4.0,10.0,83.0,277.0
Sylhet,2023-04-23,2023,4,23,23.9,80.1,1008.8,5.0,123.0,4.0,39.0,46.0,68.0,5.0,16.0,71.0,326.0
Sylhet,2023-04-24,2023,4,24,25.9,69.7,1011.0,9.0,135.0,4.0,38.0,46.0,66.0,4.0,18.0,71.0,342.0
Sylhet,2023-04-25,2023,4,25,27.6,66.9,1010.2,9.0,118.0,4.0,34.0,39.0,57.0,4.0,16.0,79.0,354.0
Sylhet,2023-04-26,2023,4,26,27.3,69.6,1008.8,9.0,107.0,4.0,33.0,39.0,55.0,4.0,16.0,78.0,360.0
Sylhet,2023-04-27,2023,4,27,27.5,71.6,1008.9,9.0,117.0,4.0,41.0,48.0,69.0,6.0,16.0,89.0,401.0
Sylhet,2023-04-28,2023,4,28,26.7,74.5,1009.5,9.0,147.0,5.0,51.0,60.0,86.0,7.0,18.0,91.0,405.0
Sylhet,2023-04-29,2023,4,29,27.4,72.7,1008.7,9.0,151.0,5.0,47.0,56.0,80.0,8.0,14.0,96.0,399.0
Sylhet,2023-04-30,2023,4,30,26.9,76.5,1007.7,8.0,150.0,5.0,46.0,55.0,79.0,6.0,12.0,100.0,337.0
Sylhet,2023-05-01,2023,5,1,28.1,73.5,1008.3,7.0,134.0,4.0,34.0,41.0,58.0,4.0,10.0,81.0,290.0
Sylhet,2023-05-02,2023,5,2,28.2,69.5,1009.2,9.0,112.0,4.0,34.0,40.0,58.0,3.0,10.0,85.0,267.0
