exp no,Run,Source Report,Infill Density (%),Nozzle Temperature (C),Infill Pattern,Force,Area,Tensile Stress
1,1,Plan pokusa 6.11.2024 (First messurment),60,260,Triangle-Hexa,154.673,12,12.88941667
2,1,Plan pokusa 15.11.2024 (Second messurment),60,260,Triangle-Hexa,171.871,12,14.32258333
3,1,Plan pokusa 26.11.2024 (Third messurment),60,260,Triangle-Hexa,193.127,12,16.09391667
4,2,Plan pokusa 6.11.2024 (First messurment),45.8579,254.142,Grid,143.768,12,11.98066667
5,2,Plan pokusa 15.11.2024 (Second messurment),45.8579,254.142,Grid,149.113,12,12.42608333
6,2,Plan pokusa 26.11.2024 (Third messurment),45.8579,254.142,Grid,155.633,12,12.96941667
7,3,Plan pokusa 6.11.2024 (First messurment),60,240,Triangle,152.316,12,12.693
8,3,Plan pokusa 15.11.2024 (Second messurment),60,240,Triangle,152.053,12,12.67108333
9,3,Plan pokusa 26.11.2024 (Third messurment),60,240,Triangle,151.978,12,12.66483333
10,4,Plan pokusa 6.11.2024 (First messurment),74.1421,225.858,Grid,160.729,12,13.39408333
11,4,Plan pokusa 15.11.2024 (Second messurment),74.1421,225.858,Grid,164.429,12,13.70241667
12,4,Plan pokusa 26.11.2024 (Third messurment),74.1421,225.858,Grid,166.942,12,13.91183333
13,5,Plan pokusa 6.11.2024 (First messurment),45.8579,222.858,Triangle-Hexa,129.477,12,10.78975
14,5,Plan pokusa 15.11.2024 (Second messurment),45.8579,222.858,Triangle-Hexa,132.397,12,11.03308333
15,5,Plan pokusa 26.11.2024 (Third messurment),45.8579,222.858,Triangle-Hexa,137.103,12,11.42525
16,6,Plan pokusa 6.11.2024 (First messurment),60,240,Grid,158.974,12,13.24783333
17,6,Plan pokusa 15.11.2024 (Second messurment),60,240,Grid,166.273,12,13.85608333
18,6,Plan pokusa 26.11.2024 (Third messurment),60,240,Grid,176.708,12,14.72566667
19,7,Plan pokusa 6.11.2024 (First messurment),45.8579,225.858,Triangle,112.025,12,9.335416667
20,7,Plan pokusa 15.11.2024 (Second messurment),45.8579,225.858,Triangle,115.697,12,9.641416667
21,7,Plan pokusa 26.11.2024 (Third messurment),45.8579,225.858,Triangle,121.368,12,10.114
22,8,Plan pokusa 6.11.2024 (First messurment),40,240,Triangle-Hexa,143.239,12,11.93658333
23,8,Plan pokusa 15.11.2024 (Second messurment),40,240,Triangle-Hexa,127.886,12,10.65716667
24,8,Plan pokusa 26.11.2024 (Third messurment),40,240,Triangle-Hexa,114.096,12,9.508
25,9,Plan pokusa 6.11.2024 (First messurment),74.1421,254.142,Triangle,259.452,12,21.621
26,9,Plan pokusa 15.11.2024 (Second messurment),74.1421,254.142,Triangle,186.226,12,15.51883333
27,9,Plan pokusa 26.11.2024 (Third messurment),74.1421,254.142,Triangle,191.919,12,15.99325
28,10,Plan pokusa 6.11.2024 (First messurment),60,240,Triangle-Hexa,132.031,12,11.00258333
29,10,Plan pokusa 15.11.2024 (Second messurment),60,240,Triangle-Hexa,151.049,12,12.58741667
30,10,Plan pokusa 26.11.2024 (Third messurment),60,240,Triangle-Hexa,171.97,12,14.33083333
31,11,Plan pokusa 6.11.2024 (First messurment),74.1421,254.142,Triangle-Hexa,175.571,12,14.63091667
32,11,Plan pokusa 15.11.2024 (Second messurment),74.1421,254.142,Triangle-Hexa,202.747,12,16.89558333
33,11,Plan pokusa 26.11.2024 (Third messurment),74.1421,254.142,Triangle-Hexa,231.376,12,19.28133333
34,12,Plan pokusa 6.11.2024 (First messurment),40,240,Triangle,111.334,12,9.277833333
