iter	RMSE
0	2.598802198
1	2.550564333
2	2.567317065
3	2.534318473
4	2.490724886
5	2.45131607466	2.393584572
7	2.360936349
8	2.322524293
9	2.31986672
110	2.254028274
11	2.21873307
12	2.190379967
13	2.150610551
14	2.118001161
15	2.083386319
16	2.044372719
17	2.018914891
18	1.988855796
19	1.965235115
20	1.938814092
21	1.912476004
22	1.879624676
23	1.848562403
24	1.821118728
25	1.800071788
26	1.779992762
27	1.754856368
28	1.734316589
29	1.707305452
30	1.680151365
31	1.658454353
32	1.64245074
33	1.621857473
34	1.60363779
35	1.590974766
36	1.568782112
37	1.545918952
38	1.527644439
39	1.51284335
40	1.494537268
41	1.475183192
42	1.464224807
43	1.444206997
44	1.425487886
45	1.407394122
46	1.389071567
47	1.374274652
48	1.357305653
49	1.340506092
50	1.325142587
51	1.3128046952	1.283098766
53	1.270175979
54	1.255930838
55	1.239051166
56	1.227852523
57	1.217301636
58	1.20633352
59	1.191446418
60	1.178246193
61	1.166753394
62	1.156642772
63	1.144631946
64	1.132310632
65	1.120434443
66	1.109194921
67	1.09820929
68	1.087609505
69	1.075763037
70	1.065719871
71	1.056375796
72	1.053293424
73	1.042460689
74	1.033484723
75	1.024725053
76	1.012187556
77	1.001251155
78	0.9962543486
7979	1.003638544
80	0.9943180783
81	0.9865280835
82	0.977053913
83	0.9679075489
84	0.9576001183
85	0.9502212746
86	0.9426308597
87	0.9352968159
88	0.9275515553
89	0.9189482108
90	0.9093181647
91	0.8998996239
92	0.8925430532
93	0.8850123708
94	0.8787292273
95	0.870164901
96	0.8635266724
997	0.8356149309898	0.82879987699	0.8407488105
100	0.8353813086
101	0.8295998378
102	0.8229831358
103	0.8174053334
104	0.8134852764
105	0.807570591
106	0.8018336337
107	0.7971610807
108108	0.7678806109	109	0.7647766110	110	0.7596100111	111	0.7539586112	112	0.7484241102
113	0.7425439653
114	0.7361004115	115	0.7320479116	116	0.7275639117	117	0.7219270118	0.7481607363
119	0.7441816553
120	0.7403625611
121	0.7368530496
122	0.7310293242
123	0.7264769461
124	0.7230799034
125	0.72079412
126	0.7162974034
127	0.7124473754
128	0.7076474074
129	129	0.6708469006
130	0.6657919287
131	0.6625481595
132	0.6584495094
133	0.6551896914
134	0.65194392
135	0.6477278037
136	0.6448000172
137	0.6407821559
138	0.6383118615
139	0.6345461181
140	0.6316847172
141	0.6288576397
142	0.6254215696
143	0.6210227553
144	0.6185066829
145	0.616114224
146	0.6132818165
147	0.6103353535
148	0.6094869432
149	0.6066501099
150	0.6040973191
151	0.6015842283
152	0.5999852542
153	0.5979798119
154	0.5959910717
155	0.5927772458
156	0.5901109453
157	0.5886941391
158	0.5863284929
159	0.5832373064
160	0.5816284702
161	0.5800438047
162	0.5782790571
163	0.5760392142
164	0.5744711482
165	0.5733592089
166	0.5717703091
167	0.5697149327
168	0.5679791657
169	0.5658522214
170	0.5636525247
171	0.5605758101
172	0.5584523334
173	0.5570686326
174	0.5548633158
175	0.5529706873
176	0.5512797448
177	0.5492374252
178	0.5471658543
179	0.5450612047
180	0.542676207
181	0.54105988
182	0.5393192464
183	0.5368345851
184	0.5353441325
185	0.5330249904
186	0.5315037269
187	0.5298614746
188	0.5283231722
189	0.5267625795
190	0.5256179989
191	0.5246507725
192	0.5227242175
193	0.520871194	0.5562047605
195	0.554763706
196	0.5528727628
197	0.5513668949
198	0.5496645921
199	0.5478370665
200	0.5467354023
201	0.5454515874
202	0.544278614
203	0.5430758101
204	0.5418469248
205	0.5405271846
206	0.5393383344
207	0.5379159962
208	0.5370321045
209	0.5363483899
210	0.5352157269
211	0.5342778194
212	0.5334040862
213	0.5323065801
214	0.5311163305
215	0.5300282257
216	0.5286668421
217	217	0.5087070595
218	0.507705997
219	0.5069261023
220	0.5059137631
221	0.5049520889
222	0.5038909057
223	0.5029961381
224	0.5024602703
225	0.5014068576
226	0.5004450343
227	0.4995571089
228	0.4990560122229	0.498474346230	0.5173211398
231	0.5163383691
232	0.5156906299
233	0.5149914813
234	0.5142791478
235	0.5138261641
236	0.5128410806
237	0.5121911147
238	0.5114012152
239	0.5107632564
240	0.5100371504
241	0.5093483791
242	0.5087446887
243	0.5081043558
244	0.5074307294
245	0.5068962281
246	0.5061812002
247247	0.4750767092
248	0.4747156891
249	0.4741513158
250	0.4737006165
251	0.4731755362
252	0.4727735522
253	0.4722431033
254	0.4717713485
255	0.471286977
256	0.4709259164
257	0.47052017
258	0.4699092192
259	0.4696904462
260	0.469099895
261	0.468814787
262	0.4684273777
263	0.4681391804
264	0.4677248184
265	0.4674037304
266	0.4669475029
267	0.466548298
268	0.4662507111
269	0.4656374967
270	0.4651928094
271	0.4648698688
272	0.4643222804
273	0.4640682097
274	0.4637335395
275	0.4633593267
276	0.4629904143
277	0.4626852253
278	0.4624877202
279	0.4621885147
280	0.4619409619
281	0.4614689067
282	0.4612032516
283	0.4608191886
284	0.4605089816
285	0.4602326561
286	0.4599966142
287	0.4598508474
288	0.4595069681
289	0.4593691638
290	0.4592059509
291	0.4588648262
292	0.4586249262
293	0.4583996506
294	0.458098892
295	0.4578791427
296	0.4576208367
297	0.4573350459
298	0.4571214884
299	0.4568683624
300	0.4567726043
301	0.456431181
302	0.4562049473
303	0.4560141963
304	0.4558054893
305	0.4556346249
306	0.4554744891
307	0.4552945845
308	0.4550597496
309	0.4549516649
310	0.4547519865
311	0.4546465815
312	0.4544974584
313	0.4543011032
314	0.4541303221
315	0.4539021257
316	0.453714526
317	0.4535301795
318	0.4533642041
319	0.4531661092
320	0.4530267557
321	0.4527836644
322	0.4526330775
323	0.4524246218
324	0.452246283
325	0.4520811481
326	0.4518361226
327	0.451677132
328	0.4515370906
329	0.4513877054
330	0.4512539689
331	0.4510902916
332	0.4509776568
333	0.4508306814
334	0.450631505
335	0.450505082
336	0.4503742507
337	0.4502383623
338	0.4501336859
339	0.4500163406
340	0.4499222418
341	0.4497895634
342	0.449703209
343	0.449589737
344	0.4494586613
345	0.4493603582
346	0.449265244
347	0.4491361431
348	0.4490562793
349	0.4489657013
350	0.448915655
351	0.4488109873
352	0.4487902229
353	0.4486985762
354	0.4486004047
355	0.4485188812
356	0.4484490905
357	0.4483303107
358	0.4481656681
359	0.4480897916
360	0.4480191796
361	0.4479459177
362	0.4478797067
363	0.4477868636
364	0.4477082098
365	0.4476402278
366	0.447565817
367	0.4474352598
368	0.4474036411
369	0.4473206769
370	0.4472553415
371	0.4471947372
372	0.4471537355
373	0.4470170781
374	0.4469632654
375	0.4468968304
376	0.4468081498
377	0.4467665721
378	0.446730544
379	0.4466573944
380	0.4466324277
381	0.4465571299
382	0.4465383499
383	0.4465105448
384	0.4464606871
385	0.4463954759
386	0.4463645764
387	0.4463200339
388	0.4462500021
389	0.4461972768
390	0.4461433106
391	0.4460957949
392	0.446049243
393	0.44599826
394	0.445967429
395	0.4459073635
396	0.4458321616
397	0.4457661013
398	0.4457315599
399	0.4456830345
400	0.4456439833
401	0.4456034639
402	0.4455608643
403	0.4455116215
404	0.4454417661
405	0.4453966269
406	0.445353439
407	0.4453356931
408	0.4452922473
409	0.4452618772
410	0.4451791628
411	0.445146313
412	0.4450873102
413	0.4450319611
414	0.4449973066
415	0.4449422722
416	0.4449055416
417	0.4448715717
418	0.4448363904
419	0.4447600647
420	0.4447006007
421	0.4446763599
422	0.4446502054
423	0.4446147737
424	0.4445889847
425	0.4445560721
426	0.4445131104
427	0.4444953885
428	0.4444539913
429	0.4444354726
430	0.4444203846
431	0.4444068893
432	0.444354369
433	0.4443144815
434	0.4442523072
435	0.4442133849
436	0.4441850947
437	0.4441563722
438	0.4441422526
439	0.444110135
440	0.4440812256
441	0.4440591992
442	0.4440138561
443	0.4439501279
444	0.4439151306
445	0.4438831471
446	0.4438278134
447	0.4437945642
448	0.4437653175
449	0.4437373906
450	0.4437170941
451	0.4436932319
452	0.4436784329
453	0.4436606897
454	0.4436210573
455	0.4435917238
456	0.4435496992
457	0.4435256955
458	0.4435033801
459	0.4434771365
460	0.4434507459
461	0.4434163612
462	0.4433963447
463	0.443378242
464	0.4433619648
465	0.4433378633
466	0.4433201859
467	0.4433070362
468	0.4432640694
469	0.4432556425
470	0.4432235245
471	0.443193436
472	0.4431664805
473	0.4431572577
474	0.4431335431
475	0.4431118071
476	0.4430960109
477	0.4430768807
478	0.4430495198
479	0.4430378947
480	0.4430254818
481	0.4430023161
482	0.4429805759
483	0.4429523087
484	0.4429360907
485	0.4429199058
486	0.4428962878
487	0.4428876987
488	0.4428714297
489	0.4428524487
490	0.4428325939
491	0.4428129563
492	0.4428001482
493	0.442793245
494	0.4427620378
495	0.442741937
496	0.4427316673
497	0.4427127169
498	0.4426979284
499	0.4426812017
500	0.4426694215
501	0.4426583743
502	0.4426445434
503	0.4426343558
504	0.4426271607
505	0.4425969693
506	0.4425857386
507	0.4425766834
508	0.442567391
