iter	Passed	Remaining
0	0	350
1	0	291
2	0	270
3	1	258
4	1	252
5	1	247
6	1	242
7	1	238
8	2	248
9	3	339
10	3	328
11	4	396
12	5	387
13	5	374
14	5	362
15	5	353
16	6	355
17	6	347
18	6	340
19	6	334
20	7	328
21	7	323
22	7	318
23	7	313
24	7	309
25	8	304
26	8	301
27	8	298
28	8	294
29	8	290
30	9	288
31	9	285
32	9	283
33	9	280
34	10	277
35	10	275
36	10	272
37	10	269
38	10	267
39	11	265
40	11	262
41	11	260
42	11	258
43	11	257
44	12	255
45	12	253
46	12	251
47	12	250
48	12	248
49	12	246
50	13	245
51	13	244
5252	36	655
53	38	665
54	46	791
55	46	7856	25	422
57	25	418
58	26	414
59	26	410
60	26	407
61	26	403
62	26	400
63	27	396
64	27	393
65	27	389
66	27	388
67	29	411
68	30	407
69	30	406
70	30	403
71	31	400
72	31	397
73	31	394
74	31	391
75	32	390
76	32	387
77	32	384
78	32	381
79	32	379
80	33	376
81	33	373
82	33	371
83	33	368
84	34	366
85	34	364
86	34	361
87	34	359
88	35	361
89	35	359
90	35	357
91	36	356
92	36	355
9393	68	659
94	68	656
95	69	651
96	74	696
97	75	690
98	75	685
99	75	679
100	75	674
101	75	668
102	76	663
103	76	658
104	76	653
105	76	647
106	77	642
107	77	637
108	77	632
109	77	628
110	77	623
111	78	619
112	78	614
113	78	610
114	78	605
115	78	601
116	79	597
117	82	620
118	83	616
119	83	612
120	83	608
121	84	604
122	84	600
123	84	596
124	84	592
125	84	588
126	85	585
127	86	589
128	87	589
129	87	585
130	87	581
131	87	578
132	88	574
133	88	570
134	88	567
135	88	563
136	88	560
137	89	557
138	89	553
139	89	550
140	89	547
141	90	544
142	90	541
143	90	538
144	90	535
145	90	532
146	91	529
147	91	526
148	91	523
149	91	520
150	92	517
151	109	609
152	117	651
153	120	662
154	120	659
155	121	655
156	121	652
157	121	648
158	121	645
159	122	641
160	122	637
161	122	634
162	123	631
163	123	629
164	123	626
165	123	622
166	124	619
167	124	615
168	124	612
169	124	609
170	124	605
171	125	602
172	125	599
173	125	596
174	125	593
175	126	590
176	126	587
177	126	584
178	126	582
179	127	579
180	127	578
181	128	576
182	128	573
183	128	570
184	128	567
185	129	565
186	129	562
187	129	560
188	129	557
189	130	554
190	130	551
191	130	549
192	130	546
193	130	543
194	131	541
195	131	538
196	131	536
197	131	533
198	131	531
199	132	528
200	132	526
201	132	523
202	132	521
203	132	518
204	133	516
205	133	513
206	133	511
207	133	509
208	133	506
209	134	504
210	134	502
211	134	500
212	134	497
213	134	495
214	135	493
215	135	491
216	135	488
217	135	486
218	135	484
219	136	482
220	136	480
221	136	478
222	136	476
223	137	474
224	137	472
225	137	470
226	137	468
227	137	466
228	138	465
229	139	467
230	139	465
231	139	463
232	140	461
233	140	459
234	140	457
235	140	455
236	141	453
237	141	452
238	141	450
239	141	448
240	141	446
241	142	445
242	142	443
243	142	441
244	142	439
245	142	438
246	143	436
247	143	434
248	143	433
249	143	431
250	143	429
251	144	427
252	144	426
253	144	424
254	144	422
255	144	421
256	145	419
257	145	418
258	145	416
259	145	414
260	145	413
261	146	411
262	146	410
263	146	408
264	146	407
265	147	405
266	147	404
267	147	402
268	147	401
269	147	400
270	148	398
271	148	397
272	148	395
273	148	394
274	149	393
275	155	407
276	155	406
277	155	404
278	156	403
279	156	401
280	156	400
281	156	398
282	156	397
283	157	396
284	157	394
285	157	393
286	157	392
287	158	390
288	159	393
289	160	392
290	160	391
291	161	390
292	161	389
293	161	387
294	161	386
295	161	384
296	162	384
297	162	382
298	165	386
299	165	385
300	165	385
301	166	383
302	166	382
303	166	381
304	166	379
305	166	378
306	167	377
307	167	375
308	167	374
309	167	373
310	168	372
311	169	373
312	169	371
313	169	370
314	169	369
315	170	368
316	170	367
317	170	365
318	170	364
319	171	363
320	171	362
321	171	361
322	171	359
323	171	358
324	172	357
325	172	356
326	172	355
327	172	353
328	172	352
329	173	351
330	173	350
331	173	349
332	173	348
333	174	347
334	174	345
335	174	344
336	174	343
337	174	342
338	175	341
339	175	340
340	175	339
341	175	338
342	175	337
343	176	335
344	176	335
345	177	335
346	177	334
347	178	333
348	178	332
349	178	331
350	178	330
351	178	329
352	179	328
353	179	327
354	179	326
355	179	325
356	179	324
357	180	323
358	180	321
359	180	320
360	180	319
361	180	318
362	181	317
363	181	316
364	181	315
365	181	314
366	181	313
367	182	312
368	182	311
369	182	310
370	182	309
371	183	309
372	183	308
373	183	307
374	183	306
375	184	305
376	184	304
377	184	303
378	184	302
379	184	301
380	185	300
381	185	299
382	185	298
383	185	297
384	185	296
385	186	296
386	186	295
387	186	294
388	186	293
389	186	292
390	187	291
391	187	290
392	187	289
393	187	288
394	187	287
395	188	287
396	188	286
397	188	285
398	192	289
399	194	291
400	194	290
401	194	289
402	194	288
403	195	287
404	195	286
405	195	285
406	195	285
407	195	284
408	196	283
409	196	282
410	196	281
411	196	280
412	197	280
413	197	280
414	198	279
415	198	278
416	198	277
417	198	276
418	199	276
419	199	275
420	199	274
421	199	273
422	199	272
423	200	271
424	200	271
425	200	270
426	200	269
427	201	268
428	201	267
429	201	267
430	201	266
431	201	265
432	208	272
433	208	271
434	208	270
435	209	270
436	209	269
437	209	268
438	209	268
439	210	267
440	214	272
441	216	273
442	216	272
443	217	271
444	217	270
445	217	270
446	217	269
447	218	268
448	218	268
449	218	267
450	218	266
451	219	265
452	219	265
453	220	265
454	220	264
455	220	263
456	221	262
457	221	262
458	221	261
459	221	260
460	222	260
461	223	259
462	223	259
463	223	258
464	223	257
465	224	256
466	224	256
467	224	255
468	224	254
469	225	253
470	225	253
471	225	252
472	226	251
473	226	251
474	226	250
475	226	249
476	227	249
477	227	248
478	228	248
479	229	248
480	265	286
481	265	285
482	265	284
483	266	283
484	266	282
485	266	281
486	266	280
487	266	279
488	267	279
489	267	278
490	267	277
491	267	276
492	267	275
493	268	274
494	268	273
495	268	273
496	268	272
497	269	271
498	269	270
499	269	269
500	269	268
501	270	267
502	270	266
503	270	266
504	270	265
505	270	264
506	271	263
507	271	262
508	271	262
509	271	261
510	272	260
511	272	259
512	272	258
513	272	257
514	272	257
515	273	256
516	273	255
517	275	256
518	275	255
519	275	254
520	275	253
521	276	252
522	298	272
523	298	271
524	299	270
525	299	269
526	299	268
527	299	267
528	299	267
529	300	266
530	300	265
531	300	264
532	300	263
533	300	262
534	301	261
535	301	261
536	301	260
537	301	259
538	302	258
539	302	257
540	302	256
541	302	255
542	303	255
543	303	254
544	303	253
545	303	252
546	303	251
547	304	250
548	304	249
549	304	249
550	304	248
551	304	247
552	305	246
553	305	245
554	305	245
555	305	244
556	306	243
557	306	242
558	306	241
559	306	241
560	307	240
561	315	246
562	315	245
563	316	244
564	316	243
565	316	242
566	316	242
567	317	241
568	317	240
569	317	239
570	317	238
571	317	237
572	318	237
573	318	236
574	318	235
575	318	234
576	319	233
577	319	233
578	319	232
579	319	231
580	320	230
581	320	230
582	320	229
583	321	228
584	321	227
585	321	227
586	321	226
587	321	225
588	322	224
589	322	224
590	322	223
591	322	222
592	334	229
593	339	232
594	340	231
595	340	230
596	341	230
597	341	229
598	341	228
599	341	227
600	342	227
601	342	226
602	342	225
603	342	224
604	342	223
605	343	223
606	343	222
607	343	221
608	343	220
609	343	219
610	344	219
611	344	218
612	344	217
613	344	216
614	344	215
615	345	215
616	345	214
617	345	213
618	345	212
619	345	212
620	346	211
621	346	210
622	346	209
623	346	208
624	346	208
625	347	207
626	347	206
627	347	205
628	347	205
629	347	204
630	348	203
631	348	202
632	348	201
633	351	202
634	351	202
635	351	201
636	352	200
637	352	199
638	352	199
639	352	198
640	353	197
641	353	197
642	353	196
643	353	195
644	353	194
645	354	194
646	354	193
647	354	192
648	354	191
649	355	191
650	355	190
651	355	189
652	355	189
653	356	188
654	356	187
655	356	186
656	356	186
657	356	185
658	357	184
659	357	184
660	357	183
661	357	182
662	358	182
663	364	184
664	365	183
665	365	183
666	365	182
667	366	181
668	366	181
669	366	180
670	366	179
671	367	179
672	367	178
673	367	177
674	368	177
675	368	176
676	368	175
677	368	175
678	369	174
679	369	173
680	369	173
681	369	172
682	369	171
683	370	171
684	370	170
685	370	169
686	370	168
687	371	168
688	371	167
689	371	166
690	371	166
691	371	165
692	372	164
693	372	164
694	372	163
695	372	162
696	372	162
697	373	161
698	373	160
699	373	160
700	373	159
701	374	158
702	374	158
703	374	157
704	374	156
705	374	156
706	375	155
707	375	154
708	375	154
709	375	153
710	376	152
711	376	152
712	376	151
713	377	151
714	377	150
715	377	149
716	378	149
717	378	148
718	378	147
719	378	147
720	379	146
721	379	146
722	379	145
723	379	144
724	379	144
725	380	143
726	380	142
727	380	142
728	380	141
729	381	140
730	381	140
731	381	139
732	381	139
733	382	138
734	382	137
735	382	137
736	382	136
737	382	135
738	383	135
739	383	134
740	383	134
741	383	133
742	384	132
743	384	132
744	384	131
745	384	130
746	384	130
747	385	129
748	385	129
749	385	128
750	385	127
751	385	127
752	386	126
753	386	126
754	386	125
755	386	124
756	387	124
757	387	123
758	387	123
759	387	122
760	387	121
761	388	121
762	388	120
763	388	120
764	388	119
765	389	118
766	389	118
767	389	117
768	389	117
769	389	116
770	390	115
771	390	115
772	390	114
773	390	114
774	391	113
775	391	113
776	391	112
777	392	111
778	392	111
779	392	110
780	392	110
781	392	109
782	393	108
783	393	108
784	393	107
785	393	107
786	394	106
787	394	106
788	394	105
789	394	104
790	395	104
791	395	103
792	395	103
793	395	102
794	395	102
795	396	101
796	396	100
797	396	100
798	396	99
799	397	99
800	397	98
801	397	98
802	397	97
803	397	97
804	398	96
805	398	95
806	398	95
807	398	94
808	399	94
809	399	93
810	399	93
811	399	92
812	399	91
813	400	91
814	400	90
815	400	90
816	400	89
817	401	89
818	402	88
819	402	88
820	404	88
821	404	87
822	404	87
823	404	86
824	405	85
825	405	85
826	405	84
827	405	84
828	406	83
829	406	83
830	406	82
831	406	82
832	407	81
833	407	81
834	407	80
835	407	79
836	408	79
837	408	78
838	408	78
839	408	77
840	409	77
841	409	76
842	409	76
843	409	75
844	409	75
845	410	74
846	410	74
847	410	73
848	410	73
849	410	72
850	411	71
851	411	71
852	411	70
853	411	70
854	412	69
855	412	69
856	412	68
857	412	68
858	413	67
859	413	67
860	413	66
861	413	66
862	413	65
863	414	65
864	414	64
865	414	64
866	414	63
867	415	63
868	415	62
869	415	62
870	415	61
871	416	61
872	416	60
873	416	60
874	416	59
875	417	59
876	417	58
877	417	58
878	417	57
879	418	57
880	418	56
881	418	56
882	418	55
883	419	55
884	419	54
885	419	53
886	419	53
887	420	52
888	420	52
889	420	51
890	420	51
891	421	50
892	421	50
893	421	49
894	421	49
895	422	48
896	422	48
897	422	47
898	422	47
899	422	46
900	423	46
901	423	46
902	423	45
903	423	45
904	424	44
905	424	44
906	424	43
907	424	43
908	424	42
909	425	42
910	425	41
911	425	41
912	425	40
913	426	40
914	426	39
915	426	39
916	426	38
917	426	38
918	427	37
919	427	37
920	427	36
921	427	36
922	427	35
923	428	35
924	428	34
925	428	34
926	428	33
927	429	33
928	429	32
929	429	32
930	429	31
931	430	31
932	430	30
933	430	30
934	430	29
935	431	29
936	431	29
937	431	28
938	431	28
939	432	27
940	432	27
941	432	26
942	432	26
943	433	25
944	433	25
945	433	24
946	433	24
947	434	23
948	434	23
949	434	22
950	434	22
951	435	21
952	435	21
953	435	20
954	435	20
955	435	20
956	436	19
957	436	19
958	436	18
959	436	18
960	437	17
961	437	17
962	437	16
963	437	16
964	438	15
965	438	15
966	438	14
967	438	14
968	439	14
969	439	13
970	439	13
971	439	12
972	440	12
973	440	11
974	440	11
975	440	10
976	441	10
977	441	9
978	441	9
979	441	9
980	441	8
981	442	8
982	442	7
983	442	7
984	442	6
985	443	6
986	443	5
987	443	5
988	443	4
989	444	4
990	444	4
991	444	3
992	444	3
993	445	2
994	445	2
995	445	1
996	445	1
997	445	0
998	446	0
999	446	0
