Test Sample,Experimental Run,Infill Density (%),Nozzle Temperature (C),Infill Pattern,Mean Tensile Stress (MPa),Tensile Stress SD (MPa)
1,14,45.86,225.86,Grid,8.42,0.31
2,4,74.14,225.86,Grid,13.67,0.54
3,2,45.86,254.14,Grid,12.46,0.47
4,18,74.14,254.14,Grid,17.92,0.63
5,23,40,240,Grid,10.48,0.52
6,24,80,240,Grid,17.44,0.82
7,20,60,220,Grid,10.70,0.39
8,32,60,260,Grid,17.76,0.75
9,19,60,240,Grid,13.87,0.44
10,31,60,240,Grid,14.26,0.51
11,6,60,240,Grid,13.94,0.36
12,7,45.87,225.86,Triangle,9.70,0.28
13,17,74.14,225.86,Triangle,13.67,0.49
14,30,45.86,254.14,Triangle,12.49,0.41
15,9,74.14,254.14,Triangle,17.71,0.58
16,12,40,240,Triangle,9.42,0.33
17,29,80,240,Triangle,18.48,0.69
18,21,60,220,Triangle,10.54,0.37
19,27,60,260,Triangle,13.90,0.37
20,25,60,240,Triangle,11.74,0.34
21,3,60,240,Triangle,12.68,0.42
22,22,60,240,Triangle,10.88,0.30
23,5,45.87,225.86,Triangle-Hexa,11.08,0.29
24,28,74.14,225.86,Triangle-Hexa,14.57,0.55
25,13,45.86,254.14,Triangle-Hexa,13.60,0.46
26,11,74.14,254.14,Triangle-Hexa,16.94,0.61
27,8,40,240,Triangle-Hexa,10.70,0.38
28,26,80,240,Triangle-Hexa,17.34,0.73
29,33,60,220,Triangle-Hexa,12.13,0.40
30,1,60,260,Triangle-Hexa,14.44,0.52
31,10,60,240,Triangle-Hexa,12.64,0.43
32,15,60,240,Triangle-Hexa,14.51,0.57
33,16,60,240,Triangle-Hexa,14.16,0.48
